"Title","Project Name","Item ARK","Parent ARK","Object Type","viewingHint","File Name","Item Sequence","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Manuscript No. 56: 0043","Armenian Manuscripts","ark:/21198/zz0028xcqp","ark:/21198/zz0026w316","Page","","armenian/masters/ms_56/ms_56_0043.tif","43","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xcqp",""
"Manuscript No. 56: 0044","Armenian Manuscripts","ark:/21198/zz0028xcr6","ark:/21198/zz0026w316","Page","","armenian/masters/ms_56/ms_56_0044.tif","44","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xcr6",""
"Manuscript No. 56: 0045","Armenian Manuscripts","ark:/21198/zz0028xcsq","ark:/21198/zz0026w316","Page","","armenian/masters/ms_56/ms_56_0045.tif","45","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xcsq",""
"Manuscript No. 56: 0046","Armenian Manuscripts","ark:/21198/zz0028xct7","ark:/21198/zz0026w316","Page","","armenian/masters/ms_56/ms_56_0046.tif","46","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xct7",""
"Manuscript No. 56: 0047","Armenian Manuscripts","ark:/21198/zz0028xcvr","ark:/21198/zz0026w316","Page","","armenian/masters/ms_56/ms_56_0047.tif","47","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xcvr",""
"Manuscript No. 56: 0048","Armenian Manuscripts","ark:/21198/zz0028xcw8","ark:/21198/zz0026w316","Page","","armenian/masters/ms_56/ms_56_0048.tif","48","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xcw8",""
"Manuscript No. 56: 0049","Armenian Manuscripts","ark:/21198/zz0028xcxs","ark:/21198/zz0026w316","Page","","armenian/masters/ms_56/ms_56_0049.tif","49","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xcxs",""
"Manuscript No. 56: 0050","Armenian Manuscripts","ark:/21198/zz0028xcz9","ark:/21198/zz0026w316","Page","","armenian/masters/ms_56/ms_56_0050.tif","50","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xcz9",""
"Manuscript No. 56: 0051","Armenian Manuscripts","ark:/21198/zz0028xd09","ark:/21198/zz0026w316","Page","","armenian/masters/ms_56/ms_56_0051.tif","51","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xd09",""
"Manuscript No. 56: 0052","Armenian Manuscripts","ark:/21198/zz0028xd1t","ark:/21198/zz0026w316","Page","","armenian/masters/ms_56/ms_56_0052.tif","52","text","Manuscripts","pd","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028xd1t",""
