"Title","Project Name","Item ARK","Parent ARK","Object Type","viewingHint","File Name","Item Sequence","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Language","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Manuscript No. 9: page 54","Armenian Manuscripts","ark:/21198/zz00275w7d","ark:/21198/zz0026hv3x","Page","","armenian/masters/ms_9/ms_9_054.tif","54","text","","pd","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00275w7d",""
"Manuscript No. 9: page 55","Armenian Manuscripts","ark:/21198/zz00275w8x","ark:/21198/zz0026hv3x","Page","","armenian/masters/ms_9/ms_9_055.tif","55","text","","pd","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00275w8x",""
"Manuscript No. 9: page 56","Armenian Manuscripts","ark:/21198/zz00275w9f","ark:/21198/zz0026hv3x","Page","","armenian/masters/ms_9/ms_9_056.tif","56","text","","pd","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00275w9f",""
"Manuscript No. 9: page 57","Armenian Manuscripts","ark:/21198/zz00275wbz","ark:/21198/zz0026hv3x","Page","","armenian/masters/ms_9/ms_9_057.tif","57","text","","pd","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00275wbz",""
"Manuscript No. 9: page 58","Armenian Manuscripts","ark:/21198/zz00275wcg","ark:/21198/zz0026hv3x","Page","","armenian/masters/ms_9/ms_9_058.tif","58","text","","pd","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00275wcg",""
"Manuscript No. 9: page 59","Armenian Manuscripts","ark:/21198/zz00275wd0","ark:/21198/zz0026hv3x","Page","","armenian/masters/ms_9/ms_9_059.tif","59","text","","pd","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00275wd0",""
"Manuscript No. 9: page 60","Armenian Manuscripts","ark:/21198/zz00275wfh","ark:/21198/zz0026hv3x","Page","","armenian/masters/ms_9/ms_9_060.tif","60","text","","pd","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00275wfh",""
"Manuscript No. 9: page 61","Armenian Manuscripts","ark:/21198/zz00275wg1","ark:/21198/zz0026hv3x","Page","","armenian/masters/ms_9/ms_9_061.tif","61","text","","pd","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00275wg1",""
"Manuscript No. 9: page 62","Armenian Manuscripts","ark:/21198/zz00275whj","ark:/21198/zz0026hv3x","Page","","armenian/masters/ms_9/ms_9_062.tif","62","text","","pd","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00275whj",""
"Manuscript No. 9: page 63","Armenian Manuscripts","ark:/21198/zz00275wj2","ark:/21198/zz0026hv3x","Page","","armenian/masters/ms_9/ms_9_063.tif","63","text","","pd","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00275wj2",""
"Manuscript No. 9: page 64","Armenian Manuscripts","ark:/21198/zz00275wkk","ark:/21198/zz0026hv3x","Page","","armenian/masters/ms_9/ms_9_064.tif","64","text","","pd","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00275wkk",""
