Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,iiif_access_url,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Rights.copyrightStatus,Rights.publicationStatus,Language,Type.genre,Subject,Author,Name.repository,Title,Alt ID.local,Alt ID.oclc,Date.normalized,Format.dimensions,Description.note,Publisher.placeOfOrigin,Date.creation,Format.extent,Publisher.publisherName,Alt ID.callNo,AltTitle.uniform,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Science and Engineering Library Books,ark:/21198/zz002jjc8b,ark:/21198/zz002jj928,5,Imported,Page,sel/image/Tiff/ucla_oc16856119_050.tif,50,,,,,,private,,text,copyrighted,published,,,,,"University of California, Los Angeles Library. Science and Engineering Library",ucla_oc16856119_050,ucla_oc16856119_050,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jjc8b,
Science and Engineering Library Books,ark:/21198/zz002jjc9v,ark:/21198/zz002jj928,5,Imported,Page,sel/image/Tiff/ucla_oc16856119_051.tif,51,,,,,,private,,text,copyrighted,published,,,,,"University of California, Los Angeles Library. Science and Engineering Library",ucla_oc16856119_051,ucla_oc16856119_051,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jjc9v,
Science and Engineering Library Books,ark:/21198/zz002jjcbc,ark:/21198/zz002jj928,5,Imported,Page,sel/image/Tiff/ucla_oc16856119_052.tif,52,,,,,,private,,text,copyrighted,published,,,,,"University of California, Los Angeles Library. Science and Engineering Library",ucla_oc16856119_052,ucla_oc16856119_052,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jjcbc,
Science and Engineering Library Books,ark:/21198/zz002jjccw,ark:/21198/zz002jj928,5,Imported,Page,sel/image/Tiff/ucla_oc16856119_053.tif,53,,,,,,private,,text,copyrighted,published,,,,,"University of California, Los Angeles Library. Science and Engineering Library",ucla_oc16856119_053,ucla_oc16856119_053,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jjccw,
Science and Engineering Library Books,ark:/21198/zz002jjcdd,ark:/21198/zz002jj928,5,Imported,Page,sel/image/Tiff/ucla_oc16856119_054.tif,54,,,,,,private,,text,copyrighted,published,,,,,"University of California, Los Angeles Library. Science and Engineering Library",ucla_oc16856119_054,ucla_oc16856119_054,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jjcdd,
Science and Engineering Library Books,ark:/21198/zz002jjcfx,ark:/21198/zz002jj928,5,Imported,Page,sel/image/Tiff/ucla_oc16856119_055.tif,55,,,,,,private,,text,copyrighted,published,,,,,"University of California, Los Angeles Library. Science and Engineering Library",ucla_oc16856119_055,ucla_oc16856119_055,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jjcfx,
Science and Engineering Library Books,ark:/21198/zz002jjcgf,ark:/21198/zz002jj928,5,Imported,Page,sel/image/Tiff/ucla_oc16856119_056.tif,56,,,,,,private,,text,copyrighted,published,,,,,"University of California, Los Angeles Library. Science and Engineering Library",ucla_oc16856119_056,ucla_oc16856119_056,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jjcgf,
Science and Engineering Library Books,ark:/21198/zz002jjchz,ark:/21198/zz002jj928,5,Imported,Page,sel/image/Tiff/ucla_oc16856119_057.tif,57,,,,,,private,,text,copyrighted,published,,,,,"University of California, Los Angeles Library. Science and Engineering Library",ucla_oc16856119_057,ucla_oc16856119_057,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jjchz,
Science and Engineering Library Books,ark:/21198/zz002jjcjg,ark:/21198/zz002jj928,5,Imported,Page,sel/image/Tiff/ucla_oc16856119_058.tif,58,,,,,,private,,text,copyrighted,published,,,,,"University of California, Los Angeles Library. Science and Engineering Library",ucla_oc16856119_058,ucla_oc16856119_058,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jjcjg,
Science and Engineering Library Books,ark:/21198/zz002jjck0,ark:/21198/zz002jj928,5,Imported,Page,sel/image/Tiff/ucla_oc16856119_059.tif,59,,,,,,private,,text,copyrighted,published,,,,,"University of California, Los Angeles Library. Science and Engineering Library",ucla_oc16856119_059,ucla_oc16856119_059,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jjck0,
Science and Engineering Library Books,ark:/21198/zz002jjcmh,ark:/21198/zz002jj928,5,Imported,Page,sel/image/Tiff/ucla_oc16856119_060.tif,60,,,,,,private,,text,copyrighted,published,,,,,"University of California, Los Angeles Library. Science and Engineering Library",ucla_oc16856119_060,ucla_oc16856119_060,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jjcmh,
Science and Engineering Library Books,ark:/21198/zz002jjcn1,ark:/21198/zz002jj928,5,Imported,Page,sel/image/Tiff/ucla_oc16856119_061.tif,61,,,,,,private,,text,copyrighted,published,,,,,"University of California, Los Angeles Library. Science and Engineering Library",ucla_oc16856119_061,ucla_oc16856119_061,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jjcn1,
