"Title","Project Name","Item ARK","Parent ARK","Object Type","viewingHint","File Name","Item Sequence","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Manuscript No.42: 059","Armenian Manuscripts","ark:/21198/zz00271q4n","ark:/21198/zz0026w2mh","Page","","armenian/masters/ms_42/ms_42_059.tif","59","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00271q4n",""
"Manuscript No.42: 060","Armenian Manuscripts","ark:/21198/zz00271q55","ark:/21198/zz0026w2mh","Page","","armenian/masters/ms_42/ms_42_060.tif","60","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00271q55",""
"Manuscript No.42: 061","Armenian Manuscripts","ark:/21198/zz00271q6p","ark:/21198/zz0026w2mh","Page","","armenian/masters/ms_42/ms_42_061.tif","61","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00271q6p",""
"Manuscript No.42: 062","Armenian Manuscripts","ark:/21198/zz00271q76","ark:/21198/zz0026w2mh","Page","","armenian/masters/ms_42/ms_42_062.tif","62","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00271q76",""
"Manuscript No.42: 063","Armenian Manuscripts","ark:/21198/zz00271q8q","ark:/21198/zz0026w2mh","Page","","armenian/masters/ms_42/ms_42_063.tif","63","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00271q8q",""
"Manuscript No.42: 064","Armenian Manuscripts","ark:/21198/zz00271q97","ark:/21198/zz0026w2mh","Page","","armenian/masters/ms_42/ms_42_064.tif","64","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00271q97",""
"Manuscript No.42: 065","Armenian Manuscripts","ark:/21198/zz00271qbr","ark:/21198/zz0026w2mh","Page","","armenian/masters/ms_42/ms_42_065.tif","65","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00271qbr",""
"Manuscript No.42: 066","Armenian Manuscripts","ark:/21198/zz00271qc8","ark:/21198/zz0026w2mh","Page","","armenian/masters/ms_42/ms_42_066.tif","66","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00271qc8",""
"Manuscript No.42: 067","Armenian Manuscripts","ark:/21198/zz00271qds","ark:/21198/zz0026w2mh","Page","","armenian/masters/ms_42/ms_42_067.tif","67","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00271qds",""
"Manuscript No.42: 068","Armenian Manuscripts","ark:/21198/zz00271qf9","ark:/21198/zz0026w2mh","Page","","armenian/masters/ms_42/ms_42_068.tif","68","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00271qf9",""
"Manuscript No.42: 069","Armenian Manuscripts","ark:/21198/zz00271qgt","ark:/21198/zz0026w2mh","Page","","armenian/masters/ms_42/ms_42_069.tif","69","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00271qgt",""
"Manuscript No.42: 070","Armenian Manuscripts","ark:/21198/zz00271qhb","ark:/21198/zz0026w2mh","Page","","armenian/masters/ms_42/ms_42_070.tif","70","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00271qhb",""
"Manuscript No.42: 071","Armenian Manuscripts","ark:/21198/zz00271qjv","ark:/21198/zz0026w2mh","Page","","armenian/masters/ms_42/ms_42_071.tif","71","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00271qjv",""
"Manuscript No.42: 072","Armenian Manuscripts","ark:/21198/zz00271qkc","ark:/21198/zz0026w2mh","Page","","armenian/masters/ms_42/ms_42_072.tif","72","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00271qkc",""
"Manuscript No.42: 073","Armenian Manuscripts","ark:/21198/zz00271qmw","ark:/21198/zz0026w2mh","Page","","armenian/masters/ms_42/ms_42_073.tif","73","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00271qmw",""
"Manuscript No.42: 074","Armenian Manuscripts","ark:/21198/zz00271qnd","ark:/21198/zz0026w2mh","Page","","armenian/masters/ms_42/ms_42_074.tif","74","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00271qnd",""
"Manuscript No.42: 075","Armenian Manuscripts","ark:/21198/zz00271qpx","ark:/21198/zz0026w2mh","Page","","armenian/masters/ms_42/ms_42_075.tif","75","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00271qpx",""
"Manuscript No.42: 076","Armenian Manuscripts","ark:/21198/zz00271qqf","ark:/21198/zz0026w2mh","Page","","armenian/masters/ms_42/ms_42_076.tif","76","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00271qqf",""
"Manuscript No.42: 077","Armenian Manuscripts","ark:/21198/zz00271qrz","ark:/21198/zz0026w2mh","Page","","armenian/masters/ms_42/ms_42_077.tif","77","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00271qrz",""
"Manuscript No.42: 078","Armenian Manuscripts","ark:/21198/zz00271qsg","ark:/21198/zz0026w2mh","Page","","armenian/masters/ms_42/ms_42_078.tif","78","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00271qsg",""
"Manuscript No.42: 079","Armenian Manuscripts","ark:/21198/zz00271qt0","ark:/21198/zz0026w2mh","Page","","armenian/masters/ms_42/ms_42_079.tif","79","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00271qt0",""
"Manuscript No.42: 080","Armenian Manuscripts","ark:/21198/zz00271qvh","ark:/21198/zz0026w2mh","Page","","armenian/masters/ms_42/ms_42_080.tif","80","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00271qvh",""
"Manuscript No.42: 081","Armenian Manuscripts","ark:/21198/zz00271qw1","ark:/21198/zz0026w2mh","Page","","armenian/masters/ms_42/ms_42_081.tif","81","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00271qw1",""
"Manuscript No.42: 082","Armenian Manuscripts","ark:/21198/zz00271qxj","ark:/21198/zz0026w2mh","Page","","armenian/masters/ms_42/ms_42_082.tif","82","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00271qxj",""
"Manuscript No.42: 083","Armenian Manuscripts","ark:/21198/zz00271qz2","ark:/21198/zz0026w2mh","Page","","armenian/masters/ms_42/ms_42_083.tif","83","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00271qz2",""
"Manuscript No.42: 084","Armenian Manuscripts","ark:/21198/zz00271r02","ark:/21198/zz0026w2mh","Page","","armenian/masters/ms_42/ms_42_084.tif","84","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00271r02",""
"Manuscript No.42: 085","Armenian Manuscripts","ark:/21198/zz00271r1k","ark:/21198/zz0026w2mh","Page","","armenian/masters/ms_42/ms_42_085.tif","85","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00271r1k",""
"Manuscript No.42: 086","Armenian Manuscripts","ark:/21198/zz00271r23","ark:/21198/zz0026w2mh","Page","","armenian/masters/ms_42/ms_42_086.tif","86","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00271r23",""
"Manuscript No.42: 087","Armenian Manuscripts","ark:/21198/zz00271r3m","ark:/21198/zz0026w2mh","Page","","armenian/masters/ms_42/ms_42_087.tif","87","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00271r3m",""
"Manuscript No.42: 088","Armenian Manuscripts","ark:/21198/zz00271r44","ark:/21198/zz0026w2mh","Page","","armenian/masters/ms_42/ms_42_088.tif","88","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00271r44",""
"Manuscript No.42: 089","Armenian Manuscripts","ark:/21198/zz00271r5n","ark:/21198/zz0026w2mh","Page","","armenian/masters/ms_42/ms_42_089.tif","89","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00271r5n",""
"Manuscript No.42: 090","Armenian Manuscripts","ark:/21198/zz00271r65","ark:/21198/zz0026w2mh","Page","","armenian/masters/ms_42/ms_42_090.tif","90","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00271r65",""
"Manuscript No.42: 091","Armenian Manuscripts","ark:/21198/zz00271r7p","ark:/21198/zz0026w2mh","Page","","armenian/masters/ms_42/ms_42_091.tif","91","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00271r7p",""
"Manuscript No.42: 092","Armenian Manuscripts","ark:/21198/zz00271r86","ark:/21198/zz0026w2mh","Page","","armenian/masters/ms_42/ms_42_092.tif","92","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00271r86",""
"Manuscript No.42: 093","Armenian Manuscripts","ark:/21198/zz00271r9q","ark:/21198/zz0026w2mh","Page","","armenian/masters/ms_42/ms_42_093.tif","93","text","Manuscripts","pd","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00271r9q",""
