File Name,Object Type,Title,Item Sequence,Parent ARK,Item ARK
Masters/othermasters/MEAPmigration/aifnegatives/images/0083ja00272a_dc01m_002.tif,Page,Negative,2,ark:/21198/z1xd2twr,ark:/21198/z1641mdb
Masters/othermasters/MEAPmigration/aifnegatives/images/0083ja00273a_dc01m_001.tif,Page,Positive,1,ark:/21198/z1sn234c,ark:/21198/z12f9k47
Masters/othermasters/MEAPmigration/aifnegatives/images/0083ja00273a_dc01m_002.tif,Page,Negative,2,ark:/21198/z1sn234c,ark:/21198/z1xp92mg
Masters/othermasters/MEAPmigration/aifnegatives/images/0083ja00274a_dc01m_001.tif,Page,Positive,1,ark:/21198/z1nw1bdn,ark:/21198/z1sx89tv
Masters/othermasters/MEAPmigration/aifnegatives/images/0083ja00274a_dc01m_002.tif,Page,Negative,2,ark:/21198/z1nw1bdn,ark:/21198/z1p57k3v
Masters/othermasters/MEAPmigration/aifnegatives/images/0083ja00275a_dc01m_001.tif,Page,Positive,1,ark:/21198/z1j6992z,ark:/21198/z1jd6tdk
Masters/othermasters/MEAPmigration/aifnegatives/images/0083ja00275a_dc01m_002.tif,Page,Negative,2,ark:/21198/z1j6992z,ark:/21198/z1dn62qp
Masters/othermasters/MEAPmigration/aifnegatives/images/0083ja00276a_dc01m_001.tif,Page,Positive,1,ark:/21198/z1df8jcp,ark:/21198/z18w5b1t
Masters/othermasters/MEAPmigration/aifnegatives/images/0083ja00276a_dc01m_002.tif,Page,Negative,2,ark:/21198/z1df8jcp,ark:/21198/z15738p8
Masters/othermasters/MEAPmigration/aifnegatives/images/0083ja00277a_dc01m_001.tif,Page,Positive,1,ark:/21198/z18p7sqv,ark:/21198/z11g2hx3
Masters/othermasters/MEAPmigration/aifnegatives/images/0083ja00277a_dc01m_002.tif,Page,Negative,2,ark:/21198/z18p7sqv,ark:/21198/z1wq21dr
Masters/othermasters/MEAPmigration/aifnegatives/images/0083ja00278a_dc01m_001.tif,Page,Positive,1,ark:/21198/z14x720x,ark:/21198/z1rz18nk
Masters/othermasters/MEAPmigration/aifnegatives/images/0083ja00278a_dc01m_002.tif,Page,Negative,2,ark:/21198/z14x720x,ark:/21198/z1n60j0g
Masters/othermasters/MEAPmigration/aifnegatives/images/0083ja00279a_dc01m_001.tif,Page,Positive,1,ark:/21198/z1156972,ark:/21198/z1hd9sb3
Masters/othermasters/MEAPmigration/aifnegatives/images/0083ja00279a_dc01m_002.tif,Page,Negative,2,ark:/21198/z1156972,ark:/21198/z1cn91k9
Masters/othermasters/MEAPmigration/aifnegatives/images/0083ja00280a_dc01m_001.tif,Page,Positive,1,ark:/21198/z1wd5spg,ark:/21198/z1807092
Masters/othermasters/MEAPmigration/aifnegatives/images/0083ja00280a_dc01m_002.tif,Page,Negative,2,ark:/21198/z1wd5spg,ark:/21198/z14767jw
Masters/othermasters/MEAPmigration/aifnegatives/images/0083ja00281a_dc01m_001.tif,Page,Positive,1,ark:/21198/z1rn5200,ark:/21198/z10g5gr8
