"File Name","Object Type","Title","Item Sequence","Parent ARK","Item ARK","volume/year","Publisher","Publisher.place","Date.issued (single)","Language | code","TypeOfResource","Genre","PhysicalDescription.extent","Institution/Repository","Abstract","Note.content","Rights.copyrightStatus","Rights.publicationStatus","Rights.servicesContact","Subject.topic","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Masters/othermasters/DEPzanzibar/images/Vol_11/uclalsc_3682798_vol11_038.tif","Page","Page 38","38","ark:/21198/z13z07gn","ark:/21198/z1zs4xf1","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zs4xf1",""
"Masters/othermasters/DEPzanzibar/images/Vol_11/uclalsc_3682798_vol11_039.tif","Page","Page 39","39","ark:/21198/z13z07gn","ark:/21198/z1v145rf","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1v145rf",""
"Masters/othermasters/DEPzanzibar/images/Vol_11/uclalsc_3682798_vol11_040.tif","Page","Page 40","40","ark:/21198/z13z07gn","ark:/21198/z1q83f2k","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1q83f2k",""
"Masters/othermasters/DEPzanzibar/images/Vol_11/uclalsc_3682798_vol11_041.tif","Page","Page 41","41","ark:/21198/z13z07gn","ark:/21198/z1kh2p9d","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kh2p9d",""
"Masters/othermasters/DEPzanzibar/images/Vol_11/uclalsc_3682798_vol11_042.tif","Page","Page 42","42","ark:/21198/z13z07gn","ark:/21198/z1fv0n0d","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fv0n0d",""
"Masters/othermasters/DEPzanzibar/images/Vol_11/uclalsc_3682798_vol11_043.tif","Page","Page 43","43","ark:/21198/z13z07gn","ark:/21198/z1b29w8f","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b29w8f",""
"Masters/othermasters/DEPzanzibar/images/Vol_11/uclalsc_3682798_vol11_044.tif","Page","Page 44","44","ark:/21198/z13z07gn","ark:/21198/z16994g6","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16994g6",""
"Masters/othermasters/DEPzanzibar/images/Vol_11/uclalsc_3682798_vol11_045.tif","Page","Page 45","45","ark:/21198/z13z07gn","ark:/21198/z12j8crg","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12j8crg",""
"Masters/othermasters/DEPzanzibar/images/Vol_11/uclalsc_3682798_vol11_046.tif","Page","Page 46","46","ark:/21198/z13z07gn","ark:/21198/z1xs7wb3","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xs7wb3",""
"Masters/othermasters/DEPzanzibar/images/Vol_11/uclalsc_3682798_vol11_047.tif","Page","Page 47","47","ark:/21198/z13z07gn","ark:/21198/z1t174m2","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1t174m2",""
