"File Name","Item Sequence","Visibility","Title","IIIF Range","viewingHint","Text direction","Parent ARK","Item ARK","","Object Type","Rights.statementLocal","Bucketeer State","IIIF Access URL"
"Masters/othermasters/dl_toganoo/masters/1783129_v3/ucla_1783129_v3_025.tif","25","","Page 23","","","","ark:/21198/n1x663","ck25d84d","ark:/21198/n1x663/ck25d84d","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/ck25d84d"
"Masters/othermasters/dl_toganoo/masters/1783129_v3/ucla_1783129_v3_026.tif","26","","Page 24","","","","ark:/21198/n1x664","bd72978m","ark:/21198/n1x664/bd72978m","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/bd72978m"
"Masters/othermasters/dl_toganoo/masters/1783129_v3/ucla_1783129_v3_027.tif","27","","Page 25","","","","ark:/21198/n1x665","pv76649b","ark:/21198/n1x665/pv76649b","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/pv76649b"
"Masters/othermasters/dl_toganoo/masters/1783129_v3/ucla_1783129_v3_028.tif","28","","Page 26","","","","ark:/21198/n1x666","sm345887","ark:/21198/n1x666/sm345887","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/sm345887"
"Masters/othermasters/dl_toganoo/masters/1783129_v3/ucla_1783129_v3_029.tif","29","","Page 27","","","","ark:/21198/n1x667","6322kf8x","ark:/21198/n1x667/6322kf8x","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/6322kf8x"
"Masters/othermasters/dl_toganoo/masters/1783129_v3/ucla_1783129_v3_030.tif","30","","Page 28","","","","ark:/21198/n1x668","wk08jp29","ark:/21198/n1x668/wk08jp29","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/wk08jp29"
"Masters/othermasters/dl_toganoo/masters/1783129_v3/ucla_1783129_v3_031.tif","31","","Page 29","","","","ark:/21198/n1x669","s443cg78","ark:/21198/n1x669/s443cg78","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/s443cg78"
"Masters/othermasters/dl_toganoo/masters/1783129_v3/ucla_1783129_v3_032.tif","32","","Page 30","","","","ark:/21198/n1x670","9061d66n","ark:/21198/n1x670/9061d66n","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/9061d66n"
"Masters/othermasters/dl_toganoo/masters/1783129_v3/ucla_1783129_v3_033.tif","33","","Page 31","","","","ark:/21198/n1x671","bj85m03b","ark:/21198/n1x671/bj85m03b","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/bj85m03b"
"Masters/othermasters/dl_toganoo/masters/1783129_v3/ucla_1783129_v3_034.tif","34","","Page 32","","","","ark:/21198/n1x672","sm99jb61","ark:/21198/n1x672/sm99jb61","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/sm99jb61"
"Masters/othermasters/dl_toganoo/masters/1783129_v3/ucla_1783129_v3_035.tif","35","","Page 33","","","","ark:/21198/n1x673","zf11hg76","ark:/21198/n1x673/zf11hg76","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/zf11hg76"
"Masters/othermasters/dl_toganoo/masters/1783129_v3/ucla_1783129_v3_036.tif","36","","Page 34","","","","ark:/21198/n1x674","sc574f15","ark:/21198/n1x674/sc574f15","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/sc574f15"
"Masters/othermasters/dl_toganoo/masters/1783129_v3/ucla_1783129_v3_037.tif","37","","Page 35","","","","ark:/21198/n1x675","h882m226","ark:/21198/n1x675/h882m226","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/h882m226"
"Masters/othermasters/dl_toganoo/masters/1783129_v3/ucla_1783129_v3_038.tif","38","","Page 36","","","","ark:/21198/n1x676","jm63x35t","ark:/21198/n1x676/jm63x35t","Page","","succeeded","https://iiif.library.ucla.edu/iiif/2/jm63x35t"
