"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Rights.copyrightStatus","Rights.servicesContact","Name.repository","Author","Name.printer","Subject","Editor","Title","AltIdentifier.local","Relation.rectoVerso","Description.note","Date.creation","Publisher.publisherName","Date.normalized","Publisher.placeOfOrigin","Bucketeer State","IIIF Access URL"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028sj8k","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0035.tif","35","","","","","","","text","pd","","","","","","","Page 28","pasc_antiphonarium_1685_0035","v","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028sj8k"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028sj93","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0036.tif","36","","","","","","","text","pd","","","","","","","Page 29","pasc_antiphonarium_1685_0036","r","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028sj93"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028sjbm","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0037.tif","37","","","","","","","text","pd","","","","","","","Page 30","pasc_antiphonarium_1685_0037","v","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028sjbm"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028sjc4","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0038.tif","38","","","","","","","text","pd","","","","","","","Page 31","pasc_antiphonarium_1685_0038","r","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028sjc4"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028sjdn","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0039.tif","39","","","","","","","text","pd","","","","","","","Page 32","pasc_antiphonarium_1685_0039","v","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028sjdn"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028sjf5","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0040.tif","40","","","","","","","text","pd","","","","","","","Page 33","pasc_antiphonarium_1685_0040","r","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028sjf5"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028sjgp","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0041.tif","41","","","","","","","text","pd","","","","","","","Page 34","pasc_antiphonarium_1685_0041","v","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028sjgp"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028sjh6","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0042.tif","42","","","","","","","text","pd","","","","","","","Page 35","pasc_antiphonarium_1685_0042","r","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028sjh6"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028sjjq","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0043.tif","43","","","","","","","text","pd","","","","","","","Page 36","pasc_antiphonarium_1685_0043","v","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028sjjq"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028sjk7","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0044.tif","44","","","","","","","text","pd","","","","","","","Page 37","pasc_antiphonarium_1685_0044","r","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028sjk7"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028sjmr","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0045.tif","45","","","","","","","text","pd","","","","","","","Page 38","pasc_antiphonarium_1685_0045","v","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028sjmr"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028sjn8","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0046.tif","46","","","","","","","text","pd","","","","","","","Page 39","pasc_antiphonarium_1685_0046","r","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028sjn8"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028sjps","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0047.tif","47","","","","","","","text","pd","","","","","","","Page 40","pasc_antiphonarium_1685_0047","v","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028sjps"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028sjq9","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0048.tif","48","","","","","","","text","pd","","","","","","","Page 41","pasc_antiphonarium_1685_0048","r","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028sjq9"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028sjrt","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0049.tif","49","","","","","","","text","pd","","","","","","","Page 42","pasc_antiphonarium_1685_0049","v","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028sjrt"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028sjsb","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0050.tif","50","","","","","","","text","pd","","","","","","","Page 43","pasc_antiphonarium_1685_0050","r","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028sjsb"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028sjtv","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0051.tif","51","","","","","","","text","pd","","","","","","","Page 44","pasc_antiphonarium_1685_0051","v","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028sjtv"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028sjvc","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0052.tif","52","","","","","","","text","pd","","","","","","","Page 45","pasc_antiphonarium_1685_0052","r","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028sjvc"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028sjww","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0053.tif","53","","","","","","","text","pd","","","","","","","Page 46","pasc_antiphonarium_1685_0053","v","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028sjww"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028sjxd","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0054.tif","54","","","","","","","text","pd","","","","","","","Page 47","pasc_antiphonarium_1685_0054","r","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028sjxd"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028sjzx","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0055.tif","55","","","","","","","text","pd","","","","","","","Page 48","pasc_antiphonarium_1685_0055","v","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028sjzx"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028sk0x","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0056.tif","56","","","","","","","text","pd","","","","","","","Page 49","pasc_antiphonarium_1685_0056","r","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028sk0x"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028sk1f","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0057.tif","57","","","","","","","text","pd","","","","","","","Page 50","pasc_antiphonarium_1685_0057","v","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028sk1f"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028sk2z","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0058.tif","58","","","","","","","text","pd","","","","","","","Page 51","pasc_antiphonarium_1685_0058","r","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028sk2z"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028sk3g","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0059.tif","59","","","","","","","text","pd","","","","","","","Page 52","pasc_antiphonarium_1685_0059","v","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028sk3g"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028sk40","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0060.tif","60","","","","","","","text","pd","","","","","","","Page 53","pasc_antiphonarium_1685_0060","r","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028sk40"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028sk5h","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0061.tif","61","","","","","","","text","pd","","","","","","","Page 54","pasc_antiphonarium_1685_0061","v","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028sk5h"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028sk61","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0062.tif","62","","","","","","","text","pd","","","","","","","Page 55","pasc_antiphonarium_1685_0062","r","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028sk61"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028sk7j","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0063.tif","63","","","","","","","text","pd","","","","","","","Page 56","pasc_antiphonarium_1685_0063","v","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028sk7j"
"Antiphonarium et hymnarium secundum morem Sanctae Romanae Ecclesiae","ark:/21198/zz0028sk82","ark:/21198/zz0028sh1g","2","Completed","Page","antiphonarium/image/pasc_antiphonarium_1685_0064.tif","64","","","","","","","text","pd","","","","","","","Page 57","pasc_antiphonarium_1685_0064","r","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028sk82"
