Title,Project Name,Item ARK,Parent ARK,Object Type,viewingHint,File Name,Item Sequence,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Bucketeer State,IIIF Access URL
Manuscript No.91: 0042,Armenian Manuscripts,ark:/21198/zz002920w5,ark:/21198/zz0026w3gx,Page,,armenian/masters/ms_91/ms_91_0042.tif,42,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002920w5
Manuscript No.91: 0043,Armenian Manuscripts,ark:/21198/zz002920xp,ark:/21198/zz0026w3gx,Page,,armenian/masters/ms_91/ms_91_0043.tif,43,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002920xp
Manuscript No.91: 0044,Armenian Manuscripts,ark:/21198/zz002920z6,ark:/21198/zz0026w3gx,Page,,armenian/masters/ms_91/ms_91_0044.tif,44,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002920z6
Manuscript No.91: 0045,Armenian Manuscripts,ark:/21198/zz00292106,ark:/21198/zz0026w3gx,Page,,armenian/masters/ms_91/ms_91_0045.tif,45,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00292106
Manuscript No.91: 0046,Armenian Manuscripts,ark:/21198/zz0029211q,ark:/21198/zz0026w3gx,Page,,armenian/masters/ms_91/ms_91_0046.tif,46,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0029211q
Manuscript No.91: 0047,Armenian Manuscripts,ark:/21198/zz00292127,ark:/21198/zz0026w3gx,Page,,armenian/masters/ms_91/ms_91_0047.tif,47,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00292127
Manuscript No.91: 0048,Armenian Manuscripts,ark:/21198/zz0029213r,ark:/21198/zz0026w3gx,Page,,armenian/masters/ms_91/ms_91_0048.tif,48,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0029213r
Manuscript No.91: 0049,Armenian Manuscripts,ark:/21198/zz00292148,ark:/21198/zz0026w3gx,Page,,armenian/masters/ms_91/ms_91_0049.tif,49,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00292148
Manuscript No.91: 0050,Armenian Manuscripts,ark:/21198/zz0029215s,ark:/21198/zz0026w3gx,Page,,armenian/masters/ms_91/ms_91_0050.tif,50,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0029215s
Manuscript No.91: 0051,Armenian Manuscripts,ark:/21198/zz00292169,ark:/21198/zz0026w3gx,Page,,armenian/masters/ms_91/ms_91_0051.tif,51,text,Manuscripts,pd,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00292169
