"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Visibility","viewingHint","Delete in Title","Subject topic","Thumbnail","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Rights.permission","Rights.publicationStatus","Coverage.geographic","Name.photographer","Author","Name.subject","Subject","Subject.conceptTopic","Language","Rights.permissionNote","Name.creator","Rights.publicationNote","Text direction","IIIF Range","Name.repository","Title","Date.creation","Description.note","Summary","Description.caption","Date.normalized","Description.abstract","Date.created","AltTitle.other","Opac url","Finding Aid URL","Bucketeer State","IIIF Access URL"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015sx7r","ark:/21198/zz0015sw6r","2","Completed","Page","scwu/images/masters/21198-zz0015sx7r-1-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015sx7r"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015sx88","ark:/21198/zz0015sw6r","2","Completed","Page","scwu/images/masters/21198-zz0015sx88-1-master.tif","3","","","","","","","","","","","","","","","","","","","","","","","","","Page 3","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015sx88"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015sxct","ark:/21198/zz0015sw78","2","Completed","Page","scwu/images/masters/21198-zz0015sxct-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015sxct"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015sxdb","ark:/21198/zz0015sw78","2","Completed","Page","scwu/images/masters/21198-zz0015sxdb-1-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015sxdb"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015sxfv","ark:/21198/zz0015sw8s","2","Completed","Page","scwu/images/masters/21198-zz0015sxfv-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015sxfv"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015sxgc","ark:/21198/zz0015sw8s","2","Completed","Page","scwu/images/masters/21198-zz0015sxgc-1-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015sxgc"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015sxmf","ark:/21198/zz0015sw99","2","Completed","Page","scwu/images/masters/21198-zz0015sxmf-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015sxmf"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015sxpg","ark:/21198/zz0015sxnz","2","Completed","Page","scwu/images/masters/21198-zz0015sxpg-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015sxpg"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015sxq0","ark:/21198/zz0015sxnz","2","Completed","Page","scwu/images/masters/21198-zz0015sxq0-1-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015sxq0"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015sxs1","ark:/21198/zz0015sxrh","2","Completed","Page","scwu/images/masters/21198-zz0015sxs1-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015sxs1"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015sxtj","ark:/21198/zz0015sxrh","2","Completed","Page","scwu/images/masters/21198-zz0015sxtj-1-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015sxtj"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015sxv2","ark:/21198/zz0015sxrh","2","Completed","Page","scwu/images/masters/21198-zz0015sxv2-1-master.tif","3","","","","","","","","","","","","","","","","","","","","","","","","","Page 3","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015sxv2"
