"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","viewingHint","Text direction","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","Subject","Type.genre","Language","Name.editor","Name.engraver","Title","Relation.rectoVerso","Relation.pageNumber","Description.note","Source","Relation.isPartOf","Alt ID.local","Date.normalized","Publisher.publisherName","Format.extent","Publisher.placeOfOrigin","Date.publication","Format.dimensions","Description.tableOfContents","Alt ID.oclc","AltTitle.uniform","AltTitle.inscribed","Relation.hasPart","Name.printer","Name.illustrator","Rights.copyrightStatus","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Picart (Bernard) Collection","ark:/21198/zz001hg2cv","ark:/21198/zz001hg0k0","2","Completed","Page","picart/masters/21198-zz001hg2cv-1-master.tif","","","52","","","text","","","","","","page 016","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hg2cv",""
"Picart (Bernard) Collection","ark:/21198/zz001hg2dc","ark:/21198/zz001hg0k0","2","Completed","Page","picart/masters/21198-zz001hg2dc-1-master.tif","","","53","","","text","","","","","","page 017","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hg2dc",""
"Picart (Bernard) Collection","ark:/21198/zz001hg2fw","ark:/21198/zz001hg0k0","2","Completed","Page","picart/masters/21198-zz001hg2fw-1-master.tif","","","54","","","text","","","","","","page 018","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hg2fw",""
"Picart (Bernard) Collection","ark:/21198/zz001hg2gd","ark:/21198/zz001hg0k0","2","Completed","Page","picart/masters/21198-zz001hg2gd-1-master.tif","","","55","","","text","","","","","","page 019","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hg2gd",""
"Picart (Bernard) Collection","ark:/21198/zz001hg2hx","ark:/21198/zz001hg0k0","2","Completed","Page","picart/masters/21198-zz001hg2hx-1-master.tif","","","56","","","text","","","","","","page 020","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hg2hx",""
"Picart (Bernard) Collection","ark:/21198/zz001hg2jf","ark:/21198/zz001hg0k0","2","Completed","Page","picart/masters/21198-zz001hg2jf-1-master.tif","","","57","","","text","","","","","","page 021","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hg2jf",""
"Picart (Bernard) Collection","ark:/21198/zz001hg2kz","ark:/21198/zz001hg0k0","2","Completed","Page","picart/masters/21198-zz001hg2kz-1-master.tif","","","58","","","text","","","","","","page 022","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hg2kz",""
"Picart (Bernard) Collection","ark:/21198/zz001hg2mg","ark:/21198/zz001hg0k0","2","Completed","Page","picart/masters/21198-zz001hg2mg-1-master.tif","","","59","","","text","","","","","","blank page","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hg2mg",""
"Picart (Bernard) Collection","ark:/21198/zz001hg2n0","ark:/21198/zz001hg0k0","2","Completed","Page","picart/masters/21198-zz001hg2n0-1-master.tif","","","60","","","still image","","","","","","4 plates of images","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hg2n0",""
"Picart (Bernard) Collection","ark:/21198/zz001hg2ph","ark:/21198/zz001hg0k0","2","Completed","Page","picart/masters/21198-zz001hg2ph-1-master.tif","","","61","","","text","","","","","","page 023","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hg2ph",""
