"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","viewingHint","Text direction","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","Subject","Type.genre","Language","Name.editor","Name.engraver","Title","Relation.rectoVerso","Relation.pageNumber","Description.note","Source","Relation.isPartOf","Alt ID.local","Date.normalized","Publisher.publisherName","Format.extent","Publisher.placeOfOrigin","Date.publication","Format.dimensions","Description.tableOfContents","Alt ID.oclc","AltTitle.uniform","AltTitle.inscribed","Relation.hasPart","Name.printer","Name.illustrator","Rights.copyrightStatus","Bucketeer State","IIIF Access URL"
"Picart (Bernard) Collection","ark:/21198/zz001hh5tg","ark:/21198/zz001hh48q","2","Completed","Page","picart/masters/21198-zz001hh5tg-1-master.tif","","","45","","","text","","","","","","page 024","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hh5tg"
"Picart (Bernard) Collection","ark:/21198/zz001hh5v0","ark:/21198/zz001hh48q","2","Completed","Page","picart/masters/21198-zz001hh5v0-1-master.tif","","","46","","","text","","","","","","page 025","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hh5v0"
"Picart (Bernard) Collection","ark:/21198/zz001hh5wh","ark:/21198/zz001hh48q","2","Completed","Page","picart/masters/21198-zz001hh5wh-1-master.tif","","","47","","","text","","","","","","page 026","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hh5wh"
"Picart (Bernard) Collection","ark:/21198/zz001hh5x1","ark:/21198/zz001hh48q","2","Completed","Page","picart/masters/21198-zz001hh5x1-1-master.tif","","","48","","","text","","","","","","page 027","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hh5x1"
"Picart (Bernard) Collection","ark:/21198/zz001hh5zj","ark:/21198/zz001hh48q","2","Completed","Page","picart/masters/21198-zz001hh5zj-1-master.tif","","","49","","","text","","","","","","page 028","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hh5zj"
"Picart (Bernard) Collection","ark:/21198/zz001hh60j","ark:/21198/zz001hh48q","2","Completed","Page","picart/masters/21198-zz001hh60j-1-master.tif","","","50","","","text","","","","","","page 029","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hh60j"
"Picart (Bernard) Collection","ark:/21198/zz001hh612","ark:/21198/zz001hh48q","2","Completed","Page","picart/masters/21198-zz001hh612-1-master.tif","","","51","","","text","","","","","","page 030","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hh612"
"Picart (Bernard) Collection","ark:/21198/zz001hh62k","ark:/21198/zz001hh48q","2","Completed","Page","picart/masters/21198-zz001hh62k-1-master.tif","","","52","","","text","","","","","","page 031","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hh62k"
"Picart (Bernard) Collection","ark:/21198/zz001hh633","ark:/21198/zz001hh48q","2","Completed","Page","picart/masters/21198-zz001hh633-1-master.tif","","","53","","","text","","","","","","page 032","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hh633"
"Picart (Bernard) Collection","ark:/21198/zz001hh64m","ark:/21198/zz001hh48q","2","Completed","Page","picart/masters/21198-zz001hh64m-1-master.tif","","","54","","","text","","","","","","page 033","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hh64m"
