Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Visibility,viewingHint,Delete in Title,Subject topic,Thumbnail,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.permission,Rights.publicationStatus,Coverage.geographic,Name.photographer,Author,Name.subject,Subject,Subject.conceptTopic,Language,Rights.permissionNote,Name.creator,Rights.publicationNote,Text direction,IIIF Range,Name.repository,Title,Date.creation,Description.note,Summary,Description.caption,Date.normalized,Description.abstract,Date.created,AltTitle.other,Opac url,Finding Aid URL
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz001556nr,ark:/21198/zz0015562z,2,Completed,ChildWork,scwu/images/masters/21198-zz001556nr-1-master.tif,17,,,,,,,,,,,,,,,,,,,,,,,,,Page 17,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz001556p8,ark:/21198/zz0015562z,2,Completed,ChildWork,scwu/images/masters/21198-zz001556p8-1-master.tif,18,,,,,,,,,,,,,,,,,,,,,,,,,Page 18,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz001556qs,ark:/21198/zz0015562z,2,Completed,ChildWork,scwu/images/masters/21198-zz001556qs-1-master.tif,19,,,,,,,,,,,,,,,,,,,,,,,,,Page 19,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz001556r9,ark:/21198/zz0015562z,2,Completed,ChildWork,scwu/images/masters/21198-zz001556r9-1-master.tif,20,,,,,,,,,,,,,,,,,,,,,,,,,Page 20,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz001556st,ark:/21198/zz0015562z,2,Completed,ChildWork,scwu/images/masters/21198-zz001556st-1-master.tif,21,,,,,,,,,,,,,,,,,,,,,,,,,Page 21,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz001556tb,ark:/21198/zz0015562z,2,Completed,ChildWork,scwu/images/masters/21198-zz001556tb-1-master.tif,22,,,,,,,,,,,,,,,,,,,,,,,,,Page 22,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz001556vv,ark:/21198/zz0015562z,2,Completed,ChildWork,scwu/images/masters/21198-zz001556vv-1-master.tif,23,,,,,,,,,,,,,,,,,,,,,,,,,Page 23,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz001556wc,ark:/21198/zz0015562z,2,Completed,ChildWork,scwu/images/masters/21198-zz001556wc-1-master.tif,24,,,,,,,,,,,,,,,,,,,,,,,,,Page 24,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz001556xw,ark:/21198/zz0015562z,2,Completed,ChildWork,scwu/images/masters/21198-zz001556xw-1-master.tif,25,,,,,,,,,,,,,,,,,,,,,,,,,Page 25,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz001556zd,ark:/21198/zz0015562z,2,Completed,ChildWork,scwu/images/masters/21198-zz001556zd-1-master.tif,26,,,,,,,,,,,,,,,,,,,,,,,,,Page 26,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015570d,ark:/21198/zz0015562z,2,Completed,ChildWork,scwu/images/masters/21198-zz0015570d-1-master.tif,27,,,,,,,,,,,,,,,,,,,,,,,,,Page 27,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015571x,ark:/21198/zz0015562z,2,Completed,ChildWork,scwu/images/masters/21198-zz0015571x-1-master.tif,28,,,,,,,,,,,,,,,,,,,,,,,,,Page 28,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015572f,ark:/21198/zz0014sn3d,2,Completed,ChildWork,,53,,,,,,,text,,copyrighted,Y,published,Los Angeles (Calif.),,,Southern California Women for Understanding,,Lesbians $z California $z Los Angeles|~|Lesbians—Services for—California—Los Angeles—Periodicals,eng,,Southern California Women for Understanding,,,,,"Volume 10, Number 6","December, 1986-January, 1987",,,,1986-12/0987-01,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015573z,ark:/21198/zz0015572f,2,Completed,ChildWork,scwu/images/masters/21198-zz0015573z-1-master.tif,1,,,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015574g,ark:/21198/zz0015572f,2,Completed,ChildWork,scwu/images/masters/21198-zz0015574g-1-master.tif,2,,,,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz00155750,ark:/21198/zz0015572f,2,Completed,ChildWork,scwu/images/masters/21198-zz00155750-1-master.tif,3,,,,,,,,,,,,,,,,,,,,,,,,,Page 3,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015576h,ark:/21198/zz0015572f,2,Completed,ChildWork,scwu/images/masters/21198-zz0015576h-1-master.tif,4,,,,,,,,,,,,,,,,,,,,,,,,,Page 4,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz00155771,ark:/21198/zz0015572f,2,Completed,ChildWork,scwu/images/masters/21198-zz00155771-1-master.tif,5,,,,,,,,,,,,,,,,,,,,,,,,,Page 5,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015578j,ark:/21198/zz0015572f,2,Completed,ChildWork,scwu/images/masters/21198-zz0015578j-1-master.tif,6,,,,,,,,,,,,,,,,,,,,,,,,,Page 6,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz00155792,ark:/21198/zz0015572f,2,Completed,ChildWork,scwu/images/masters/21198-zz00155792-1-master.tif,7,,,,,,,,,,,,,,,,,,,,,,,,,Page 7,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz001557bk,ark:/21198/zz0015572f,2,Completed,ChildWork,scwu/images/masters/21198-zz001557bk-1-master.tif,8,,,,,,,,,,,,,,,,,,,,,,,,,Page 8,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz001557c3,ark:/21198/zz0015572f,2,Completed,ChildWork,scwu/images/masters/21198-zz001557c3-1-master.tif,9,,,,,,,,,,,,,,,,,,,,,,,,,Page 9,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz001557dm,ark:/21198/zz0015572f,2,Completed,ChildWork,scwu/images/masters/21198-zz001557dm-1-master.tif,10,,,,,,,,,,,,,,,,,,,,,,,,,Page 10,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz001557f4,ark:/21198/zz0015572f,2,Completed,ChildWork,scwu/images/masters/21198-zz001557f4-1-master.tif,11,,,,,,,,,,,,,,,,,,,,,,,,,Page 11,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz001557gn,ark:/21198/zz0015572f,2,Completed,ChildWork,scwu/images/masters/21198-zz001557gn-1-master.tif,12,,,,,,,,,,,,,,,,,,,,,,,,,Page 12,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz001557h5,ark:/21198/zz0015572f,2,Completed,ChildWork,scwu/images/masters/21198-zz001557h5-1-master.tif,13,,,,,,,,,,,,,,,,,,,,,,,,,Page 13,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz001557jp,ark:/21198/zz0015572f,2,Completed,ChildWork,scwu/images/masters/21198-zz001557jp-1-master.tif,14,,,,,,,,,,,,,,,,,,,,,,,,,Page 14,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz001557k6,ark:/21198/zz0015572f,2,Completed,ChildWork,scwu/images/masters/21198-zz001557k6-1-master.tif,15,,,,,,,,,,,,,,,,,,,,,,,,,Page 15,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz001557mq,ark:/21198/zz0015572f,2,Completed,ChildWork,scwu/images/masters/21198-zz001557mq-1-master.tif,16,,,,,,,,,,,,,,,,,,,,,,,,,Page 16,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz001557n7,ark:/21198/zz0015572f,2,Completed,ChildWork,scwu/images/masters/21198-zz001557n7-1-master.tif,17,,,,,,,,,,,,,,,,,,,,,,,,,Page 17,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz001557pr,ark:/21198/zz0015572f,2,Completed,ChildWork,scwu/images/masters/21198-zz001557pr-1-master.tif,18,,,,,,,,,,,,,,,,,,,,,,,,,Page 18,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz001557q8,ark:/21198/zz0015572f,2,Completed,ChildWork,scwu/images/masters/21198-zz001557q8-1-master.tif,19,,,,,,,,,,,,,,,,,,,,,,,,,Page 19,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz001557rs,ark:/21198/zz0015572f,2,Completed,ChildWork,scwu/images/masters/21198-zz001557rs-1-master.tif,20,,,,,,,,,,,,,,,,,,,,,,,,,Page 20,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz001557s9,ark:/21198/zz0014sn3d,2,Completed,ChildWork,,54,,,,,,,text,,copyrighted,Y,published,Los Angeles (Calif.),,,Southern California Women for Understanding,,Lesbians $z California $z Los Angeles|~|Lesbians—Services for—California—Los Angeles—Periodicals,eng,,Southern California Women for Understanding,,,,,"Volume 11, Number 1","February-March, 1987",,,,1987-02/1987-03,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz001557tt,ark:/21198/zz001557s9,2,Completed,ChildWork,scwu/images/masters/21198-zz001557tt-1-master.tif,1,,,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz001557vb,ark:/21198/zz001557s9,2,Completed,ChildWork,scwu/images/masters/21198-zz001557vb-1-master.tif,2,,,,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz001557wv,ark:/21198/zz001557s9,2,Completed,ChildWork,scwu/images/masters/21198-zz001557wv-1-master.tif,3,,,,,,,,,,,,,,,,,,,,,,,,,Page 3,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz001557xc,ark:/21198/zz001557s9,2,Completed,ChildWork,scwu/images/masters/21198-zz001557xc-1-master.tif,4,,,,,,,,,,,,,,,,,,,,,,,,,Page 4,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz001557zw,ark:/21198/zz001557s9,2,Completed,ChildWork,scwu/images/masters/21198-zz001557zw-1-master.tif,5,,,,,,,,,,,,,,,,,,,,,,,,,Page 5,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015580w,ark:/21198/zz001557s9,2,Completed,ChildWork,scwu/images/masters/21198-zz0015580w-1-master.tif,6,,,,,,,,,,,,,,,,,,,,,,,,,Page 6,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015581d,ark:/21198/zz001557s9,2,Completed,ChildWork,scwu/images/masters/21198-zz0015581d-1-master.tif,7,,,,,,,,,,,,,,,,,,,,,,,,,Page 7,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015582x,ark:/21198/zz001557s9,2,Completed,ChildWork,scwu/images/masters/21198-zz0015582x-1-master.tif,8,,,,,,,,,,,,,,,,,,,,,,,,,Page 8,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015583f,ark:/21198/zz001557s9,2,Completed,ChildWork,scwu/images/masters/21198-zz0015583f-1-master.tif,9,,,,,,,,,,,,,,,,,,,,,,,,,Page 9,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015584z,ark:/21198/zz001557s9,2,Completed,ChildWork,scwu/images/masters/21198-zz0015584z-1-master.tif,10,,,,,,,,,,,,,,,,,,,,,,,,,Page 10,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015585g,ark:/21198/zz001557s9,2,Completed,ChildWork,scwu/images/masters/21198-zz0015585g-1-master.tif,11,,,,,,,,,,,,,,,,,,,,,,,,,Page 11,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz00155860,ark:/21198/zz001557s9,2,Completed,ChildWork,scwu/images/masters/21198-zz00155860-1-master.tif,12,,,,,,,,,,,,,,,,,,,,,,,,,Page 12,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015587h,ark:/21198/zz001557s9,2,Completed,ChildWork,scwu/images/masters/21198-zz0015587h-1-master.tif,13,,,,,,,,,,,,,,,,,,,,,,,,,Page 13,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz00155881,ark:/21198/zz001557s9,2,Completed,ChildWork,scwu/images/masters/21198-zz00155881-1-master.tif,14,,,,,,,,,,,,,,,,,,,,,,,,,Page 14,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015589j,ark:/21198/zz001557s9,2,Completed,ChildWork,scwu/images/masters/21198-zz0015589j-1-master.tif,15,,,,,,,,,,,,,,,,,,,,,,,,,Page 15,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz001558b2,ark:/21198/zz001557s9,2,Completed,ChildWork,scwu/images/masters/21198-zz001558b2-1-master.tif,16,,,,,,,,,,,,,,,,,,,,,,,,,Page 16,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz001558ck,ark:/21198/zz001557s9,2,Completed,ChildWork,scwu/images/masters/21198-zz001558ck-1-master.tif,17,,,,,,,,,,,,,,,,,,,,,,,,,Page 17,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz001558d3,ark:/21198/zz001557s9,2,Completed,ChildWork,scwu/images/masters/21198-zz001558d3-1-master.tif,18,,,,,,,,,,,,,,,,,,,,,,,,,Page 18,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz001558fm,ark:/21198/zz001557s9,2,Completed,ChildWork,scwu/images/masters/21198-zz001558fm-1-master.tif,19,,,,,,,,,,,,,,,,,,,,,,,,,Page 19,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz001558g4,ark:/21198/zz001557s9,2,Completed,ChildWork,scwu/images/masters/21198-zz001558g4-1-master.tif,20,,,,,,,,,,,,,,,,,,,,,,,,,Page 20,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz001558hn,ark:/21198/zz0014sn3d,2,Completed,ChildWork,,55,,,,,,,text,,copyrighted,Y,published,Los Angeles (Calif.),,,Southern California Women for Understanding,,Lesbians $z California $z Los Angeles|~|Lesbians—Services for—California—Los Angeles—Periodicals,eng,,Southern California Women for Understanding,,,,,"Volume 11, Number 2","April-May, 1987",,,,1987-04/1987-05,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz001558j5,ark:/21198/zz001558hn,2,Completed,ChildWork,scwu/images/masters/21198-zz001558j5-1-master.tif,1,,,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz001558kp,ark:/21198/zz0014sn3d,2,Completed,ChildWork,,56,,,,,,,text,,copyrighted,Y,published,Los Angeles (Calif.),,,Southern California Women for Understanding,,Lesbians $z California $z Los Angeles|~|Lesbians—Services for—California—Los Angeles—Periodicals,eng,,Southern California Women for Understanding,,,,,"Volume 11, Number 3","June-July, 1987",,,,1987-06/1987-07,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz001558m6,ark:/21198/zz001558hn,2,Completed,ChildWork,scwu/images/masters/21198-zz001558m6-1-master.tif,2,,,,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz001558nq,ark:/21198/zz001558hn,2,Completed,ChildWork,scwu/images/masters/21198-zz001558nq-1-master.tif,3,,,,,,,,,,,,,,,,,,,,,,,,,Page 3,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz001558p7,ark:/21198/zz001558hn,2,Completed,ChildWork,scwu/images/masters/21198-zz001558p7-1-master.tif,4,,,,,,,,,,,,,,,,,,,,,,,,,Page 4,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz001558qr,ark:/21198/zz001558hn,2,Completed,ChildWork,scwu/images/masters/21198-zz001558qr-1-master.tif,5,,,,,,,,,,,,,,,,,,,,,,,,,Page 5,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz001558r8,ark:/21198/zz001558hn,2,Completed,ChildWork,scwu/images/masters/21198-zz001558r8-1-master.tif,6,,,,,,,,,,,,,,,,,,,,,,,,,Page 6,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz001558ss,ark:/21198/zz001558hn,2,Completed,ChildWork,scwu/images/masters/21198-zz001558ss-1-master.tif,7,,,,,,,,,,,,,,,,,,,,,,,,,Page 7,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz001558t9,ark:/21198/zz001558hn,2,Completed,ChildWork,scwu/images/masters/21198-zz001558t9-1-master.tif,8,,,,,,,,,,,,,,,,,,,,,,,,,Page 8,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz001558vt,ark:/21198/zz001558hn,2,Completed,ChildWork,scwu/images/masters/21198-zz001558vt-1-master.tif,9,,,,,,,,,,,,,,,,,,,,,,,,,Page 9,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz001558wb,ark:/21198/zz001558hn,2,Completed,ChildWork,scwu/images/masters/21198-zz001558wb-1-master.tif,10,,,,,,,,,,,,,,,,,,,,,,,,,Page 10,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz001558xv,ark:/21198/zz001558hn,2,Completed,ChildWork,scwu/images/masters/21198-zz001558xv-1-master.tif,11,,,,,,,,,,,,,,,,,,,,,,,,,Page 11,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz001558zc,ark:/21198/zz001558hn,2,Completed,ChildWork,scwu/images/masters/21198-zz001558zc-1-master.tif,12,,,,,,,,,,,,,,,,,,,,,,,,,Page 12,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015590c,ark:/21198/zz001558hn,2,Completed,ChildWork,scwu/images/masters/21198-zz0015590c-1-master.tif,13,,,,,,,,,,,,,,,,,,,,,,,,,Page 13,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015591w,ark:/21198/zz001558hn,2,Completed,ChildWork,scwu/images/masters/21198-zz0015591w-1-master.tif,14,,,,,,,,,,,,,,,,,,,,,,,,,Page 14,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015592d,ark:/21198/zz001558hn,2,Completed,ChildWork,scwu/images/masters/21198-zz0015592d-1-master.tif,15,,,,,,,,,,,,,,,,,,,,,,,,,Page 15,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015593x,ark:/21198/zz001558hn,2,Completed,ChildWork,scwu/images/masters/21198-zz0015593x-1-master.tif,16,,,,,,,,,,,,,,,,,,,,,,,,,Page 16,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015594f,ark:/21198/zz001558hn,2,Completed,ChildWork,scwu/images/masters/21198-zz0015594f-1-master.tif,17,,,,,,,,,,,,,,,,,,,,,,,,,Page 17,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015595z,ark:/21198/zz001558hn,2,Completed,ChildWork,scwu/images/masters/21198-zz0015595z-1-master.tif,18,,,,,,,,,,,,,,,,,,,,,,,,,Page 18,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015596g,ark:/21198/zz001558hn,2,Completed,ChildWork,scwu/images/masters/21198-zz0015596g-1-master.tif,19,,,,,,,,,,,,,,,,,,,,,,,,,Page 19,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz00155970,ark:/21198/zz001558hn,2,Completed,ChildWork,scwu/images/masters/21198-zz00155970-1-master.tif,20,,,,,,,,,,,,,,,,,,,,,,,,,Page 20,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz0015598h,ark:/21198/zz001558hn,2,Completed,ChildWork,scwu/images/masters/21198-zz0015598h-1-master.tif,21,,,,,,,,,,,,,,,,,,,,,,,,,Page 21,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz00155991,ark:/21198/zz001558hn,2,Completed,ChildWork,scwu/images/masters/21198-zz00155991-1-master.tif,22,,,,,,,,,,,,,,,,,,,,,,,,,Page 22,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz001559bj,ark:/21198/zz001558hn,2,Completed,ChildWork,scwu/images/masters/21198-zz001559bj-1-master.tif,23,,,,,,,,,,,,,,,,,,,,,,,,,Page 23,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz001559c2,ark:/21198/zz001558hn,2,Completed,ChildWork,scwu/images/masters/21198-zz001559c2-1-master.tif,24,,,,,,,,,,,,,,,,,,,,,,,,,Page 24,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz001559dk,ark:/21198/zz001558kp,2,Completed,ChildWork,scwu/images/masters/21198-zz001559dk-1-master.tif,1,,,,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz001559f3,ark:/21198/zz001558kp,2,Completed,ChildWork,scwu/images/masters/21198-zz001559f3-1-master.tif,2,,,,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz001559gm,ark:/21198/zz001558kp,2,Completed,ChildWork,scwu/images/masters/21198-zz001559gm-1-master.tif,3,,,,,,,,,,,,,,,,,,,,,,,,,Page 3,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz001559h4,ark:/21198/zz001558kp,2,Completed,ChildWork,scwu/images/masters/21198-zz001559h4-1-master.tif,4,,,,,,,,,,,,,,,,,,,,,,,,,Page 4,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz001559jn,ark:/21198/zz001558kp,2,Completed,ChildWork,scwu/images/masters/21198-zz001559jn-1-master.tif,5,,,,,,,,,,,,,,,,,,,,,,,,,Page 5,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz001559k5,ark:/21198/zz001558kp,2,Completed,ChildWork,scwu/images/masters/21198-zz001559k5-1-master.tif,6,,,,,,,,,,,,,,,,,,,,,,,,,Page 6,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz001559mp,ark:/21198/zz001558kp,2,Completed,ChildWork,scwu/images/masters/21198-zz001559mp-1-master.tif,7,,,,,,,,,,,,,,,,,,,,,,,,,Page 7,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz001559n6,ark:/21198/zz001558kp,2,Completed,ChildWork,scwu/images/masters/21198-zz001559n6-1-master.tif,8,,,,,,,,,,,,,,,,,,,,,,,,,Page 8,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz001559pq,ark:/21198/zz001558kp,2,Completed,ChildWork,scwu/images/masters/21198-zz001559pq-1-master.tif,9,,,,,,,,,,,,,,,,,,,,,,,,,Page 9,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz001559q7,ark:/21198/zz001558kp,2,Completed,ChildWork,scwu/images/masters/21198-zz001559q7-1-master.tif,10,,,,,,,,,,,,,,,,,,,,,,,,,Page 10,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz001559rr,ark:/21198/zz001558kp,2,Completed,ChildWork,scwu/images/masters/21198-zz001559rr-1-master.tif,11,,,,,,,,,,,,,,,,,,,,,,,,,Page 11,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz001559s8,ark:/21198/zz001558kp,2,Completed,ChildWork,scwu/images/masters/21198-zz001559s8-1-master.tif,12,,,,,,,,,,,,,,,,,,,,,,,,,Page 12,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz001559ts,ark:/21198/zz001558kp,2,Completed,ChildWork,scwu/images/masters/21198-zz001559ts-1-master.tif,13,,,,,,,,,,,,,,,,,,,,,,,,,Page 13,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz001559v9,ark:/21198/zz001558kp,2,Completed,ChildWork,scwu/images/masters/21198-zz001559v9-1-master.tif,14,,,,,,,,,,,,,,,,,,,,,,,,,Page 14,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz001559wt,ark:/21198/zz001558kp,2,Completed,ChildWork,scwu/images/masters/21198-zz001559wt-1-master.tif,15,,,,,,,,,,,,,,,,,,,,,,,,,Page 15,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz001559xb,ark:/21198/zz001558kp,2,Completed,ChildWork,scwu/images/masters/21198-zz001559xb-1-master.tif,16,,,,,,,,,,,,,,,,,,,,,,,,,Page 16,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz001559zv,ark:/21198/zz001558kp,2,Completed,ChildWork,scwu/images/masters/21198-zz001559zv-1-master.tif,17,,,,,,,,,,,,,,,,,,,,,,,,,Page 17,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz00155b0v,ark:/21198/zz001558kp,2,Completed,ChildWork,scwu/images/masters/21198-zz00155b0v-1-master.tif,18,,,,,,,,,,,,,,,,,,,,,,,,,Page 18,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz00155b1c,ark:/21198/zz001558kp,2,Completed,ChildWork,scwu/images/masters/21198-zz00155b1c-1-master.tif,19,,,,,,,,,,,,,,,,,,,,,,,,,Page 19,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz00155b2w,ark:/21198/zz001558kp,2,Completed,ChildWork,scwu/images/masters/21198-zz00155b2w-1-master.tif,20,,,,,,,,,,,,,,,,,,,,,,,,,Page 20,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz00155b3d,ark:/21198/zz001558kp,2,Completed,ChildWork,scwu/images/masters/21198-zz00155b3d-1-master.tif,21,,,,,,,,,,,,,,,,,,,,,,,,,Page 21,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz00155b4x,ark:/21198/zz001558kp,2,Completed,ChildWork,scwu/images/masters/21198-zz00155b4x-1-master.tif,22,,,,,,,,,,,,,,,,,,,,,,,,,Page 22,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz00155b5f,ark:/21198/zz001558kp,2,Completed,ChildWork,scwu/images/masters/21198-zz00155b5f-1-master.tif,23,,,,,,,,,,,,,,,,,,,,,,,,,Page 23,,,,,,,,,,
Southern California Women for Understanding (SCWU) Collection,ark:/21198/zz00155b6z,ark:/21198/zz001558kp,2,Completed,ChildWork,scwu/images/masters/21198-zz00155b6z-1-master.tif,24,,,,,,,,,,,,,,,,,,,,,,,,,Page 24,,,,,,,,,,
