"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Type.typeOfResource","Rights.copyrightStatus","Rights.permission","Rights.publicationStatus","Coverage.geographic","Name.creator","Author","Rights.servicesContact","Language","Type.genre","Subject","Name.subject","Name.repository","Name.contributor","viewingHint","Text direction","Visibility","IIIF Range","Title","Date.normalized","Date.creation","Description.note","Description.inscription","Description.abstract","Bucketeer State","IIIF Access URL"
"Cruikshank (Margaret) Collection","ark:/21198/zz001bnv72","ark:/21198/zz001bnv51","2","Completed","Page","cruikshank/images/masters/21198-zz001bnv72_748748_master.tif","1","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bnv72"
"Cruikshank (Margaret) Collection","ark:/21198/zz001bnvbm","ark:/21198/zz001bnv8k","2","Completed","Page","cruikshank/images/masters/21198-zz001bnvbm_748757_master.tif","1","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bnvbm"
"Cruikshank (Margaret) Collection","ark:/21198/zz001bnvf5","ark:/21198/zz001bnvc4","2","Completed","Page","cruikshank/images/masters/21198-zz001bnvf5_748767_master.tif","1","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bnvf5"
"Cruikshank (Margaret) Collection","ark:/21198/zz001bnvh6","ark:/21198/zz001bnvgp","2","Completed","Page","cruikshank/images/masters/21198-zz001bnvh6_748778_master.tif","1","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bnvh6"
"Cruikshank (Margaret) Collection","ark:/21198/zz001bp308","ark:/21198/zz001bp2z8","2","Completed","Page","cruikshank/images/masters/21198-zz001bp308_749237_master.tif","1","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bp308"
"Cruikshank (Margaret) Collection","ark:/21198/zz001bp329","ark:/21198/zz001bp31s","2","Completed","Page","cruikshank/images/masters/21198-zz001bp329_749240_master.tif","1","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bp329"
"Cruikshank (Margaret) Collection","ark:/21198/zz001bp34b","ark:/21198/zz001bp33t","2","Completed","Page","cruikshank/images/masters/21198-zz001bp34b_749243_master.tif","1","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bp34b"
"Cruikshank (Margaret) Collection","ark:/21198/zz001bp36c","ark:/21198/zz001bp35v","2","Completed","Page","cruikshank/images/masters/21198-zz001bp36c_749246_master.tif","1","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bp36c"
"Cruikshank (Margaret) Collection","ark:/21198/zz001bp38d","ark:/21198/zz001bp37w","2","Completed","Page","cruikshank/images/masters/21198-zz001bp38d_749249_master.tif","1","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bp38d"
"Cruikshank (Margaret) Collection","ark:/21198/zz001bp3bf","ark:/21198/zz001bp39x","2","Completed","Page","cruikshank/images/masters/21198-zz001bp3bf_749252_master.tif","1","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bp3bf"
"Cruikshank (Margaret) Collection","ark:/21198/zz001bp3dg","ark:/21198/zz001bp3cz","2","Completed","Page","cruikshank/images/masters/21198-zz001bp3dg_749255_master.tif","1","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bp3dg"
"Cruikshank (Margaret) Collection","ark:/21198/zz001bp3gh","ark:/21198/zz001bp3f0","2","Completed","Page","cruikshank/images/masters/21198-zz001bp3gh_749258_master.tif","1","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bp3gh"
"Cruikshank (Margaret) Collection","ark:/21198/zz001bp3jj","ark:/21198/zz001bp3h1","2","Completed","Page","cruikshank/images/masters/21198-zz001bp3jj_749261_master.tif","1","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bp3jj"
"Cruikshank (Margaret) Collection","ark:/21198/zz001bp3mk","ark:/21198/zz001bp3k2","2","Completed","Page","cruikshank/images/masters/21198-zz001bp3mk_749264_master.tif","1","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bp3mk"
"Cruikshank (Margaret) Collection","ark:/21198/zz001bp3pm","ark:/21198/zz001bp3n3","2","Completed","Page","cruikshank/images/masters/21198-zz001bp3pm_749270_master.tif","1","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bp3pm"
"Cruikshank (Margaret) Collection","ark:/21198/zz001bp3q4","ark:/21198/zz001bp3n3","2","Completed","Page","cruikshank/images/masters/21198-zz001bp3q4_749273_master.tif","2","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bp3q4"
"Cruikshank (Margaret) Collection","ark:/21198/zz001bp3s5","ark:/21198/zz001bp3rn","2","Completed","Page","cruikshank/images/masters/21198-zz001bp3s5_749276_master.tif","1","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bp3s5"
"Cruikshank (Margaret) Collection","ark:/21198/zz001bp3v6","ark:/21198/zz001bp3tp","2","Completed","Page","cruikshank/images/masters/21198-zz001bp3v6_749279_master.tif","1","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bp3v6"
"Cruikshank (Margaret) Collection","ark:/21198/zz001bp3x7","ark:/21198/zz001bp3wq","2","Completed","Page","cruikshank/images/masters/21198-zz001bp3x7_749282_master.tif","1","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bp3x7"
"Cruikshank (Margaret) Collection","ark:/21198/zz001bp3zr","ark:/21198/zz001bp3wq","2","Completed","Page","cruikshank/images/masters/21198-zz001bp3zr_749285_master.tif","2","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bp3zr"
"Cruikshank (Margaret) Collection","ark:/21198/zz001bp418","ark:/21198/zz001bp40r","2","Completed","Page","cruikshank/images/masters/21198-zz001bp418_749288_master.tif","1","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bp418"
"Cruikshank (Margaret) Collection","ark:/21198/zz001bp439","ark:/21198/zz001bp42s","2","Completed","Page","cruikshank/images/masters/21198-zz001bp439_749291_master.tif","1","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bp439"
"Cruikshank (Margaret) Collection","ark:/21198/zz001bp44t","ark:/21198/zz001bp42s","2","Completed","Page","cruikshank/images/masters/21198-zz001bp44t_749294_master.tif","2","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bp44t"
"Cruikshank (Margaret) Collection","ark:/21198/zz001bp45b","ark:/21198/zz001bp42s","2","Completed","Page","cruikshank/images/masters/21198-zz001bp45b_749297_master.tif","3","","","","","","","","","","","","","","","","","","","","","","Page 3","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bp45b"
"Cruikshank (Margaret) Collection","ark:/21198/zz001bp47c","ark:/21198/zz001bp46v","2","Completed","Page","cruikshank/images/masters/21198-zz001bp47c_749300_master.tif","1","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001bp47c"
