"File Name","Item Sequence","Title","IIIF Range","viewingHint","Parent ARK","Item ARK","Object Type","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"picart/masters/fre_aju/fre_aju_v5/aju_picart_v05_060.tif","60","60","","","ark:/21198/z11g2dn8","ark:/21198/z11g2dn8/q4850297","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2dn8%2Fq4850297",""
"picart/masters/fre_aju/fre_aju_v5/aju_picart_v05_061.tif","61","61","","","ark:/21198/z11g2dn8","ark:/21198/z11g2dn8/0w01hz7n","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2dn8%2F0w01hz7n",""
"picart/masters/fre_aju/fre_aju_v5/aju_picart_v05_062.tif","62","62","","","ark:/21198/z11g2dn8","ark:/21198/z11g2dn8/cf43qc6f","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2dn8%2Fcf43qc6f",""
"picart/masters/fre_aju/fre_aju_v5/aju_picart_v05_063.tif","63","63","","","ark:/21198/z11g2dn8","ark:/21198/z11g2dn8/03442k8d","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2dn8%2F03442k8d",""
"picart/masters/fre_aju/fre_aju_v5/aju_picart_v05_064.tif","64","64","","","ark:/21198/z11g2dn8","ark:/21198/z11g2dn8/82332q47","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2dn8%2F82332q47",""
"picart/masters/fre_aju/fre_aju_v5/aju_picart_v05_065.tif","65","65","","","ark:/21198/z11g2dn8","ark:/21198/z11g2dn8/6s74gx9v","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2dn8%2F6s74gx9v",""
"picart/masters/fre_aju/fre_aju_v5/aju_picart_v05_066.tif","66","66","","","ark:/21198/z11g2dn8","ark:/21198/z11g2dn8/53430h7j","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2dn8%2F53430h7j",""
"picart/masters/fre_aju/fre_aju_v5/aju_picart_v05_067.tif","67","67","","","ark:/21198/z11g2dn8","ark:/21198/z11g2dn8/2t111b7p","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2dn8%2F2t111b7p",""
"picart/masters/fre_aju/fre_aju_v5/aju_picart_v05_068.tif","68","68","","","ark:/21198/z11g2dn8","ark:/21198/z11g2dn8/xd33c76r","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2dn8%2Fxd33c76r",""
"picart/masters/fre_aju/fre_aju_v5/aju_picart_v05_069.tif","69","69","","","ark:/21198/z11g2dn8","ark:/21198/z11g2dn8/h2389r6q","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2dn8%2Fh2389r6q",""
"picart/masters/fre_aju/fre_aju_v5/aju_picart_v05_070.tif","70","70","","","ark:/21198/z11g2dn8","ark:/21198/z11g2dn8/1m53q91w","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2dn8%2F1m53q91w",""
"picart/masters/fre_aju/fre_aju_v5/aju_picart_v05_071.tif","71","71","","","ark:/21198/z11g2dn8","ark:/21198/z11g2dn8/zg16dq9g","Page","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2dn8%2Fzg16dq9g",""
