Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Type.typeOfResource,viewingHint,Text direction,Visibility,IIIF Range,Rights.copyrightStatus,Rights.servicesContact,Name.subject,Relation.isPartOf,Subject,Name.collector,Name.repository,Description.contents,Relation.box,Relation.subseries,Relation.file,Relation.series,Alt ID.local,Title,Date.creation,Description.note,Description.condition,Format.extent,Language,AltTitle.other,Description.abstract,Date.normalized,Opac url,Finding Aid URL,IIIF Manifest URL
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcp7h,ark:/21198/zz0008c2pw,10,Completed with minimal metadata,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hct2v,text,paged,,,,copyrighted,,,,,,,"1|~|Performance Contracts, 1904",1,1. Business Papers 1905-1907,,1. Isadora Duncan,001-015,"Kontrakt, 1904 November 9",1904 November 9,"Contract for dance performance by Isadora Duncan on November 15. Signed by Elizabeth Duncan for Isadora Duncan, Berlin, 9 November 1904, and representative [illegible] for Stadt-Théaters, no date. Stamped ""Theater-Direction Heinrich Hagin.""","Folded, with 2 holes punched near center left edge, both holes torn through.","Print, 1 leaf (1 page) with typescript and manuscript annotations, signed.",ger,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hcp7h/manifest
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcp81,ark:/21198/zz0008c2pw,10,Completed with minimal metadata,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hct3c,text,paged,,,,copyrighted,,,,,,,"1|~|Performance Contracts, 1904",1,1. Business Papers 1905-1907,,1. Isadora Duncan,001-018,"[Agreement], 1904 August 28",1904 August 28,"Rental agreement, 28 August 1904, between ""Groote Schouwburgh"" zu Rotterdam and Algemeene Muziekhandel, Stumpff & Koning, Amsterdam, for October 20 and 22.","Folded, with 3 holes punched along left edge. Significant paper loss of upper left edge.","Print, 1 leaf (2 pages), with manuscript annotations.",ger,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hcp81/manifest
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcp9j,ark:/21198/zz0008c2pw,10,Completed with minimal metadata,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hct5d,text,paged,,,,copyrighted,,,,,,,"1|~|Performance Contracts, 1904",1,1. Business Papers 1905-1907,,1. Isadora Duncan,001-019,"Contract, 1904 testing test",1904,"Contract for performances by Isadora Duncan on October 18, 20 and 22 or 24, 26 and 28. With pencilled notes on verso in EGC's hand, ""Bremen"" and ""Iphigenia Walzerabend.""","Folded, with two holes punched along left center edge.","Typescript contract, 1 leaf (2 pages) with ECG's (?) holograph notes on verso.",eng,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hcp9j/manifest
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcpb2,ark:/21198/zz0008c2pw,10,Completed with minimal metadata,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hct7f,text,paged,,,,copyrighted,,,,,,,"1|~|Performance Contracts, 1904",1,1. Business Papers 1905-1907,,1. Isadora Duncan,001-020,"Kontrakt, 1904 September 1",1904 September 1,"Contract for performance by Isadora Duncan on October 12. Signed by Elizabeth Duncan for Isadora Duncan, Berlin, 1 September 1904 and representative [illegible] for Stadt-Théaters, Leipzig, 6 September 1904.","Folded, with 2 holes punched along left center edge.","Print, 1 leaf (1 page), typescript annotations, signed.",ger,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hcpb2/manifest
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcpck,ark:/21198/zz0008c2pw,10,Completed with minimal metadata,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hct8z,text,paged,,,,copyrighted,,,,,,,"1|~|Performance Contracts, 1904",1,1. Business Papers 1905-1907,,1. Isadora Duncan,001-021,"Kontrakt, 1904 September 23",1904 September 23,"Contract for performance by Isadora Duncan on October 5. Signed by Elizabeth Duncan for Isadora Duncan, Berlin, 23 September 1904, and Theodor Brandt, Stuttgart, September 1904.","Folded, with 4 holes punched along left center edge.","Print, 1 leaf (1 page), with typescript and manuscript annotations, signed.",ger,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hcpck/manifest
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcpd3,ark:/21198/zz0008c2pw,10,Completed with minimal metadata,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hct9g,text,paged,,,,copyrighted,,,,,,,"1|~|Performance Contracts, 1904",1,1. Business Papers 1905-1907,,1. Isadora Duncan,001-022,"Kontrakt, 1904 September 8",1904 September 8,"Contract for performance by Isadora Duncan on October 3. Signed by Elizabeth Duncan for Isadora Duncan, Berlin, 8 September 1904 and representative for Stadt-Théaters [illegible], 18 September 1904.","Folded, with 7 holes punched along left edge and 4 holes punched along right edge. Tear along center right fold.","Print, 1 leaf (1 page), with typescript and manuscript annotations, signed.",ger,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hcpd3/manifest
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcpfm,ark:/21198/zz0008c2pw,10,Completed with minimal metadata,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hctb0,text,paged,,,,copyrighted,,,,,,,"1|~|Performance Contracts, 1904",1,1. Business Papers 1905-1907,,1. Isadora Duncan,001-023,"Vertrag, 1904 September 19",1904 September 19,"Agreement for a dance performance by Isadora Duncan on September 28. Signed by Elizabeth Duncan for Isadora Duncan, Berlin, 19 September 1904, and a representative for Grossherzl. Hofthéater [illegible], Karlsruhe, 20 September 1904.","Folded, 2 holes along left center edge on both leaves.","Typescript contract, 2 leaves (2 pages) with manuscript annotations, signed.",ger,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hcpfm/manifest
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcpg4,ark:/21198/zz0008c2pw,10,Completed with minimal metadata,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hctd1,text,paged,,,,copyrighted,,,,,,,"1|~|Performance Contracts, 1904",1,1. Business Papers 1905-1907,,1. Isadora Duncan,001-024,"Kontrakt, 1904 August 20",1904 August 20,"Contract for performances by Isadora Duncan on September 3 and 25. Signed by Elizabeth Duncan for Isadora Duncan, Berlin, 20 August 1904, and [Heinrich Hagin], no date. blah","Folded, with 8 holes punched along left edge, 2 torn through to edge. Mended with 4 pieces of tape on verso along folds. Top right edge folded and torn. Several tears along right edge.","Print, 1 leaf (1 page), with manuscript annotations, signed.",ger,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hcpg4/manifest
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcphn,ark:/21198/zz0008c2pw,10,Completed with minimal metadata,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hctfj,text,paged,,,,copyrighted,,,,,,,"1|~|Performance Contracts, 1904",1,1. Business Papers 1905-1907,,1. Isadora Duncan,001-025,"Kontrakt, 1904 June 8",1904 June 8,"Contract for performance by Isadora Duncan on June 12. Signed for Isadora Duncan by [illegible], Eremitage, 8 June 1904 and Eugen Pfeiffer, Heidelberg, 12 June 1904.","Folded, with 2 holes punched along left center edge. Tear along fold on right edge.","Print, 1 leaf (1 page) with manuscript notations, signed.",ger,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hcphn/manifest
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcpj5,ark:/21198/zz0008c2pw,10,Completed with minimal metadata,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hctg2,text,paged,,,,copyrighted,,,,,,,"1|~|Performance Contracts, 1904",1,1. Business Papers 1905-1907,,1. Isadora Duncan,001-026,"Vertrag, 1904 March 31",1904 March 31,"Agreement for a dance performance by Isadora Duncan on April 16. Signed by Franz [illegible], Berlin, 31 March 1904. Written on letterhead for Robert Sachs, Theater-Direktor und Conzert-Impresario.","Folded, with 2 holes punched along left center edge.","Manuscript, 1 leaf (4 pages), folded, signed.",ger,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hcpj5/manifest
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcpkp,ark:/21198/zz0008c2pw,10,Completed with minimal metadata,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hctj3,text,paged,,,,copyrighted,,,,,,,"1|~|Performance Contracts, 1904",1,1. Business Papers 1905-1907,,1. Isadora Duncan,001-027,"Vertrag, 1904 January 3",1904 January 3,"Agreement with Raymond Duncan for rental of the Münchner Schauspielhauses for January 18, 20 and 22. Signed by Stollberg &C. Schmederer, Münich, 3 January 1904.","Folded, with 2 holes punched along left center edge. Tears along upper edge. Tear along bottom edge at fold.","Typescript contract, 1 leaf (2 pages), signed.",ger,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hcpkp/manifest
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcpm6,ark:/21198/zz0008c2pw,10,Completed with minimal metadata,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hctm4,text,paged,,,,copyrighted,,,,,,,"2|~|Performance Contracts, 1905",1,1. Business Papers 1905-1907,,1. Isadora Duncan,001-028,"Letter to Edward Gordon Craig, 1904 November 25",1905 November 25,"Letter, dated 25 November 1905, regarding receipts for a performance in Amersterdam by Isadora Duncan, detailing the amount Duncan is indebted to Edward Gordon Craig and the amount Craig owes Mr. Stumpff.|~|With note in pencil by EGC at top of page, ""Sounds quite clear -- & means to say Mr. Stumpff has made money & Mr. Craig or we (have/has) hardly made any money--Have you read Alice in Wonderland. All these affairs seem to be about as clear.""","Folded, with 2 holes punched along left center edge, removing some of the text. Top and right edges ragged, with numerous small tears and folds.","Typescript, 1 leaf (1 page), with holograph comments by Edward Gordon Craig.",eng,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hcpm6/manifest
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcpnq,ark:/21198/zz0008c2pw,10,Completed with minimal metadata,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hctp5,text,paged,,,,copyrighted,,,,,,,"1|~|Performance Contracts, 1904",1,1. Business Papers 1905-1907,,1. Isadora Duncan,001-031,"Kontrakt, 1904 September 6",1904 6 September,"Contract for dance performance by Isadora Duncan on January 5. Signed by Elizabeth Duncan for Isadora Duncan, Berlin, 6 September 1904 and Otto Lokse?], Cöln, 15 September 1904.","Folded, with 2 holes punched along left center edge. Tears along right edge. Paper abraded at center fold, right edge.","Print, 1 leaf (1 page), with typescript and manuscript annotations, signed.",ger,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hcpnq/manifest
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcpp7,ark:/21198/zz0008c2pw,10,Completed with minimal metadata,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hctqp,text,paged,,,,copyrighted,,,,,,,"1|~|Performance Contracts, 1904",1,1. Business Papers 1905-1907,,1. Isadora Duncan,001-033,"[Agreement], 1904 December 23",1904 December 23,"Contract for dance performances by Isadora Duncan on January 10 and 11. Signed by Elizabeth Duncan for Isadora Duncan, Berlin, 23 December 1904, and representative [illegible] for Dresden performance venue, Dresden, 29 December 1904.","Folded, with 2 holes punched along left center edge. Tear at right center fold.","Print, 1 leaf (4 pages), folded, with manuscript and typescript annotations, signed.",ger,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hcpp7/manifest
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcpqr,ark:/21198/zz0008c2pw,10,Completed with minimal metadata,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hctvr,text,paged,,,,copyrighted,,,,,,,"1|~|Performance Contracts, 1904",1,1. Business Papers 1905-1907,,1. Isadora Duncan,001-034,"[Agreement], 1904 December 6",1904 December 6,"Agreement for dance performance by Isadora Duncan on January 17, Albert halle, Leipzig. Signed by Sally Liebling and [illegible], Berlin, 6 December 1904.","Folded, with 2 holes punched along center left edge. Paper loss along lower left edge of page 4.","Print, 1 leaf (4 pages), folded, with manuscript annotations, signed.",ger,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hcpqr/manifest
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcpr8,ark:/21198/zz0008c2pw,10,Completed with minimal metadata,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hcv09,text,paged,,,,copyrighted,,,,,,,"1|~|Performance Contracts, 1904",1,1. Business Papers 1905-1907,,1. Isadora Duncan,001-035,"Kontrakt, 1904 September 27",1904 September 27,"Agreement for dance performances by Isadora Duncan on January 25, 27 and 30, 1905. Signed by Elizabeth Duncan for Isadora Duncan, Berlin, 27 September, 1904, and representative for Neuen Operetten-Théaters [illegible], Hamburg, 29 September 1904.","Folded, with 2 holes punched along left center edge.","Print, 1 leaf (1 page), with manuscript and typescript annotations, signed.",ger,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hcpr8/manifest
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcpt9,ark:/21198/zz0008c2pw,10,Completed with minimal metadata,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hcv1t,text,paged,,,,copyrighted,,,,,,,"1|~|Performance Contracts, 1904",1,1. Business Papers 1905-1907,,1. Isadora Duncan,001-037,"[Agreement], 1905 December 30",1904 Decemer 30,"Agreement for dance performances by Isadora Duncan on February 3, 6 and 9, 1905. Signed by Nicolas Toulinof, Petersburg, 30 December 1904, and Isadora Duncan, no date.","Folded, with 2 holes punched along left center edge, lower holes torn through to edge.","Print, 1 leaf (4 pages), folded, with manuscript annotations, signed.",ger,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hcpt9/manifest
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcpvt,ark:/21198/zz0008c2pw,10,Completed with minimal metadata,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hcv5w,text,paged,,,,copyrighted,,,,,,,"2|~|Performance Contracts, 1905",1,1. Business Papers 1905-1907,,1. Isadora Duncan,001-038,"[Agreement], 1905 January 26",1905 January 26,"Agreement for dance performance on February 25 in Frankfurt. Signed by Elizabeth Duncan for Isadora Duncan, Berlin, 26 January 1905, and [illegible] and Sally Liebling, Berlin, 2 February 1905.","Folded, with 2 holes punchaed along center left edge, upper hole torn through to edge.","Print, 1 leaf (4 pages), folded, with manuscript annotations, signed.",ger,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hcpvt/manifest
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcpwb,ark:/21198/zz0008c2pw,10,Completed with minimal metadata,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hcv9z,text,paged,,,,copyrighted,,,,,,,"2|~|Performance Contracts, 1905",1,1. Business Papers 1905-1907,,1. Isadora Duncan,001-039,[Agreement] 1905 February 4,1905 February 4,"Agreement for dance performance by Isadora Duncan on February 27. Signed by Augustin Duncan for Isadora Duncan, Berlin, 4 February 1905, and a representative [illegible]for Residenz-Theaters, Wiesbaden, 6 February 1905.","Folded, with 2 holes punched aong left center edge. Slight tear along center fold at lower edge.","Print, 1 leaf (4 pages), folded, with manuscript annotations, signed.",ger,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hcpwb/manifest
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcpxv,ark:/21198/zz0008c2pw,10,Completed with minimal metadata,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hcvf1,text,paged,,,,copyrighted,,,,,,,"2|~|Performance Contracts, 1905",1,1. Business Papers 1905-1907,,1. Isadora Duncan,001-041,"[Agreement], 1905 February 18",1905 February 18,"Agreement for dance performance by Isadora Duncan on March 16. Signed by Augustin Duncan for Isadora Duncan, Berlin, 18 February 1905, and by Emil [illegible] and Sally Liebling, no date.","Folded, with 2 holes punched along left center edge, both torn through to edge. Tears along right edge at fold, and lower center edge at fold.","Print, 1 leaf (4 pages), folded, with holograph annotations, signed.",ger,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hcpxv/manifest
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcpzc,ark:/21198/zz0008c2pw,10,Completed with minimal metadata,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hcvk3,text,paged,,,,copyrighted,,,,,,,"2|~|Performance Contracts, 1905",1,1. Business Papers 1905-1907,,1. Isadora Duncan,001-043,"[Agreement], 1905 April 20",1905 April 20,"Agreement for dance performance by Isadora Duncan on 23 and 24 April. signed by Isadora Duncan, no date, and representative [illegible] for Karl Schulze Theaters, Berlin, 20 April 1905.","Folded, with 2 holes punched along center left edge.","Print, 1 leaf (4 pages), folded, with manuscript annotations, signed.",ger,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hcpzc/manifest
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcq0c,ark:/21198/zz0008c2pw,10,Completed with minimal metadata,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hcvq5,text,paged,,,,copyrighted,,,,,,,"2|~|Performance Contracts, 1905",1,1. Business Papers 1905-1907,,1. Isadora Duncan,001-044,"[Agreement], 1905 April 20",1905 April 20,"Agreement for dance performance by Isadora Duncan on 23 and 24 April. signed by Isadora Duncan, no date, and representative [illegible] for Karl Schulze Theaters, Berlin, 20 April 1905.|~|This is a duplicate contract.","Folded, with 2 holes punched along left center edges. Tears at left center edge fold and lower left edge.","Print, 1 leaf (4 pages), folded, with manuscript annotations, signed.",ger,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hcq0c/manifest
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcq1w,ark:/21198/zz0008c2pw,10,Completed with minimal metadata,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hcvv7,text,paged,,,,copyrighted,,,,,,,"2|~|Performance Contracts, 1905",1,1. Business Papers 1905-1907,,1. Isadora Duncan,001-045,"[Agreement], 1905 January 26",1905 September,"Agreement for dance performance by Isadora Duncan in April [1906]. Signed by Isadora Duncan, Berlin, September 1905.","Folded, with 2 holes punched along center left edges. Top hole torn through to edge.","Print, 1 leaf (4 pages), folded, with holograph annotations, signed.",ger,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hcq1w/manifest
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcq2d,ark:/21198/zz0008c2pw,10,Completed with minimal metadata,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hcw0s,text,paged,,,,copyrighted,,,,,,,"2|~|Performance Contracts, 1905",1,1. Business Papers 1905-1907,,1. Isadora Duncan,001-046,"[Agreement], 1905 May 10",1905 May 10,"Agreement for dance performance by Isadora Duncan on 24 May 1905. Signed by Otto [illegible], Bonn, 10 May 1905 and Isadora Duncan, Berlin, 12 May 1905.","Folded, with 2 holes punched along center left edges, holes torn through to edges. Tears along center fold, right edges.","Print, 1 leaf (4 pages), folded, with manuscript annotations, signed.",ger,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hcq2d/manifest
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcq3x,ark:/21198/zz0008c2pw,10,Completed with minimal metadata,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hcw4v,text,paged,,,,copyrighted,,,,,,,"2|~|Performance Contracts, 1905",1,1. Business Papers 1905-1907,,1. Isadora Duncan,001-047,"[Agreement], 1905 May 5",1905 May 5,"Agreement for dance performance by Isadora Duncan on 26 May. Signed by Isadora Duncan, Berlin, 7 May 1905 and Ernst Harms, Freiburg, 5 May 1905.","Folded, with 2 holes punched along left center edges. Tears along left center fold and lower edge center fold.","Print, 1 leaf (4 pages), folded, with manuscript annotations, signed.",ger,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hcq3x/manifest
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcq4f,ark:/21198/zz0008c2pw,10,Completed with minimal metadata,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hcw8x,text,paged,,,,copyrighted,,,,,,,"2|~|Performance Contracts, 1905",1,1. Business Papers 1905-1907,,1. Isadora Duncan,001-048,"Kontrakt, 1905 June 21",1905 June 21,"Contract for dance performance by Isadora Duncan on June 26. Signed by Theodor Brandt, Stuttgart, 21 June 1905.","Folded, with 2 holes punched along left center edges. Tear along right edge center fold.","Print, 1 leaf (1 page), with manuscript annotations, signed.",ger,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hcq4f/manifest
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcq5z,ark:/21198/zz0008c2pw,10,Completed with minimal metadata,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hcw9f,text,paged,,,,copyrighted,,,,,,,"2|~|Performance Contracts, 1905",1,1. Business Papers 1905-1907,,1. Isadora Duncan,001-049,"Kontrakt, 1905 June 21",1905 June 21,"Contract for dance performance by Isadora Duncan, June 26. Signed by Theodor Brandt, Stuttgart, 21 June 1905.|~|Duplicate contract.","Folded, with 2 holes punched along left edge. Tear along right edge at center fold. Tear along lower right edge, with edge folded.","Print, 1 leaf (1 page), with manuscript notations, signed.",ger,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hcq5z/manifest
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcq6g,ark:/21198/zz0008c2pw,10,Completed with minimal metadata,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hcwbz,text,paged,,,,copyrighted,,,,,,,"2|~|Performance Contracts, 1905",1,1. Business Papers 1905-1907,,1. Isadora Duncan,001-050,"Kontrakt, 1905 August 23",1905 August 23,"Contract for dance performance by Isadora Duncan on August 29. Signed by representative [illegible] for Tonhalle, Zürich, 23 August 1905.","Folded, with 2 holes punched along left center edge.","Typescript(carbon) , 1 leaf (2 pages), with manuscript annotations, signed.",ger,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002hcq6g/manifest
