"Title","Project Name","Item ARK","Parent ARK","Object Type","viewingHint","File Name","Item Sequence","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Rights.servicesContact","Name.repository","Name.illuminator","Language","Author","AltTitle.other","Description.note","Date.creation","Summary","Date.normalized","Description.adminnote","Description.contents","Condition note","Illustrations note","Description.colophon","Description.history","Binding note","Format.extent","Alt ID.local","Format.dimensions","Relation.isPartOf","AltTitle.uniform","Place of origin","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Manuscript No.64: 0081","Armenian Manuscripts","ark:/21198/zz0028zp56","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0081.tif","81","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zp56",""
"Manuscript No.64: 0082","Armenian Manuscripts","ark:/21198/zz0028zp6q","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0082.tif","82","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zp6q",""
"Manuscript No.64: 0083","Armenian Manuscripts","ark:/21198/zz0028zp77","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0083.tif","83","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zp77",""
"Manuscript No.64: 0084","Armenian Manuscripts","ark:/21198/zz0028zp8r","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0084.tif","84","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zp8r",""
"Manuscript No.64: 0085","Armenian Manuscripts","ark:/21198/zz0028zp98","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0085.tif","85","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zp98",""
"Manuscript No.64: 0086","Armenian Manuscripts","ark:/21198/zz0028zpbs","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0086.tif","86","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zpbs",""
"Manuscript No.64: 0087","Armenian Manuscripts","ark:/21198/zz0028zpc9","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0087.tif","87","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zpc9",""
"Manuscript No.64: 0088","Armenian Manuscripts","ark:/21198/zz0028zpdt","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0088.tif","88","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zpdt",""
"Manuscript No.64: 0089","Armenian Manuscripts","ark:/21198/zz0028zpfb","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0089.tif","89","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zpfb",""
"Manuscript No.64: 0090","Armenian Manuscripts","ark:/21198/zz0028zpgv","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0090.tif","90","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zpgv",""
"Manuscript No.64: 0091","Armenian Manuscripts","ark:/21198/zz0028zphc","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0091.tif","91","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zphc",""
"Manuscript No.64: 0092","Armenian Manuscripts","ark:/21198/zz0028zpjw","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0092.tif","92","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zpjw",""
"Manuscript No.64: 0093","Armenian Manuscripts","ark:/21198/zz0028zpkd","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0093.tif","93","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zpkd",""
"Manuscript No.64: 0094","Armenian Manuscripts","ark:/21198/zz0028zpmx","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0094.tif","94","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zpmx",""
"Manuscript No.64: 0095","Armenian Manuscripts","ark:/21198/zz0028zpnf","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0095.tif","95","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zpnf",""
"Manuscript No.64: 0096","Armenian Manuscripts","ark:/21198/zz0028zppz","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0096.tif","96","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zppz",""
"Manuscript No.64: 0097","Armenian Manuscripts","ark:/21198/zz0028zpqg","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0097.tif","97","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zpqg",""
"Manuscript No.64: 0098","Armenian Manuscripts","ark:/21198/zz0028zpr0","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0098.tif","98","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zpr0",""
"Manuscript No.64: 0099","Armenian Manuscripts","ark:/21198/zz0028zpsh","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0099.tif","99","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zpsh",""
"Manuscript No.64: 0100","Armenian Manuscripts","ark:/21198/zz0028zpt1","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0100.tif","100","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zpt1",""
"Manuscript No.64: 0101","Armenian Manuscripts","ark:/21198/zz0028zpvj","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0101.tif","101","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zpvj",""
"Manuscript No.64: 0102","Armenian Manuscripts","ark:/21198/zz0028zpw2","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0102.tif","102","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zpw2",""
"Manuscript No.64: 0103","Armenian Manuscripts","ark:/21198/zz0028zpxk","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0103.tif","103","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zpxk",""
"Manuscript No.64: 0104","Armenian Manuscripts","ark:/21198/zz0028zpz3","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0104.tif","104","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zpz3",""
"Manuscript No.64: 0105","Armenian Manuscripts","ark:/21198/zz0028zq03","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0105.tif","105","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zq03",""
"Manuscript No.64: 0106","Armenian Manuscripts","ark:/21198/zz0028zq1m","ark:/21198/zz0026w358","Page","","armenian/masters/ms_64/ms_64_0106.tif","106","text","Manuscripts","pd","","","","","","","","","","","","","","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028zq1m",""
