"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","viewingHint","Text direction","Visibility","IIIF Range","Rights.copyrightStatus","Alternate Identifier.local","Title","Relation.rectoVerso","thumbnailImageName","masterImageName","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014r0fz","ark:/21198/zz000wq4n8","7","Completed","Page","minasian/masters/1391/1391_0247.tif","247","","","","","","","pd","1147_1391_0247","page 245","r","1147_1391_0247.jpg","1391_0247.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014r0fz",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014r0gg","ark:/21198/zz000wq4n8","7","Completed","Page","minasian/masters/1391/1391_0248.tif","248","","","","","","","pd","1147_1391_0248","page 246","v","1147_1391_0248.jpg","1391_0248.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014r0gg",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014r0h0","ark:/21198/zz000wq4n8","7","Completed","Page","minasian/masters/1391/1391_0249.tif","249","","","","","","","pd","1147_1391_0249","page 247","r","1147_1391_0249.jpg","1391_0249.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014r0h0",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014r0jh","ark:/21198/zz000wq4n8","7","Completed","Page","minasian/masters/1391/1391_0250.tif","250","","","","","","","pd","1147_1391_0250","page 248","v","1147_1391_0250.jpg","1391_0250.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014r0jh",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014r0k1","ark:/21198/zz000wq4n8","7","Completed","Page","minasian/masters/1391/1391_0251.tif","251","","","","","","","pd","1147_1391_0251","page 249","r","1147_1391_0251.jpg","1391_0251.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014r0k1",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014r0mj","ark:/21198/zz000wq4n8","7","Completed","Page","minasian/masters/1391/1391_0252.tif","252","","","","","","","pd","1147_1391_0252","page 250","v","1147_1391_0252.jpg","1391_0252.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014r0mj",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014r0n2","ark:/21198/zz000wq4n8","7","Completed","Page","minasian/masters/1391/1391_0253.tif","253","","","","","","","pd","1147_1391_0253","page 251","r","1147_1391_0253.jpg","1391_0253.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014r0n2",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014r0pk","ark:/21198/zz000wq4n8","7","Completed","Page","minasian/masters/1391/1391_0254.tif","254","","","","","","","pd","1147_1391_0254","page 252","v","1147_1391_0254.jpg","1391_0254.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014r0pk",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014r0q3","ark:/21198/zz000wq4n8","7","Completed","Page","minasian/masters/1391/1391_0255.tif","255","","","","","","","pd","1147_1391_0255","page 254","r","1147_1391_0255.jpg","1391_0255.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014r0q3",""
"Minasian (Caro) Collection of Persian and Arabic Manuscripts","ark:/21198/zz0014r0rm","ark:/21198/zz000wq4n8","7","Completed","Page","minasian/masters/1391/1391_0256.tif","256","","","","","","","pd","1147_1391_0256","page 253","v","1147_1391_0256.jpg","1391_0256.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014r0rm",""
