"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","IIIF Access URL","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Rights.copyrightStatus","Language","Type.genre","Subject.topic","Author","Name.subject","Name.annotator","Name.repository","Name.scribe","Title","Relation.rectoVerso","Relation.pageNumber","Relation.textDirection","Relation.isVersionOf","AltIdentifier.local","Description.contents","Date.creation","Format.dimensions","Format.extent","Description.note","Summary","Bucketeer State","IIIF Manifest URL"
"St Gall Manuscripts","ark:/21198/zz00295cq7","ark:/21198/zz00295bnq","2","Completed","Page","StGall/masters/StPaulLavanttal_Hs01-01/StPaulLavanttal_01-01_018r.tif","33","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00295cq7","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 18r","","","","","","","","","","","","succeeded",""
"St Gall Manuscripts","ark:/21198/zz00295crr","ark:/21198/zz00295bnq","2","Completed","Page","StGall/masters/StPaulLavanttal_Hs01-01/StPaulLavanttal_01-01_018v.tif","34","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00295crr","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 18v","","","","","","","","","","","","succeeded",""
"St Gall Manuscripts","ark:/21198/zz00295cs8","ark:/21198/zz00295bnq","2","Completed","Page","StGall/masters/StPaulLavanttal_Hs01-01/StPaulLavanttal_01-01_019r.tif","35","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00295cs8","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 19r","","","","","","","","","","","","succeeded",""
"St Gall Manuscripts","ark:/21198/zz00295cts","ark:/21198/zz00295bnq","2","Completed","Page","StGall/masters/StPaulLavanttal_Hs01-01/StPaulLavanttal_01-01_019v.tif","36","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00295cts","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 19v","","","","","","","","","","","","succeeded",""
"St Gall Manuscripts","ark:/21198/zz00295cv9","ark:/21198/zz00295bnq","2","Completed","Page","StGall/masters/StPaulLavanttal_Hs01-01/StPaulLavanttal_01-01_020r.tif","37","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00295cv9","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 20r","","","","","","","","","","","","succeeded",""
"St Gall Manuscripts","ark:/21198/zz00295cwt","ark:/21198/zz00295bnq","2","Completed","Page","StGall/masters/StPaulLavanttal_Hs01-01/StPaulLavanttal_01-01_020v.tif","38","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00295cwt","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 20v","","","","","","","","","","","","succeeded",""
"St Gall Manuscripts","ark:/21198/zz00295cxb","ark:/21198/zz00295bnq","2","Completed","Page","StGall/masters/StPaulLavanttal_Hs01-01/StPaulLavanttal_01-01_021r.tif","39","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00295cxb","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 21r","","","","","","","","","","","","succeeded",""
"St Gall Manuscripts","ark:/21198/zz00295czv","ark:/21198/zz00295bnq","2","Completed","Page","StGall/masters/StPaulLavanttal_Hs01-01/StPaulLavanttal_01-01_021v.tif","40","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00295czv","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 21v","","","","","","","","","","","","succeeded",""
"St Gall Manuscripts","ark:/21198/zz00295d0v","ark:/21198/zz00295bnq","2","Completed","Page","StGall/masters/StPaulLavanttal_Hs01-01/StPaulLavanttal_01-01_022r.tif","41","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00295d0v","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 22r","","","","","","","","","","","","succeeded",""
"St Gall Manuscripts","ark:/21198/zz00295d1c","ark:/21198/zz00295bnq","2","Completed","Page","StGall/masters/StPaulLavanttal_Hs01-01/StPaulLavanttal_01-01_022v.tif","42","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00295d1c","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 22v","","","","","","","","","","","","succeeded",""
"St Gall Manuscripts","ark:/21198/zz00295d2w","ark:/21198/zz00295bnq","2","Completed","Page","StGall/masters/StPaulLavanttal_Hs01-01/StPaulLavanttal_01-01_023r.tif","43","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00295d2w","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 23r","","","","","","","","","","","","succeeded",""
"St Gall Manuscripts","ark:/21198/zz00295d3d","ark:/21198/zz00295bnq","2","Completed","Page","StGall/masters/StPaulLavanttal_Hs01-01/StPaulLavanttal_01-01_023v.tif","44","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00295d3d","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 23v","","","","","","","","","","","","succeeded",""
"St Gall Manuscripts","ark:/21198/zz00295d4x","ark:/21198/zz00295bnq","2","Completed","Page","StGall/masters/StPaulLavanttal_Hs01-01/StPaulLavanttal_01-01_024r.tif","45","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00295d4x","","","","","text","pd","","manuscripts (document genre)","","","","","","","f. 24r","","","","","","","","","","","","succeeded",""
