Project Name,Parent ARK,Item ARK,Object Type,File Name,AltIdentifier.local,viewingHint,Text direction ,Item Sequence,Title,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.servicesContact,Language,Name.repository,AltTitle.other,AltTitle.translated,AltTitle.uniform,Place of origin,Date.creation,Date.normalized,Format.extent,Format.dimensions,Support,Relation.rectoVerso,Description.note,Description.history,Description.condition,Coverage.temporal,Description.collation,Description.binding,Description.tableOfContents,Description.contents,Description.abstract,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Ethiopic Manuscripts,ark:/21198/zz001hmcq5,ark:/21198/zz001hq2c0,Page,ethiopian/masters/21198-zz001hq2c0_1308089_master.tif,Ms. 59_155,,,155,Page 155,,,pd,,gez,,መልክአ ሥላሴ,Image of the Trinity,Church Hymns,Ethiopia,20th c.,1900/1999,1 Page,130 mm x 100 mm,Vellum,,Image of Trinity መልክአ ሥላሴ,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hq2c0,
Ethiopic Manuscripts,ark:/21198/zz001hmcq5,ark:/21198/zz001hq2dh,Page,ethiopian/masters/21198-zz001hq2dh_1308092_master.tif,Ms. 59_156,,,156,Page 156,,,pd,,gez,,መልክአ ሥላሴ,Image of the Trinity,Church Hymns,Ethiopia,20th c.,1900/1999,1 Page,130 mm x 100 mm,Vellum,,Image of Trinity መልክአ ሥላሴ,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hq2dh,
Ethiopic Manuscripts,ark:/21198/zz001hmcq5,ark:/21198/zz001hq2f1,Page,ethiopian/masters/21198-zz001hq2f1_1308095_master.tif,Ms. 59_157,,,157,Page 157,,,pd,,gez,,መልክአ ሥላሴ,Image of the Trinity,Church Hymns,Ethiopia,20th c.,1900/1999,1 Page,130 mm x 100 mm,Vellum,,Image of Trinity መልክአ ሥላሴ,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hq2f1,
Ethiopic Manuscripts,ark:/21198/zz001hmcq5,ark:/21198/zz001hq2gj,Page,ethiopian/masters/21198-zz001hq2gj_1308098_master.tif,Ms. 59_158,,,158,Page 158,,,pd,,gez,,መልክአ ሥላሴ,Image of the Trinity,Church Hymns,Ethiopia,20th c.,1900/1999,1 Page,130 mm x 100 mm,Vellum,,Image of Trinity መልክአ ሥላሴ,"The owner's name is erased on p. 175, but elsewhere retained as Takela Haymanot Waleda Mareyam (p. 158).",,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hq2gj,
Ethiopic Manuscripts,ark:/21198/zz001hmcq5,ark:/21198/zz001hq2h2,Page,ethiopian/masters/21198-zz001hq2h2_1308101_master.tif,Ms. 59_159,,,159,Page 159,,,pd,,gez,,መልክአ ሥላሴ,Image of the Trinity,Church Hymns,Ethiopia,20th c.,1900/1999,1 Page,130 mm x 100 mm,Vellum,,Image of Trinity መልክአ ሥላሴ|~|Rule of measuring the sun shadow for time  ሥፍረ ፀሐይ,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hq2h2,
Ethiopic Manuscripts,ark:/21198/zz001hmcq5,ark:/21198/zz001hq2jk,Page,ethiopian/masters/21198-zz001hq2jk_1308104_master.tif,Ms. 59_160,,,160,Page 160,,,pd,,gez,,,,Church Hymns,Ethiopia,20th c.,1900/1999,1 Page,130 mm x 100 mm,Vellum,,Magical prayer against the evil eye|~|Rule of measuring the sun shadow for time  ሥፍረ ፀሐይ,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hq2jk,
Ethiopic Manuscripts,ark:/21198/zz001hmcq5,ark:/21198/zz001hq2k3,Page,ethiopian/masters/21198-zz001hq2k3_1308107_master.tif,Ms. 59_161,,,161,Page 161,,,pd,,gez,,,,Church Hymns,Ethiopia,20th c.,1900/1999,1 Page,130 mm x 100 mm,Vellum,,"Magical prayer against the evil eye|~|Instruction for the making of medicine for evil eye, syphilis, etc.",,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hq2k3,
Ethiopic Manuscripts,ark:/21198/zz001hmcq5,ark:/21198/zz001hq2mm,Page,ethiopian/masters/21198-zz001hq2mm_1308110_master.tif,Ms. 59_162,,,162,Page 162,,,pd,,gez,,,,Church Hymns,Ethiopia,20th c.,1900/1999,1 Page,130 mm x 100 mm,Vellum,,"Instruction for the making of medicine for evil eye, syphilis, etc.",,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hq2mm,
Ethiopic Manuscripts,ark:/21198/zz001hmcq5,ark:/21198/zz001hq2n4,Page,ethiopian/masters/21198-zz001hq2n4_1308113_master.tif,Ms. 59_163,,,163,Page 163,,,pd,,gez,,,,Church Hymns,Ethiopia,20th c.,1900/1999,1 Page,130 mm x 100 mm,Vellum,,"Instruction for the making of medicine for evil eye, syphilis, etc.",,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hq2n4,
Ethiopic Manuscripts,ark:/21198/zz001hmcq5,ark:/21198/zz001hq2pn,Page,ethiopian/masters/21198-zz001hq2pn_1308116_master.tif,Ms. 59_164,,,164,Page 164,,,pd,,gez,,,,Church Hymns,Ethiopia,20th c.,1900/1999,1 Page,130 mm x 100 mm,Vellum,,"Instruction for the making of medicine for evil eye, syphilis, etc.",,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hq2pn,
