"Project Name","Item ARK","Parent ARK","Object Type","File Name","Item Sequence","Duplicate","Type.typeOfResource","Rights.copyrightStatus","Language","Name.repository","Name.creator","Subject","Name.subject","Relation.isPartOf","Type.genre","Title","Alt ID.local","Description.note","AltTitle.descriptive","Date.creation","Format.extent","Description.abstract","Date.normalized","Coverage.geographic"
"Sachtleben (William) Diaries","ark:/21198/zz002hjw9p","ark:/21198/zz002hjqvj","ChildWork","sachtleben_diaries/image/uclamss_1841_diary_07_49.tif","49","","text","pd","","","","","","","","[Athens travel diary: pages 115-116, Jan. 24-25, 1891]","uclamss_1841_diary_07_49","","","","","","",""
"Sachtleben (William) Diaries","ark:/21198/zz002hjwb6","ark:/21198/zz002hjqvj","ChildWork","sachtleben_diaries/image/uclamss_1841_diary_07_50.tif","50","","text","pd","","","","","","","","[Athens travel diary: pages 117-118, Jan. 25, 1891]","uclamss_1841_diary_07_50","","","","","","",""
"Sachtleben (William) Diaries","ark:/21198/zz002hjwcq","ark:/21198/zz002hjqvj","ChildWork","sachtleben_diaries/image/uclamss_1841_diary_07_51.tif","51","","text","pd","","","","","","","","[Athens travel diary: pages 119-120, Jan. 25-26, 1891]","uclamss_1841_diary_07_51","","","","","","",""
"Sachtleben (William) Diaries","ark:/21198/zz002hjwd7","ark:/21198/zz002hjqvj","ChildWork","sachtleben_diaries/image/uclamss_1841_diary_07_52.tif","52","","text","pd","","","","","","","","[Athens travel diary: pages 121-122, Jan. 26, 1891]","uclamss_1841_diary_07_52","","","","","","",""
"Sachtleben (William) Diaries","ark:/21198/zz002hjwfr","ark:/21198/zz002hjqvj","ChildWork","sachtleben_diaries/image/uclamss_1841_diary_07_53.tif","53","","text","pd","","","","","","","","[Athens travel diary: pages 123-124, Jan. 26, 1891]","uclamss_1841_diary_07_53","","","","","","",""
"Sachtleben (William) Diaries","ark:/21198/zz002hjwg8","ark:/21198/zz002hjqvj","ChildWork","sachtleben_diaries/image/uclamss_1841_diary_07_54.tif","54","","text","pd","","","","","","","","[Athens travel diary: pages 125-126, Jan. 26-27, 1891]","uclamss_1841_diary_07_54","","","","","","",""
"Sachtleben (William) Diaries","ark:/21198/zz002hjwhs","ark:/21198/zz002hjqvj","ChildWork","sachtleben_diaries/image/uclamss_1841_diary_07_55.tif","55","","text","pd","","","","","","","","[Athens travel diary: pages 127-128, Jan. 27, 1891]","uclamss_1841_diary_07_55","","","","","","",""
"Sachtleben (William) Diaries","ark:/21198/zz002hjwj9","ark:/21198/zz002hjqvj","ChildWork","sachtleben_diaries/image/uclamss_1841_diary_07_56.tif","56","","text","pd","","","","","","","","[Athens travel diary: pages 129-130, Jan. 27-28, 1891]","uclamss_1841_diary_07_56","","","","","","",""
"Sachtleben (William) Diaries","ark:/21198/zz002hjwkt","ark:/21198/zz002hjqvj","ChildWork","sachtleben_diaries/image/uclamss_1841_diary_07_57.tif","57","","text","pd","","","","","","","","[Athens travel diary: pages 131-132, Jan. 28, 1891]","uclamss_1841_diary_07_57","","","","","","",""
"Sachtleben (William) Diaries","ark:/21198/zz002hjwmb","ark:/21198/zz002hjqvj","ChildWork","sachtleben_diaries/image/uclamss_1841_diary_07_58.tif","58","","text","pd","","","","","","","","[Athens travel diary: pages 133-134, Jan. 29, 1891]","uclamss_1841_diary_07_58","Athens travel diary, pages 133-134, Jan. 29, 1891","","","","","",""
"Sachtleben (William) Diaries","ark:/21198/zz002hjwnv","ark:/21198/zz002hjqvj","ChildWork","sachtleben_diaries/image/uclamss_1841_diary_07_59.tif","59","","text","pd","","","","","","","","[Athens travel diary: pages 135-136, Jan. 29, 1891]","uclamss_1841_diary_07_59","","","","","","",""
"Sachtleben (William) Diaries","ark:/21198/zz002hjwpc","ark:/21198/zz002hjqvj","ChildWork","sachtleben_diaries/image/uclamss_1841_diary_07_60.tif","60","","text","pd","","","","","","","","[Athens travel diary: pages 137-138, Jan. 29, 1891]","uclamss_1841_diary_07_60","","","","","","",""
"Sachtleben (William) Diaries","ark:/21198/zz002hjwqw","ark:/21198/zz002hjqvj","ChildWork","sachtleben_diaries/image/uclamss_1841_diary_07_61.tif","61","","text","pd","","","","","","","","[Athens travel diary: pages 139-140, Jan. 29-30, 1891]","uclamss_1841_diary_07_61","","","","","","",""
"Sachtleben (William) Diaries","ark:/21198/zz002hjwrd","ark:/21198/zz002hjqvj","ChildWork","sachtleben_diaries/image/uclamss_1841_diary_07_62.tif","62","","text","pd","","","","","","","","[Athens travel diary: pages 140-141, Jan. 30-31, 1891]","uclamss_1841_diary_07_62","","","","","","",""
