"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","viewingHint","Text direction","Visibility","IIIF Range","Title","AltTitle.uniform","Subject","Subject.conceptTopic","Publisher.publisherName","Description.note","Date.creation","Opac url","Finding Aid URL","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Rosenberg-Lewin Collection of Hebrew Manuscripts.  Collection 779","ark:/21198/zz002kfd8w","ark:/21198/zz002kfbp4","2","Completed","Page","rosenberglewin/masters/21198-zz002kfd8w_2403944_master.tif","47","","","","","","private","","Page 44","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kfd8w",""
"Rosenberg-Lewin Collection of Hebrew Manuscripts.  Collection 779","ark:/21198/zz002kfd9d","ark:/21198/zz002kfbp4","2","Completed","Page","rosenberglewin/masters/21198-zz002kfd9d_2403947_master.tif","48","","","","","","private","","Page 45","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kfd9d",""
"Rosenberg-Lewin Collection of Hebrew Manuscripts.  Collection 779","ark:/21198/zz002kfdbx","ark:/21198/zz002kfbp4","2","Completed","Page","rosenberglewin/masters/21198-zz002kfdbx_2403950_master.tif","49","","","","","","private","","Page 46","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kfdbx",""
"Rosenberg-Lewin Collection of Hebrew Manuscripts.  Collection 779","ark:/21198/zz002kfdcf","ark:/21198/zz002kfbp4","2","Completed","Page","rosenberglewin/masters/21198-zz002kfdcf_2403953_master.tif","50","","","","","","private","","Page 47","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kfdcf",""
"Rosenberg-Lewin Collection of Hebrew Manuscripts.  Collection 779","ark:/21198/zz002kfddz","ark:/21198/zz002kfbp4","2","Completed","Page","rosenberglewin/masters/21198-zz002kfddz_2403956_master.tif","51","","","","","","private","","Page 48","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kfddz",""
"Rosenberg-Lewin Collection of Hebrew Manuscripts.  Collection 779","ark:/21198/zz002kfdfg","ark:/21198/zz002kfbp4","2","Completed","Page","rosenberglewin/masters/21198-zz002kfdfg_2403959_master.tif","52","","","","","","private","","Page 49","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kfdfg",""
"Rosenberg-Lewin Collection of Hebrew Manuscripts.  Collection 779","ark:/21198/zz002kfdg0","ark:/21198/zz002kfbp4","2","Completed","Page","rosenberglewin/masters/21198-zz002kfdg0_2403962_master.tif","53","","","","","","private","","Page 50","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kfdg0",""
"Rosenberg-Lewin Collection of Hebrew Manuscripts.  Collection 779","ark:/21198/zz002kfdhh","ark:/21198/zz002kfbp4","2","Completed","Page","rosenberglewin/masters/21198-zz002kfdhh_2403965_master.tif","54","","","","","","private","","Page 51","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kfdhh",""
"Rosenberg-Lewin Collection of Hebrew Manuscripts.  Collection 779","ark:/21198/zz002kfdj1","ark:/21198/zz002kfbp4","2","Completed","Page","rosenberglewin/masters/21198-zz002kfdj1_2403968_master.tif","55","","","","","","private","","Page 52","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kfdj1",""
"Rosenberg-Lewin Collection of Hebrew Manuscripts.  Collection 779","ark:/21198/zz002kfdkj","ark:/21198/zz002kfbp4","2","Completed","Page","rosenberglewin/masters/21198-zz002kfdkj_2403971_master.tif","56","","","","","","private","","Page 53","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002kfdkj",""
