"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Visibility","viewingHint","Delete in Title","Subject topic","Thumbnail","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Rights.permission","Rights.publicationStatus","Coverage.geographic","Name.photographer","Author","Name.subject","Subject","Subject.conceptTopic","Language","Rights.permissionNote","Name.creator","Rights.publicationNote","Text direction","IIIF Range","Name.repository","Title","Date.creation","Description.note","Summary","Description.caption","Date.normalized","Description.abstract","Date.created","AltTitle.other","Opac url","Finding Aid URL","Bucketeer State","IIIF Access URL"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015rfqs","ark:/21198/zz0015rfp8","2","Completed","Page","scwu/images/masters/21198-zz0015rfqs-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rfqs"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015rfr9","ark:/21198/zz0015rfp8","2","Completed","Page","scwu/images/masters/21198-zz0015rfr9-1-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rfr9"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015rftb","ark:/21198/zz0015rfst","2","Completed","Page","scwu/images/masters/21198-zz0015rftb-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rftb"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015rfvv","ark:/21198/zz0015rfst","2","Completed","Page","scwu/images/masters/21198-zz0015rfvv-1-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rfvv"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015rfxw","ark:/21198/zz0015rfwc","2","Completed","Page","scwu/images/masters/21198-zz0015rfxw-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rfxw"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015rfzd","ark:/21198/zz0015rfwc","2","Completed","Page","scwu/images/masters/21198-zz0015rfzd-1-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rfzd"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015rg2f","ark:/21198/zz0015rg0d","2","Completed","Page","scwu/images/masters/21198-zz0015rg2f-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rg2f"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015rg3z","ark:/21198/zz0015rg0d","2","Completed","Page","scwu/images/masters/21198-zz0015rg3z-1-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rg3z"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015rg6h","ark:/21198/zz0015rg0d","2","Completed","Page","scwu/images/masters/21198-zz0015rg6h-1-master.tif","3","","","","","","","","","","","","","","","","","","","","","","","","","Page 3","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rg6h"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015rg71","ark:/21198/zz0015rg0d","2","Completed","Page","scwu/images/masters/21198-zz0015rg71-1-master.tif","4","","","","","","","","","","","","","","","","","","","","","","","","","Page 4","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rg71"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015rg4g","ark:/21198/zz0015rg1x","2","Completed","Page","scwu/images/masters/21198-zz0015rg4g-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rg4g"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015rg50","ark:/21198/zz0015rg1x","2","Completed","Page","scwu/images/masters/21198-zz0015rg50-1-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rg50"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015rg8j","ark:/21198/zz0015rg1x","2","Completed","Page","scwu/images/masters/21198-zz0015rg8j-1-master.tif","3","","","","","","","","","","","","","","","","","","","","","","","","","Page 3","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rg8j"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015rg92","ark:/21198/zz0015rg1x","2","Completed","Page","scwu/images/masters/21198-zz0015rg92-1-master.tif","4","","","","","","","","","","","","","","","","","","","","","","","","","Page 4","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rg92"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015rgjp","ark:/21198/zz0015rgbk","2","Completed","Page","scwu/images/masters/21198-zz0015rgjp-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rgjp"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015rgk6","ark:/21198/zz0015rgbk","2","Completed","Page","scwu/images/masters/21198-zz0015rgk6-1-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rgk6"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015rgmq","ark:/21198/zz0015rgbk","2","Completed","Page","scwu/images/masters/21198-zz0015rgmq-1-master.tif","3","","","","","","","","","","","","","","","","","","","","","","","","","Page 3","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rgmq"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015rgn7","ark:/21198/zz0015rgbk","2","Completed","Page","scwu/images/masters/21198-zz0015rgn7-1-master.tif","4","","","","","","","","","","","","","","","","","","","","","","","","","Page 4","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rgn7"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015rgdm","ark:/21198/zz0015rgc3","2","Completed","Page","scwu/images/masters/21198-zz0015rgdm-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rgdm"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015rgf4","ark:/21198/zz0015rgc3","2","Completed","Page","scwu/images/masters/21198-zz0015rgf4-1-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rgf4"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015rggn","ark:/21198/zz0015rgc3","2","Completed","Page","scwu/images/masters/21198-zz0015rggn-1-master.tif","3","","","","","","","","","","","","","","","","","","","","","","","","","Page 3","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rggn"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015rgh5","ark:/21198/zz0015rgc3","2","Completed","Page","scwu/images/masters/21198-zz0015rgh5-1-master.tif","4","","","","","","","","","","","","","","","","","","","","","","","","","Page 4","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rgh5"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015rgq8","ark:/21198/zz0015rgpr","2","Completed","Page","scwu/images/masters/21198-zz0015rgq8-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rgq8"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015rgrs","ark:/21198/zz0015rgpr","2","Completed","Page","scwu/images/masters/21198-zz0015rgrs-1-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rgrs"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015rgs9","ark:/21198/zz0015rgpr","2","Completed","Page","scwu/images/masters/21198-zz0015rgs9-1-master.tif","3","","","","","","","","","","","","","","","","","","","","","","","","","Page 3","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rgs9"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015rgtt","ark:/21198/zz0015rgpr","2","Completed","Page","scwu/images/masters/21198-zz0015rgtt-1-master.tif","4","","","","","","","","","","","","","","","","","","","","","","","","","Page 4","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rgtt"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015rgwv","ark:/21198/zz0015rgvb","2","Completed","Page","scwu/images/masters/21198-zz0015rgwv-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rgwv"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015rgxc","ark:/21198/zz0015rgvb","2","Completed","Page","scwu/images/masters/21198-zz0015rgxc-1-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rgxc"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015rgzw","ark:/21198/zz0015rgvb","2","Completed","Page","scwu/images/masters/21198-zz0015rgzw-1-master.tif","3","","","","","","","","","","","","","","","","","","","","","","","","","Page 3","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rgzw"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015rh0w","ark:/21198/zz0015rgvb","2","Completed","Page","scwu/images/masters/21198-zz0015rh0w-1-master.tif","4","","","","","","","","","","","","","","","","","","","","","","","","","Page 4","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rh0w"
"Southern California Women for Understanding (SCWU) Collection","ark:/21198/zz0015rh2x","ark:/21198/zz0015rh1d","2","Completed","Page","scwu/images/masters/21198-zz0015rh2x-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","ingested","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0015rh2x"
