Project Name,Item Ark,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.countryCreation,Subject,Name.creator,Name.contributor,Name.interviewer,Name.subject,Name.interviewee,Name.photographer,Name.repository,Language,Alt ID.local,Format.medium,Title,Date.creation,Coverage.temporal,Description.abstract,Publisher.publisherName,Relation.isPartOf,Format.extent,Description.note,Source,Relation.relatedTo,AltTitle.uniform,Description.biographicalNote,Coverage.geographic,Description.tableOfContents,Publisher.placeOfOrigin
American College of Neuropsychopharmacology,ark:/21198/z1ng6fmb,ark:/21198/zz001hd6s3,,,Page,acnp\image\21198-zz001hd6s3-3-master_046.tif,47,,,,,,,,,,,,,,,,,,,Page 46,,,,,,,,,,,,,,
American College of Neuropsychopharmacology,ark:/21198/z1hq5pzh,ark:/21198/zz001hd6s3,,,Page,acnp\image\21198-zz001hd6s3-3-master_047.tif,48,,,,,,,,,,,,,,,,,,,Page 47,,,,,,,,,,,,,,
American College of Neuropsychopharmacology,ark:/21198/z1cz4z59,ark:/21198/zz001hd6s3,,,Page,acnp\image\21198-zz001hd6s3-3-master_048.tif,49,,,,,,,,,,,,,,,,,,,Page 48,,,,,,,,,,,,,,
American College of Neuropsychopharmacology,ark:/21198/z18646cc,ark:/21198/zz001hd6s3,,,Page,acnp\image\21198-zz001hd6s3-3-master_049.tif,50,,,,,,,,,,,,,,,,,,,Page 49,,,,,,,,,,,,,,
American College of Neuropsychopharmacology,ark:/21198/z14f3fnn,ark:/21198/zz001hd6s3,,,Page,acnp\image\21198-zz001hd6s3-3-master_050.tif,51,,,,,,,,,,,,,,,,,,,Page 50,,,,,,,,,,,,,,
American College of Neuropsychopharmacology,ark:/21198/z10p2q07,ark:/21198/zz001hd6s3,,,Page,acnp\image\21198-zz001hd6s3-3-master_051.tif,52,,,,,,,,,,,,,,,,,,,Page 51,,,,,,,,,,,,,,
American College of Neuropsychopharmacology,ark:/21198/z1w10wv8,ark:/21198/zz001hd6s3,,,Page,acnp\image\21198-zz001hd6s3-3-master_052.tif,53,,,,,,,,,,,,,,,,,,,Page 52,,,,,,,,,,,,,,
American College of Neuropsychopharmacology,ark:/21198/z1r8057p,ark:/21198/zz001hd6s3,,,Page,acnp\image\21198-zz001hd6s3-3-master_053.tif,54,,,,,,,,,,,,,,,,,,,Page 53,,,,,,,,,,,,,,
American College of Neuropsychopharmacology,ark:/21198/z1mg9djv,ark:/21198/zz001hd6s3,,,Page,acnp\image\21198-zz001hd6s3-3-master_054.tif,55,,,,,,,,,,,,,,,,,,,Page 54,,,,,,,,,,,,,,
American College of Neuropsychopharmacology,ark:/21198/z1gq8nsp,ark:/21198/zz001hd6s3,,,Page,acnp\image\21198-zz001hd6s3-3-master_055.tif,56,,,,,,,,,,,,,,,,,,,Page 55,,,,,,,,,,,,,,
American College of Neuropsychopharmacology,ark:/21198/z1bz7x0g,ark:/21198/zz001hd6s3,,,Page,acnp\image\21198-zz001hd6s3-3-master_056.tif,57,,,,,,,,,,,,,,,,,,,Page 56,,,,,,,,,,,,,,
American College of Neuropsychopharmacology,ark:/21198/z176758f,ark:/21198/zz001hd6s3,,,Page,acnp\image\21198-zz001hd6s3-3-master_057.tif,58,,,,,,,,,,,,,,,,,,,Page 57,,,,,,,,,,,,,,
American College of Neuropsychopharmacology,ark:/21198/z13f6dn2,ark:/21198/zz001hd6s3,,,Page,acnp\image\21198-zz001hd6s3-3-master_058.tif,59,,,,,,,,,,,,,,,,,,,Page 58,,,,,,,,,,,,,,
American College of Neuropsychopharmacology,ark:/21198/z1zs4mf9,ark:/21198/zz001hd6s3,,,Page,acnp\image\21198-zz001hd6s3-3-master_059.tif,60,,,,,,,,,,,,,,,,,,,Page 59,,,,,,,,,,,,,,
American College of Neuropsychopharmacology,ark:/21198/z1v13vss,ark:/21198/zz001hd6s3,,,Page,acnp\image\21198-zz001hd6s3-3-master_060.tif,61,,,,,,,,,,,,,,,,,,,Page 60,,,,,,,,,,,,,,
American College of Neuropsychopharmacology,ark:/21198/z1q8344r,ark:/21198/zz001hd6s3,,,Page,acnp\image\21198-zz001hd6s3-3-master_061.tif,62,,,,,,,,,,,,,,,,,,,Page 61,,,,,,,,,,,,,,
American College of Neuropsychopharmacology,ark:/21198/z1kh2c9p,ark:/21198/zz001hd6s3,,,Page,acnp\image\21198-zz001hd6s3-3-master_062.tif,63,,,,,,,,,,,,,,,,,,,Page 62,,,,,,,,,,,,,,
American College of Neuropsychopharmacology,ark:/21198/z1fr1mjh,ark:/21198/zz001hd6s3,,,Page,acnp\image\21198-zz001hd6s3-3-master_063.tif,64,,,,,,,,,,,,,,,,,,,Page 63,,,,,,,,,,,,,,
American College of Neuropsychopharmacology,ark:/21198/z1b00vt3,ark:/21198/zz001hd6s3,,,Page,acnp\image\21198-zz001hd6s3-3-master_064.tif,65,,,,,,,,,,,,,,,,,,,Page 64,,,,,,,,,,,,,,
American College of Neuropsychopharmacology,ark:/21198/z167046h,ark:/21198/zz001hd6s3,,,Page,acnp\image\21198-zz001hd6s3-3-master_065.tif,66,,,,,,,,,,,,,,,,,,,Page 65,,,,,,,,,,,,,,
American College of Neuropsychopharmacology,ark:/21198/z12j82s6,ark:/21198/zz001hd6s3,,,Page,acnp\image\21198-zz001hd6s3-3-master_066.tif,67,,,,,,,,,,,,,,,,,,,Page 66,,,,,,,,,,,,,,
American College of Neuropsychopharmacology,ark:/21198/z1xs7kd8,ark:/21198/zz001hd6s3,,,Page,acnp\image\21198-zz001hd6s3-3-master_067.tif,68,,,,,,,,,,,,,,,,,,,Page 67,,,,,,,,,,,,,,
American College of Neuropsychopharmacology,ark:/21198/z1t16tpv,ark:/21198/zz001hd6s3,,,Page,acnp\image\21198-zz001hd6s3-3-master_068.tif,69,,,,,,,,,,,,,,,,,,,Page 68,,,,,,,,,,,,,,
American College of Neuropsychopharmacology,ark:/21198/z1p862wm,ark:/21198/zz001hd6s3,,,Page,acnp\image\21198-zz001hd6s3-3-master_069.tif,70,,,,,,,,,,,,,,,,,,,Page 69,,,,,,,,,,,,,,
American College of Neuropsychopharmacology,ark:/21198/z1jh5b3d,ark:/21198/zz001hd6s3,,,Page,acnp\image\21198-zz001hd6s3-3-master_070.tif,71,,,,,,,,,,,,,,,,,,,Page 70,,,,,,,,,,,,,,
American College of Neuropsychopharmacology,ark:/21198/z1dr4kd4,ark:/21198/zz001hd6s3,,,Page,acnp\image\21198-zz001hd6s3-3-master_071.tif,72,,,,,,,,,,,,,,,,,,,Page 71,,,,,,,,,,,,,,
