"Item ARK","Parent ARK","Object Type","File Name","Item Sequence","IIIF Range","Title","Alt ID.local","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"ark:/21198/zz002b9htx","ark:/21198/zz002b302m","Page","clarklibrarymss/image/21198-zz002b9htx_1997266_master.tif","222","","page 221","MS_1951_012__0228.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b9htx",""
"ark:/21198/zz002b9hvf","ark:/21198/zz002b302m","Page","clarklibrarymss/image/21198-zz002b9hvf_1997269_master.tif","223","","page  222","MS_1951_012__0229.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b9hvf",""
"ark:/21198/zz002b9hwz","ark:/21198/zz002b302m","Page","clarklibrarymss/image/21198-zz002b9hwz_1997272_master.tif","224","","page 223","MS_1951_012__0230.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b9hwz",""
"ark:/21198/zz002b9hxg","ark:/21198/zz002b302m","Page","clarklibrarymss/image/21198-zz002b9hxg_1997275_master.tif","225","","page 224","MS_1951_012__0231.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b9hxg",""
"ark:/21198/zz002b9hz0","ark:/21198/zz002b302m","Page","clarklibrarymss/image/21198-zz002b9hz0_1997278_master.tif","226","","page 225","MS_1951_012__0232.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b9hz0",""
"ark:/21198/zz002b9j00","ark:/21198/zz002b302m","Page","clarklibrarymss/image/21198-zz002b9j00_1997281_master.tif","227","","page 226","MS_1951_012__0233.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b9j00",""
"ark:/21198/zz002b9j1h","ark:/21198/zz002b302m","Page","clarklibrarymss/image/21198-zz002b9j1h_1997284_master.tif","228","","page 227","MS_1951_012__0234.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b9j1h",""
"ark:/21198/zz002b9j21","ark:/21198/zz002b302m","Page","clarklibrarymss/image/21198-zz002b9j21_1997287_master.tif","229","","page 228","MS_1951_012__0235.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b9j21",""
"ark:/21198/zz002b9j3j","ark:/21198/zz002b302m","Page","clarklibrarymss/image/21198-zz002b9j3j_1997290_master.tif","230","","page 229","MS_1951_012__0236.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b9j3j",""
"ark:/21198/zz002b9j42","ark:/21198/zz002b302m","Page","clarklibrarymss/image/21198-zz002b9j42_1997293_master.tif","231","","page 230","MS_1951_012__0237.tif","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b9j42",""
