Project Name,Item ARK,Parent ARK,Object Type,File Name,viewingHint,Text direction,Visibility,Type.typeOfResource,Rights.copyrightStatus,Language,Type.genre,AltIdentifier.local,Date.creation,Place of origin,Format.dimensions,Format.extent,Support,Collation,Hand note,Page layout,Subject topic,Author,Name.subject,Name.repository,Name.scribe,Title,Description.contents,Thumbnail,IIIF Manifest URL,Related,Relation.rectoVerso,Relation.pageNumber,Relation.textDirection,Relation.isVersionOf,Description.note,Summary
St Gall Manuscripts,ark:/21198/zz00161mpp,ark:/21198/zz0015vcjk,Work,,paged,,,text,public domain,lat,Manuscripts,Aug. perg. 18,early ninth century,Reichenau (Bischoff),418 x 294 mm,91 folio,,,,,"Abbeys--Germany--Reichenau (Baden-Württemberg)|~|Badische Landesbibliothek. Manuscript. Aug. 18|~|Canon Law-Ireland|~|Sermons|~|Epistles|~|Stiftsbibliothek Sankt Gallen. Manuscript. 914|~|Homilies|~|Commentaries, Biblical","Isidore, of Seville, Saint, d. 636|~|Jerome, Saint, d. 419 or 20.|~|Cyprian, Saint, Bishop of Carthage.|~|Augustine, Saint, Bishop of Hippo.|~|Alcuin, 735-804|~|Ambrosius, Saint, Bishop of Milan.|~|Boethius, d. 524",,Badische Landesbibliothek Karlsruhe,"Reginbert, Abbot of Reichenau","Karlsruhe, Badische Landesbibliothek, Aug. perg. 18","Part I     1-11’ Super orationem dominicam1) 1,1 – 5,2 Cyprian, De dominica oratione2) 5,2-8’2  Augustine, ""Pater noster qui es in cęlis Cum in omni depręcatione... et simplicem esse ad intellegendum dominum.""3) 9,1 Jerome, Commentaria in Matthaeum, Book I, Chapter 6, 9-134) 9,2 - 9’1  Bede, In Evangelium S. Lucae, Book 3 Chapter 115) 9’1-9’2 ""Pater noster qui es in caelis; hoc est ut tu filius esse merearis.... presenti et futuro.""6) 9’2 – 10, 1  ""Oratio dominica propri(a)e dicitur quia Χpistus... Hoc est libera a peccato. et ab omni opere malo uel de inferno.""7) 10, 1-10, 2 ""Pater noster qui es in cęlis. Χpistus dicit post resurrectionem suam... Et ideo postulamus ut ipse nos liberet a malo.  hoc est ab omni inpugnatione diabolica""8) 10, 2 – 10’ 1 Alcuin, Expositio super missam9) 10’ 1-10’2 Germanus, Saint, Bishop of Paris, De Liturgica Gallicana, Book 3, Vetus Missale Gallicanum, Chapter 1410) 10’2- 11, 1 ""Pater noster.  O quam magna est clementia dei... quia omnia uera sunt quae promittit deus""11) 11, 1-11’2 ""Dominus noster qui orantes se exaudire consueuit... quattuor sequentia amorem proximi docent""12) 12, 1 – 12’1 Charlemagne, Letter to Hiltibald, Bishop of Cologne and other bishops 13) 12’1 – 12’ 2  ""Spiritus sapientiae... audebant""|~|Part II   (1)  13’-66’ Super symbolum apostolorum	14) 13’ 1 Statements of faith of the Apostles, with the names of the Apostles, ""Petrus dixit Credo in deum patrem omnipotentem creatorem... uitam aeternam""15) 13’ 1 Nicene Creed16) 13’ 1  ""Post concilium Nicenum in urbe Roma...auderent dicere spiritum sanctum factum esse per filium""17) 13’1 – 14, 1  Saint Damasus, Confessio Fidei Catholicae18) 14, 1 Nicene Creed, ‘C’ in Council of Chalcedon, Rusticus’ version of Actio Sexta19) 14, 2 Isidore, XLVI Concilium Toletanum Decem et Novem Episcoporum20) 14’ 1 -  15’1 Isidore, LVI Concilium Toletanum Undecimum Decem et Septem Episcoporum 21) 15’ 2- 16, 1 Venantius Fortunatus, Expositio Catholicae Fidei22) 16, 1 Ambrosius, Expositio Fidei Catholicae23) 16, 1 – 16, 2 Jerome, Professio Fidei24) 16, 2- 16’ 2 Jerome, Libellus Fidei Pelagii25) 16’ 2- 18, 2 Jerome, Definitio Fidei Symbolique26) 18, 2 – 18’ 2 Jerome, Epistola ad Damasum Papam27) 18’ 2 ""Clemens Trinitas... iudicandus est""28) 18’2 – 19, 1 Augustine, De Civitate Dei, Book 11, Chapter 24		29) 19, 1 Gregory the Great, De Provincia Lycia a Fides30) 19, 1 – 19, 2  Faustinius, Confessio Fidei31) 19,2 - 19’2 Isidore, De Regula Fidei32) 19’ 2 - 20, 2 Augustine, De Trinitate, Book 15, Chapter 3, 4-5		 33) 20, 2 ""In quinto decimo de ęqualitate... caritatem""34) 20, 2 Augustine, De Trinitate, Book 15, Chapter 17, 28-29	35) 20’ 1 - 22, 1 Boethius, De Trinitate, Prooemium & Chapters 1-636) 22, 1 – 22, 2  Boethius, De Praedicatione Trium Personarum37) 22, 2 – 23, 1 Boethius, Quomodo Substantiae Bonae Sint38) 23, 1 – 24, 2 Boethius, De Fide Catholica/ Confessio Fidei|~|39) 24, 2-24' 2 ""Si credis quod deus erat uerbum...inluminans nos.""40) 25, 1 – 28, 2 Augustine, De fide et symbolo, Liber Unus41) 28, 2 – 29, 1 Augustine, De Symbolo, VI: ad Competentes 42) 29, 1 Augustine, In traditione Symboli, I43) 29, 1 – 29’ 1 Augustine, De Symbolo, I : ac de deitate et omnipotentia Patris44) 29’ 1 – 30, 2 Augustine, De Symbolo, II45) 30, 2 – 30’ 2 Augustine, De Symbolo, III46) 30’ 2 - 32, 1 ""Gratia uobis et pax a deo patre et filio et spiritu sancto... prepararet. cui gloria in sęcula sęculorum amen.""47) 32, 1 – 34’ 2 Fulgentius, Epistola VIII, Seu Liber ad Donatum48) 34’ 2 – 35, 1 Fulgentius, De Fide, Chapter 45, 1-349) 35, 1 – 39’ 1 Augustine; Contra Judaeos, paganos et Arianos 50) 39’ 1 Fulgentius, De Fide, Chapter 3, 43-4451) 39’ 2 – 41’ 2 Fulgentius, De Fide, Chapter 3, 25-4352) 42, 1 – 44, 2 Fulgentius, De fide, Prologus – Chapter 2, 2453) 44,2 - 46'2 Fulgentius, De fide, Chapters 4-4454) 47, 1 - 49, 2 ""Omne quod est. aut genitum et. aut ingenitum. aut factum... conferebantur""55) 49’1 -51’ 1 Vigilius Tapsensis, Dialogus contra Arianos, etc.56) 51’ 2 – 52’ 2 ""Dei quidem sine intermissione memorem esse pium est... derelinquere per gratiam domini nostri Ihesu Xpisti postulemus""57) 53, 1 – 53’ 1 Rufinus, Apologia ad Anastasium58) 53’ 2 – 56, 2 Jerome, Epistola XXXVII Seu dialogus sub nomine59) 56’ 1 – 57’ 1  Maximus Taurinensis, Homily LXXXIII, De traditione Symboli	60) 57’ 1 – 57 ‘ 2 ""Auscultate expositionem de fide catholica. quam siquis) ... Prestante Xpisto qui cum patre et spiritu sancto uiuit et regnat in saecula saeculorum amen""61) 58, 1 – 60, 1 Gennadius Massiliensis Presbyter, De Ecclesiasticis Dogmatibus62) 60, 1 ""Hic dimitte et in fine huius quaternionis repete duo capitula. ad tale signum""63) 60, 1- 63’ 2 ""Aurum et argentum non est mecum.. scrutabor mandata dei mei""64) 64, 1 – 64, 2 Alcuin, De fide S. Trinitatis, Fidei symbolum 65) 64, 2 Alcuin, Letter to Fridagisus/Fredegisus, De Fide66) 64’ 1 – 65, 2 Alcuin, De fide S. Trinitatis67) 65’ 1 – 66, 2 Junilius Africanus, De partibus divinae legis, Book 1, Chapters 13-20 68) 66, 2 ""Unus deus pater ex quo omnia. et unus Ihesus Xpistus per quem omnia... filius eo quod habeat patrem.""69) 66’ 1 – 66’ 2 ""Dic mihi. pater et filius et spirtus sanctus unus est deus... benedictus in sęcula.""|~|Part III    67 – 74’ Expositio de missa, diversi canones, decretales70) 67, 1 -69’ 1 Isidore, Etymologiae, Book 7, De Deo, Angelis, et Sanctis, 1-4, 1271) 69’ 1 – 69’ 2 Armenius and Honorius, Diligentia72) 70, 1 Isidore Mercator/Pseudo-Isidore, First Council of Toledo73) 70, 2 Isidore, Third Council of Toledo74) 70’ 1 – 70’ 2 Isidore, Concilium Bracarense Primum75)  71’1 -72’ 2 Isidore, Etymologiae Book 8, Chapter 1, 1-5, 7076) 72’ 2 – 73’ 1 Isidore, Etymologiae Book 7, Chapter 12, 1-14, 10		77) 73’1 – 74’ 2 Isidore, Etymologiae Book 6, Chapter 19, 1-82|~|Part IV  83 – 82’ Collectio canonum Hibernensium78) 83, 1- 90' 2; 75, 1 - 82' 2 Collectio canonum Hibernensium, Liber XVII, Cap. 16(x)- Liber XLII Cap. 13NB: f. 75-82 and f. 83-90 are incorrectly bound; the correct order is f. 83-90, f. 75-82",https://digital.blb-karlsruhe.de/blbhs/i3f/v20/4480,https://digital.blb-karlsruhe.de/i3f/v20/20869/manifest,https://digital.blb-karlsruhe.de/blbhs/content/titleinfo/20869,,,ltr,,,
St Gall Manuscripts,ark:/21198/zz00289pft,ark:/21198/zz0015vcjk,Work,,paged,,,text,public domain,,Manuscripts,Aug. perg. 2,"s. VIII / IX (Bischoff); perhaps to be connected to the episcopacy of Egino of Verona, AD 796-799 (Lowe)","Verona (Bischoff); probably at Reichenau by s. IX, 2/2 (cf. 9th-c. corrections in Reichenau hands; 15th-c. Reichenau exlibris on fol. 1r)",460 x 310 mm, 241 leaves,Parchment,"ff. 1-56 = XXXI-XXXVII8, ff. 57-63 = XXXVIII8 (one of these leaves must be a half-sheet; the text is continuous), ff. 64-231 = XXXVIIII-LVIIII8, ff. 232-241 = LX10. [The gatherings are numbered, as above, in the lower margin of the last leaf of each one; the missing quires I-XXX probably contained part I of the text. Holder's foliation seems erroneous; this provisional foliation has been made by JAW on the basis of the images.]",Multiple hands writing Caroline minuscule; rubrics in square capitals and uncials.,Two columns of 27 lines (written space: 350 x ca. 230 mm).,,,,Badische Landesbibliothek Karlsruhe,,"Karlsruhe, Badische Landesbibliothek, Aug. perg. 2","Gregorius [papa I.], Moralia in Iob VI-Xp. 1r-241r
Rubric: + Incipit in expositione beati iob moralia gregorii per contemplatione sumpta pars secunda libri quinque. Deo gratias amen.
Incipit: Seruata historiae ueritate beati iob dicta amicorumque illius mystica proposui interpraetatione discutere ...
Explicit: ... Quatenus et lector tanto feruentior ad legendi studium redeat quanto ex lectionis quoque intercisione respirat. Explicit liber X.",https://digital.blb-karlsruhe.de/blbhs/i3f/v20/4593076,https://digital.blb-karlsruhe.de/i3f/v20/4590935/manifest,https://digital.blb-karlsruhe.de/blbhs/content/titleinfo/4590935,,,,,,
St Gall Manuscripts,ark:/21198/zz00289pmd,ark:/21198/zz0015vcjk,Work,,paged,,,text,public domain,,Manuscripts,Aug. perg. 26,,,,,,,,,,,,Badische Landesbibliothek Karlsruhe,,"Karlsruhe, Badische Landesbibliothek, Aug. perg. 26",,https://digital.blb-karlsruhe.de/blbhs/i3f/v20/3736741,https://digital.blb-karlsruhe.de/i3f/v20/3734269/manifest,https://digital.blb-karlsruhe.de/blbhs/content/titleinfo/3734269,,,,,,
St Gall Manuscripts,ark:/21198/zz00289pnx,ark:/21198/zz0015vcjk,Work,,paged,,,text,public domain,,Manuscripts,Aug. perg. 29,,,,,,,,,,,,Badische Landesbibliothek Karlsruhe,,"Karlsruhe, Badische Landesbibliothek, Aug. perg. 29",,https://digital.blb-karlsruhe.de/blbhs/i3f/v20/506464,https://digital.blb-karlsruhe.de/i3f/v20/509090/manifest,https://digital.blb-karlsruhe.de/blbhs/content/titleinfo/509090,,,,,,
St Gall Manuscripts,ark:/21198/zz00289pgb,ark:/21198/zz0015vcjk,Work,,paged,,,text,public domain,,Manuscripts,Aug. perg. 3,,,,,,,,,,,,Badische Landesbibliothek Karlsruhe,,"Karlsruhe, Badische Landesbibliothek, Aug. perg. 3",,https://digital.blb-karlsruhe.de/blbhs/i3f/v20/4599316,https://digital.blb-karlsruhe.de/i3f/v20/4590951/manifest,https://digital.blb-karlsruhe.de/blbhs/content/titleinfo/4590951,,,,,,
St Gall Manuscripts,ark:/21198/zz00289ppf,ark:/21198/zz0015vcjk,Work,,paged,,,text,public domain,,Manuscripts,Aug. perg. 31,,,,,,,,,,,,Badische Landesbibliothek Karlsruhe,,"Karlsruhe, Badische Landesbibliothek, Aug. perg. 31",,https://digital.blb-karlsruhe.de/blbhs/i3f/v20/4345186,https://digital.blb-karlsruhe.de/i3f/v20/4344815/manifest,https://digital.blb-karlsruhe.de/blbhs/content/titleinfo/4344815,,,,,,
St Gall Manuscripts,ark:/21198/zz00289pqz,ark:/21198/zz0015vcjk,Work,,paged,,,text,public domain,,Manuscripts,Aug. perg. 32,,,,,,,,,,,,Badische Landesbibliothek Karlsruhe,,"Karlsruhe, Badische Landesbibliothek, Aug. perg. 32",,https://digital.blb-karlsruhe.de/blbhs/i3f/v20/3416883,https://digital.blb-karlsruhe.de/i3f/v20/3413876/manifest,https://digital.blb-karlsruhe.de/blbhs/content/titleinfo/3413876,,,,,,
St Gall Manuscripts,ark:/21198/zz00289prg,ark:/21198/zz0015vcjk,Work,,paged,,,text,public domain,,Manuscripts,Aug. perg. 35,,,,,,,,,,,,Badische Landesbibliothek Karlsruhe,,"Karlsruhe, Badische Landesbibliothek, Aug. perg. 35",,https://digital.blb-karlsruhe.de/blbhs/i3f/v20/4396101,https://digital.blb-karlsruhe.de/i3f/v20/4361442/manifest,https://digital.blb-karlsruhe.de/blbhs/content/titleinfo/4361442,,,,,,
St Gall Manuscripts,ark:/21198/zz00289ps0,ark:/21198/zz0015vcjk,Work,,paged,,,text,public domain,,Manuscripts,Aug. perg. 38,,,,,,,,,,,,Badische Landesbibliothek Karlsruhe,,"Karlsruhe, Badische Landesbibliothek, Aug. perg. 38",,https://digital.blb-karlsruhe.de/blbhs/i3f/v20/4410972,https://digital.blb-karlsruhe.de/i3f/v20/4391478/manifest,https://digital.blb-karlsruhe.de/blbhs/content/titleinfo/4391478,,,,,,
St Gall Manuscripts,ark:/21198/zz00289phv,ark:/21198/zz0015vcjk,Work,,paged,,,text,public domain,,Manuscripts,Aug. perg. 4,,,,,,,,,,,,Badische Landesbibliothek Karlsruhe,,"Karlsruhe, Badische Landesbibliothek, Aug. perg. 4",,https://digital.blb-karlsruhe.de/blbhs/i3f/v20/4598747,https://digital.blb-karlsruhe.de/i3f/v20/4590945/manifest,https://digital.blb-karlsruhe.de/blbhs/content/titleinfo/4590945,,,,,,
St Gall Manuscripts,ark:/21198/zz00289pth,ark:/21198/zz0015vcjk,Work,,paged,,,text,public domain,,Manuscripts,Aug. perg. 43,,,,,,,,,,,,Badische Landesbibliothek Karlsruhe,,"Karlsruhe, Badische Landesbibliothek, Aug. perg. 43",,https://digital.blb-karlsruhe.de/blbhs/i3f/v20/3381159,https://digital.blb-karlsruhe.de/i3f/v20/3380004/manifest,https://digital.blb-karlsruhe.de/blbhs/content/titleinfo/3380004,,,,,,
St Gall Manuscripts,ark:/21198/zz00289pv1,ark:/21198/zz0015vcjk,Work,,paged,,,text,public domain,,Manuscripts,Aug. perg. 45,,,,,,,,,,,,Badische Landesbibliothek Karlsruhe,,"Karlsruhe, Badische Landesbibliothek, Aug. perg. 45",,https://digital.blb-karlsruhe.de/blbhs/i3f/v20/4593568,https://digital.blb-karlsruhe.de/i3f/v20/4590960/manifest,https://digital.blb-karlsruhe.de/blbhs/content/titleinfo/4590960,,,,,,
St Gall Manuscripts,ark:/21198/zz001803wx,ark:/21198/zz0015vcjk,Work,,paged,,,text,public domain,,Manuscripts,Aug. perg. 55,,,,,,,,,,,,Badische Landesbibliothek Karlsruhe,,"Karlsruhe, Badische Landesbibliothek, Aug. perg. 55",,https://digital.blb-karlsruhe.de/blbhs/i3f/v20/4386,https://digital.blb-karlsruhe.de/i3f/v20/20892/manifest,https://digital.blb-karlsruhe.de/blbhs/content/titleinfo/20892,,,ltr,,,
St Gall Manuscripts,ark:/21198/zz00289pwj,ark:/21198/zz0015vcjk,Work,,paged,,,text,public domain,,Manuscripts,Aug. perg. 60,,,,,,,,,,,,Badische Landesbibliothek Karlsruhe,,"Karlsruhe, Badische Landesbibliothek, Aug. perg. 60",,https://digital.blb-karlsruhe.de/blbhs/i3f/v20/1253173,https://digital.blb-karlsruhe.de/i3f/v20/1253122/manifest,https://digital.blb-karlsruhe.de/blbhs/content/titleinfo/1253122,,,,,,
St Gall Manuscripts,ark:/21198/zz001803xf,ark:/21198/zz0015vcjk,Work,,paged,,,text,public domain,,Manuscripts,Aug. perg. 64,,,,,,,,,,,,Badische Landesbibliothek Karlsruhe,,"Karlsruhe, Badische Landesbibliothek, Aug. perg. 64",,https://digital.blb-karlsruhe.de/blbhs/i3f/v20/8032,https://digital.blb-karlsruhe.de/i3f/v20/20057/manifest,https://digital.blb-karlsruhe.de/blbhs/content/titleinfo/20057,,,ltr,,,
St Gall Manuscripts,ark:/21198/zz0017n198,ark:/21198/zz0015vcjk,Work,,paged,,,text,public domain,,Manuscripts,Aug. perg. 69,,,,,,,,,,,,Badische Landesbibliothek Karlsruhe,,"Karlsruhe, Badische Landesbibliothek, Aug. perg. 69",,https://digital.blb-karlsruhe.de/blbhs/i3f/v20/5145,https://digital.blb-karlsruhe.de/i3f/v20/19692/manifest,https://digital.blb-karlsruhe.de/blbhs/content/titleinfo/19692,,,ltr,,,
St Gall Manuscripts,ark:/21198/zz001803zz,ark:/21198/zz0015vcjk,Work,,paged,,,text,public domain,,Manuscripts,Aug. perg. 72,,,,,,,,,,,,Badische Landesbibliothek Karlsruhe,,"Karlsruhe, Badische Landesbibliothek, Aug. perg. 72",,https://digital.blb-karlsruhe.de/blbhs/i3f/v20/8636,https://digital.blb-karlsruhe.de/i3f/v20/20649/manifest,https://digital.blb-karlsruhe.de/blbhs/content/titleinfo/20649,,,ltr,,,
St Gall Manuscripts,ark:/21198/zz002940vj,ark:/21198/zz0015vcjk,Work,,paged,,,text,public domain,,Manuscripts,Aug. perg. 73,,,,,,,,,,,,Badische Landesbibliothek Karlsruhe,,"Karlsruhe, Badische Landesbibliothek, Aug. perg. 73",,https://digital.blb-karlsruhe.de/blbhs/i3f/v20/208064,https://digital.blb-karlsruhe.de/i3f/v20/166821/manifest,https://digital.blb-karlsruhe.de/blbhs/content/titleinfo/166821,,,,,,
St Gall Manuscripts,ark:/21198/zz0018040z,ark:/21198/zz0015vcjk,Work,,paged,,,text,public domain,,Manuscripts,Aug. perg. 74,,,,,,,,,,,,Badische Landesbibliothek Karlsruhe,,"Karlsruhe, Badische Landesbibliothek, Aug. perg. 74",,https://digital.blb-karlsruhe.de/blbhs/i3f/v20/8941,https://digital.blb-karlsruhe.de/i3f/v20/20248/manifest,https://digital.blb-karlsruhe.de/blbhs/content/titleinfo/20248,,,ltr,,,
St Gall Manuscripts,ark:/21198/zz00180420,ark:/21198/zz0015vcjk,Work,,paged,,,text,public domain,,Manuscripts,Aug. perg. 76,,,,,,,,,,,,Badische Landesbibliothek Karlsruhe,,"Karlsruhe, Badische Landesbibliothek, Aug. perg. 76",,https://digital.blb-karlsruhe.de/blbhs/i3f/v20/9218,https://digital.blb-karlsruhe.de/i3f/v20/20257/manifest,https://digital.blb-karlsruhe.de/blbhs/content/titleinfo/20257,,,ltr,,,
St Gall Manuscripts,ark:/21198/zz001804qt,ark:/21198/zz0015vcjk,Work,,paged,,,text,public domain,,Manuscripts,Aug. perg. 81,,,,,,,,,,,,Badische Landesbibliothek Karlsruhe,,"Karlsruhe, Badische Landesbibliothek, Aug. perg. 81",,https://digital.blb-karlsruhe.de/blbhs/i3f/v20/9531,https://digital.blb-karlsruhe.de/i3f/v20/20621/manifest,https://digital.blb-karlsruhe.de/blbhs/content/titleinfo/20621,,,ltr,,,
St Gall Manuscripts,ark:/21198/zz0018041g,ark:/21198/zz0015vcjk,Work,,paged,,,text,public domain,,Manuscripts,Aug. perg. 85,,,,,,,,,,,,Badische Landesbibliothek Karlsruhe,,"Karlsruhe, Badische Landesbibliothek, Aug. perg. 85",,https://digital.blb-karlsruhe.de/blbhs/i3f/v20/9794,https://digital.blb-karlsruhe.de/i3f/v20/19784/manifest,https://digital.blb-karlsruhe.de/blbhs/content/titleinfo/19784,,,ltr,,,
St Gall Manuscripts,ark:/21198/zz0018043h,ark:/21198/zz0015vcjk,Work,,paged,,,text,public domain,,Manuscripts,Aug. perg. 92,,,,,,,,,,,,Badische Landesbibliothek Karlsruhe,,"Karlsruhe, Badische Landesbibliothek, Aug. perg. 92",,https://digital.blb-karlsruhe.de/blbhs/i3f/v20/9883,https://digital.blb-karlsruhe.de/i3f/v20/20206/manifest,https://digital.blb-karlsruhe.de/blbhs/content/titleinfo/20206,,,ltr,,,
St Gall Manuscripts,ark:/21198/zz0017n1bs,ark:/21198/zz0015vcjk,Work,,paged,,,text,public domain,,Manuscripts,Aug. perg. 94,,,,,,,,,,,,Badische Landesbibliothek Karlsruhe,,"Karlsruhe, Badische Landesbibliothek, Aug. perg. 94",,https://digital.blb-karlsruhe.de/blbhs/i3f/v20/10069,https://digital.blb-karlsruhe.de/i3f/v20/20221/manifest,https://digital.blb-karlsruhe.de/blbhs/content/titleinfo/20221,,,ltr,,,
St Gall Manuscripts,ark:/21198/zz0017n1c9,ark:/21198/zz0015vcjk,Work,,paged,,,text,public domain,,Manuscripts,Aug. perg. 98,,,,,,,,,,,,Badische Landesbibliothek Karlsruhe,,"Karlsruhe, Badische Landesbibliothek, Aug. perg. 98",,https://digital.blb-karlsruhe.de/blbhs/i3f/v20/10238,https://digital.blb-karlsruhe.de/i3f/v20/20662/manifest,https://digital.blb-karlsruhe.de/blbhs/content/titleinfo/20662,,,ltr,,,
St Gall Manuscripts,ark:/21198/zz001804fp,ark:/21198/zz0015vcjk,Work,,paged,,,text,public domain,,Manuscripts,Aug. perg. 200,,,,,,,,,,,,Badische Landesbibliothek Karlsruhe,,"Karlsruhe, Badische Landesbibliothek, Aug. perg. 200",,https://digital.blb-karlsruhe.de/blbhs/i3f/v20/15739,https://digital.blb-karlsruhe.de/i3f/v20/20084/manifest,https://digital.blb-karlsruhe.de/blbhs/content/titleinfo/20084,,,ltr,,,
