"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Visibility","viewingHint","Thumbnail","Type.typeOfResource","Rights.copyrightStatus","Rights.publicationStatus","Language","Name.repository","AltTitle.uniform","Description.note","Summary","Title","Alt ID.local","Opac url","Finding Aid URL","Bucketeer State","IIIF Access URL"
"Mikels (Elaine) Papers","ark:/21198/zz002dw4sj/9b95st70","ark:/21198/zz002dw4sj","","","Page","elaine_mikels/image/srgb/CSW_Mazer_Elaine_Mikels_F06_034.tif","1","","","private","","","","","","","","","","","Front","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dw4sj%2F9b95st70"
"Mikels (Elaine) Papers","ark:/21198/zz002dw4sj/b588dp01","ark:/21198/zz002dw4sj","","","Page","elaine_mikels/image/srgb/CSW_Mazer_Elaine_Mikels_F06_034A.tif","2","","","private","","","","","","","","","","","Back","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dw4sj%2Fb588dp01"
"Mikels (Elaine) Papers","ark:/21198/zz002dw4t2/6477336z","ark:/21198/zz002dw4t2","","","Page","elaine_mikels/image/srgb/CSW_Mazer_Elaine_Mikels_F06_035.tif","1","","","private","","","","","","","","","","","Front","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dw4t2%2F6477336z"
"Mikels (Elaine) Papers","ark:/21198/zz002dw4t2/jz04888t","ark:/21198/zz002dw4t2","","","Page","elaine_mikels/image/srgb/CSW_Mazer_Elaine_Mikels_F06_035A.tif","2","","","private","","","","","","","","","","","Back","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dw4t2%2Fjz04888t"
"Mikels (Elaine) Papers","ark:/21198/zz002dw4z4/kj531x9p","ark:/21198/zz002dw4z4","","","Page","elaine_mikels/image/srgb/CSW_Mazer_Elaine_Mikels_F06_039A.tif","2","","","private","","","","","","","","","","","Back","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dw4z4%2Fkj531x9p"
"Mikels (Elaine) Papers","ark:/21198/zz002dw4z4/v5125g1t","ark:/21198/zz002dw4z4","","","Page","elaine_mikels/image/srgb/CSW_Mazer_Elaine_Mikels_F06_039.tif","1","","","private","","","","","","","","","","","Front","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dw4z4%2Fv5125g1t"
"Mikels (Elaine) Papers","ark:/21198/zz002dw53p/kw78wq36","ark:/21198/zz002dw53p","","","Page","elaine_mikels/image/srgb/CSW_Mazer_Elaine_Mikels_F06_043A.tif","2","","","private","","","","","","","","","","","Back","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dw53p%2Fkw78wq36"
"Mikels (Elaine) Papers","ark:/21198/zz002dw53p/vq122w8r","ark:/21198/zz002dw53p","","","Page","elaine_mikels/image/srgb/CSW_Mazer_Elaine_Mikels_F06_043.tif","1","","","private","","","","","","","","","","","Front","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dw53p%2Fvq122w8r"
"Mikels (Elaine) Papers","ark:/21198/zz002dw546/8j49h90s","ark:/21198/zz002dw546","","","Page","elaine_mikels/image/srgb/CSW_Mazer_Elaine_Mikels_F06_044A.tif","2","","","private","","","","","","","","","","","Back","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dw546%2F8j49h90s"
"Mikels (Elaine) Papers","ark:/21198/zz002dw546/x577ck3r","ark:/21198/zz002dw546","","","Page","elaine_mikels/image/srgb/CSW_Mazer_Elaine_Mikels_F06_044.tif","1","","","private","","","","","","","","","","","Front","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dw546%2Fx577ck3r"
"Mikels (Elaine) Papers","ark:/21198/zz002dw5b9/5k51h097","ark:/21198/zz002dw5b9","","","Page","elaine_mikels/image/srgb/CSW_Mazer_Elaine_Mikels_F06_050.tif","1","","","private","","","","","","","","","","","Front","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dw5b9%2F5k51h097"
"Mikels (Elaine) Papers","ark:/21198/zz002dw5b9/bp947q1h","ark:/21198/zz002dw5b9","","","Page","elaine_mikels/image/srgb/CSW_Mazer_Elaine_Mikels_F06_050A.tif","2","","","private","","","","","","","","","","","Back","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dw5b9%2Fbp947q1h"
"Mikels (Elaine) Papers","ark:/21198/zz002dw5q0/8k691393","ark:/21198/zz002dw5q0","","","Page","elaine_mikels/image/srgb/CSW_Mazer_Elaine_Mikels_F11_003A.tif","2","","","private","","","","","","","","","","","Back","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dw5q0%2F8k691393"
"Mikels (Elaine) Papers","ark:/21198/zz002dw5q0/jc40386c","ark:/21198/zz002dw5q0","","","Page","elaine_mikels/image/srgb/CSW_Mazer_Elaine_Mikels_F11_003.tif","1","","","private","","","","","","","","","","","Front","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dw5q0%2Fjc40386c"
"Mikels (Elaine) Papers","ark:/21198/zz002dw5s1/hv083j9v","ark:/21198/zz002dw5s1","","","Page","elaine_mikels/image/srgb/CSW_Mazer_Elaine_Mikels_F11_005A.tif","2","","","private","","","","","","","","","","","Back","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dw5s1%2Fhv083j9v"
"Mikels (Elaine) Papers","ark:/21198/zz002dw5s1/x8101w7w","ark:/21198/zz002dw5s1","","","Page","elaine_mikels/image/srgb/CSW_Mazer_Elaine_Mikels_F11_005.tif","1","","","private","","","","","","","","","","","Front","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dw5s1%2Fx8101w7w"
"Mikels (Elaine) Papers","ark:/21198/zz002dw5v2/2w29v58s","ark:/21198/zz002dw5v2","","","Page","elaine_mikels/image/srgb/CSW_Mazer_Elaine_Mikels_F11_007A.tif","2","","","private","","","","","","","","","","","Back","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dw5v2%2F2w29v58s"
"Mikels (Elaine) Papers","ark:/21198/zz002dw5v2/f600pb48","ark:/21198/zz002dw5v2","","","Page","elaine_mikels/image/srgb/CSW_Mazer_Elaine_Mikels_F11_007.tif","1","","","private","","","","","","","","","","","Front","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dw5v2%2Ff600pb48"
