"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Rights.copyrightStatus","Rights.servicesContact","Language","Type.genre","Subject","Relation.isPartOf","Relation.rectoVerso","Name.creator","Name.repository","Date.creation","Alt ID.local","Format.extent","Format.dimensions","Description.abstract","Title","Date.normalized","Description.note","Bucketeer State","IIIF Access URL"
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001gq93t","ark:/21198/zz001gpx8n","2","Completed","Page","mcafee/masters/21198-zz001gq93t_1272309_master.tif","41","","","","","","","","text","pd","","","","","","r","","","","","","","","Page 41","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gq93t"
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001gq94b","ark:/21198/zz001gpx8n","2","Completed","Page","mcafee/masters/21198-zz001gq94b_1272315_master.tif","42","","","","","","","","text","pd","","","","","","v","","","","","","","","Page 42","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gq94b"
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001gq95v","ark:/21198/zz001gpx8n","2","Completed","Page","mcafee/masters/21198-zz001gq95v_1272319_master.tif","43","","","","","","","","text","pd","","","","","","r","","","","","","","","Page 43","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gq95v"
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001gq96c","ark:/21198/zz001gpx8n","2","Completed","Page","mcafee/masters/21198-zz001gq96c_1272324_master.tif","44","","","","","","","","text","pd","","","","","","v","","","","","","","","Page 44","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gq96c"
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001gq97w","ark:/21198/zz001gpx8n","2","Completed","Page","mcafee/masters/21198-zz001gq97w_1272327_master.tif","45","","","","","","","","text","pd","","","","","","r","","","","","","","","Page 45","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gq97w"
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001gq98d","ark:/21198/zz001gpx8n","2","Completed","Page","mcafee/masters/21198-zz001gq98d_1272330_master.tif","46","","","","","","","","text","pd","","","","","","v","","","","","","","","Page 46","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gq98d"
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001gq99x","ark:/21198/zz001gpx8n","2","Completed","Page","mcafee/masters/21198-zz001gq99x_1272333_master.tif","47","","","","","","","","text","pd","","","","","","r","","","","","","","","Page 47","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gq99x"
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001gq9bf","ark:/21198/zz001gpx8n","2","Completed","Page","mcafee/masters/21198-zz001gq9bf_1272337_master.tif","48","","","","","","","","text","pd","","","","","","v","","","","","","","","Page 48","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gq9bf"
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001gq9cz","ark:/21198/zz001gpx8n","2","Completed","Page","mcafee/masters/21198-zz001gq9cz_1272342_master.tif","49","","","","","","","","text","pd","","","","","","r","","","","","","","","Page 49","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gq9cz"
"McAfee (Byron) Papers.  Collection 339","ark:/21198/zz001gq9dg","ark:/21198/zz001gpx8n","2","Completed","Page","mcafee/masters/21198-zz001gq9dg_1272345_master.tif","50","","","","","","","","text","pd","","","","","","v","","","","","","","","Page 50","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gq9dg"
