"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Visibility","viewingHint","Duplicate","Delete in Title","Thumbnail","Title","Alt ID.local","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Iranian National Baha'i Archives","ark:/21198/z1pk247h","ark:/21198/zz002h5z65","","","Page","inba/image/21198-zz002h5z65-1-master_063.tif","63","","","","","","Page 63","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pk247h",""
"Iranian National Baha'i Archives","ark:/21198/z1jt1chs","ark:/21198/zz002h5z65","","","Page","inba/image/21198-zz002h5z65-1-master_064.tif","64","","","","","","Page 64","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jt1chs",""
"Iranian National Baha'i Archives","ark:/21198/z1f20mtt","ark:/21198/zz002h5z65","","","Page","inba/image/21198-zz002h5z65-1-master_065.tif","65","","","","","","Page 65","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1f20mtt",""
"Iranian National Baha'i Archives","ark:/21198/z19c8kh8","ark:/21198/zz002h5z65","","","Page","inba/image/21198-zz002h5z65-1-master_066.tif","66","","","","","","Page 66","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19c8kh8",""
"Iranian National Baha'i Archives","ark:/21198/z15m7tvf","ark:/21198/zz002h5z65","","","Page","inba/image/21198-zz002h5z65-1-master_067.tif","67","","","","","","Page 67","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15m7tvf",""
"Iranian National Baha'i Archives","ark:/21198/z11v734h","ark:/21198/zz002h5z65","","","Page","inba/image/21198-zz002h5z65-1-master_068.tif","68","","","","","","Page 68","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11v734h",""
"Iranian National Baha'i Archives","ark:/21198/z1x36kmp","ark:/21198/zz002h5z65","","","Page","inba/image/21198-zz002h5z65-1-master_069.tif","69","","","","","","Page 69","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x36kmp",""
"Iranian National Baha'i Archives","ark:/21198/z1sb5tt2","ark:/21198/zz002h5z65","","","Page","inba/image/21198-zz002h5z65-1-master_070.tif","70","","","","","","Page 70","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sb5tt2",""
"Iranian National Baha'i Archives","ark:/21198/z1nk534k","ark:/21198/zz002h5z65","","","Page","inba/image/21198-zz002h5z65-1-master_071.tif","71","","","","","","Page 71","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1nk534k",""
"Iranian National Baha'i Archives","ark:/21198/z1hx31r8","ark:/21198/zz002h5z65","","","Page","inba/image/21198-zz002h5z65-1-master_072.tif","72","","","","","","Page 72","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hx31r8",""
"Iranian National Baha'i Archives","ark:/21198/z1d5292q","ark:/21198/zz002h5z65","","","Page","inba/image/21198-zz002h5z65-1-master_073.tif","73","","","","","","Page 73","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1d5292q",""
"Iranian National Baha'i Archives","ark:/21198/z18d1jdw","ark:/21198/zz002h5z65","","","Page","inba/image/21198-zz002h5z65-1-master_074.tif","74","","","","","","Page 74","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18d1jdw",""
"Iranian National Baha'i Archives","ark:/21198/z14n0sr2","ark:/21198/zz002h5z65","","","Page","inba/image/21198-zz002h5z65-1-master_075.tif","75","","","","","","Page 75","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14n0sr2",""
"Iranian National Baha'i Archives","ark:/21198/z10w01zt","ark:/21198/zz002h5z65","","","Page","inba/image/21198-zz002h5z65-1-master_076.tif","76","","","","","","Page 76","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10w01zt",""
"Iranian National Baha'i Archives","ark:/21198/z1w39jfv","ark:/21198/zz002h5z65","","","Page","inba/image/21198-zz002h5z65-1-master_077.tif","77","","","","","","Page 77","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w39jfv",""
"Iranian National Baha'i Archives","ark:/21198/z1rb8sq4","ark:/21198/zz002h5z65","","","Page","inba/image/21198-zz002h5z65-1-master_078.tif","78","","","","","","Page 78","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rb8sq4",""
"Iranian National Baha'i Archives","ark:/21198/z1mp6rb7","ark:/21198/zz002h5z65","","","Page","inba/image/21198-zz002h5z65-1-master_079.tif","79","","","","","","Page 79","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mp6rb7",""
"Iranian National Baha'i Archives","ark:/21198/z1gx60nb","ark:/21198/zz002h5z65","","","Page","inba/image/21198-zz002h5z65-1-master_080.tif","80","","","","","","Page 80","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gx60nb",""
"Iranian National Baha'i Archives","ark:/21198/z1c55807","ark:/21198/zz002h5z65","","","Page","inba/image/21198-zz002h5z65-1-master_081.tif","81","","","","","","Page 81","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1c55807",""
"Iranian National Baha'i Archives","ark:/21198/z17d4hbd","ark:/21198/zz002h5z65","","","Page","inba/image/21198-zz002h5z65-1-master_082.tif","82","","","","","","Page 82","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17d4hbd",""
"Iranian National Baha'i Archives","ark:/21198/z13n3rjs","ark:/21198/zz002h5z65","","","Page","inba/image/21198-zz002h5z65-1-master_083.tif","83","","","","","","Page 83","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13n3rjs",""
"Iranian National Baha'i Archives","ark:/21198/z1zw3800","ark:/21198/zz002h5z65","","","Page","inba/image/21198-zz002h5z65-1-master_084.tif","84","","","","","","Page 84","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zw3800",""
"Iranian National Baha'i Archives","ark:/21198/z1v42h91","ark:/21198/zz002h5z65","","","Page","inba/image/21198-zz002h5z65-1-master_085.tif","85","","","","","","Page 85","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1v42h91",""
"Iranian National Baha'i Archives","ark:/21198/z1qg0fz5","ark:/21198/zz002h5z65","","","Page","inba/image/21198-zz002h5z65-1-master_086.tif","86","","","","","","Page 86","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qg0fz5",""
"Iranian National Baha'i Archives","ark:/21198/z1kp9q8r","ark:/21198/zz002h5z65","","","Page","inba/image/21198-zz002h5z65-1-master_087.tif","87","","","","","","Page 87","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kp9q8r",""
"Iranian National Baha'i Archives","ark:/21198/z1fx8zmx","ark:/21198/zz002h5z65","","","Page","inba/image/21198-zz002h5z65-1-master_088.tif","88","","","","","","Page 88","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fx8zmx",""
"Iranian National Baha'i Archives","ark:/21198/z1b586ww","ark:/21198/zz002h5z65","","","Page","inba/image/21198-zz002h5z65-1-master_089.tif","89","","","","","","Page 89","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b586ww",""
"Iranian National Baha'i Archives","ark:/21198/z16d7g44","ark:/21198/zz002h5z65","","","Page","inba/image/21198-zz002h5z65-1-master_090.tif","90","","","","","","Page 90","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16d7g44",""
"Iranian National Baha'i Archives","ark:/21198/z12n6qbh","ark:/21198/zz002h5z65","","","Page","inba/image/21198-zz002h5z65-1-master_091.tif","91","","","","","","Page 91","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12n6qbh",""
