"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Visibility","viewingHint","Duplicate","Delete in Title","Thumbnail","Title","Alt ID.local","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Iranian National Baha'i Archives","ark:/21198/z1zw37w7","ark:/21198/zz002h5z3m","","","Page","inba/image/21198-zz002h5z3m-1-master_053.tif","53","","","","","","Page 53","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zw37w7",""
"Iranian National Baha'i Archives","ark:/21198/z1v42h57","ark:/21198/zz002h5z3m","","","Page","inba/image/21198-zz002h5z3m-1-master_054.tif","54","","","","","","Page 54","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1v42h57",""
"Iranian National Baha'i Archives","ark:/21198/z1qc1rgz","ark:/21198/zz002h5z3m","","","Page","inba/image/21198-zz002h5z3m-1-master_055.tif","55","","","","","","Page 55","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qc1rgz",""
"Iranian National Baha'i Archives","ark:/21198/z1km10th","ark:/21198/zz002h5z3m","","","Page","inba/image/21198-zz002h5z3m-1-master_056.tif","56","","","","","","Page 56","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1km10th",""
"Iranian National Baha'i Archives","ark:/21198/z1fv082r","ark:/21198/zz002h5z3m","","","Page","inba/image/21198-zz002h5z3m-1-master_057.tif","57","","","","","","Page 57","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fv082r",""
"Iranian National Baha'i Archives","ark:/21198/z1b586r3","ark:/21198/zz002h5z3m","","","Page","inba/image/21198-zz002h5z3m-1-master_058.tif","58","","","","","","Page 58","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b586r3",""
"Iranian National Baha'i Archives","ark:/21198/z16d7g1s","ark:/21198/zz002h5z3m","","","Page","inba/image/21198-zz002h5z3m-1-master_059.tif","59","","","","","","Page 59","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16d7g1s",""
"Iranian National Baha'i Archives","ark:/21198/z12n6q75","ark:/21198/zz002h5z3m","","","Page","inba/image/21198-zz002h5z3m-1-master_060.tif","60","","","","","","Page 60","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12n6q75",""
"Iranian National Baha'i Archives","ark:/21198/z1xw66rv","ark:/21198/zz002h5z3m","","","Page","inba/image/21198-zz002h5z3m-1-master_061.tif","61","","","","","","Page 61","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xw66rv",""
"Iranian National Baha'i Archives","ark:/21198/z1t45g29","ark:/21198/zz002h5z3m","","","Page","inba/image/21198-zz002h5z3m-1-master_062.tif","62","","","","","","Page 62","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1t45g29",""
