"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Visibility","viewingHint","Thumbnail","Type.typeOfResource","Rights.copyrightStatus","Language","Type.genre","Rights.permission","Title","AltTitle.translated","Publisher.publisherName","Format.extent","Date.creation","Coverage.geographic","Opac url","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"DIYALoG","ark:/21198/z1g46b4t","ark:/21198/zz002hc7dt","","","Page","diyalog/image/21198-zz002hc7dt-1-master_041.tif","41","","","","","","","","","","","Page 41","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g46b4t",""
"DIYALoG","ark:/21198/z1bc5kb6","ark:/21198/zz002hc7dt","","","Page","diyalog/image/21198-zz002hc7dt-1-master_042.tif","42","","","","","","","","","","","Page 42","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bc5kb6",""
"DIYALoG","ark:/21198/z16m4tmg","ark:/21198/zz002hc7dt","","","Page","diyalog/image/21198-zz002hc7dt-1-master_043.tif","43","","","","","","","","","","","Page 43","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16m4tmg",""
"DIYALoG","ark:/21198/z12v42xk","ark:/21198/zz002hc7dt","","","Page","diyalog/image/21198-zz002hc7dt-1-master_044.tif","44","","","","","","","","","","","Page 44","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12v42xk",""
"DIYALoG","ark:/21198/z1z33khh","ark:/21198/zz002hc7dt","","","Page","diyalog/image/21198-zz002hc7dt-1-master_045.tif","45","","","","","","","","","","","Page 45","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z33khh",""
"DIYALoG","ark:/21198/z1tb2tss","ark:/21198/zz002hc7dt","","","Page","diyalog/image/21198-zz002hc7dt-1-master_046.tif","46","","","","","","","","","","","Page 46","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tb2tss",""
"DIYALoG","ark:/21198/z1pp0sgs","ark:/21198/zz002hc7dt","","","Page","diyalog/image/21198-zz002hc7dt-1-master_047.tif","47","","","","","","","","","","","Page 47","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pp0sgs",""
"DIYALoG","ark:/21198/z1jx01q0","ark:/21198/zz002hc7dt","","","Page","diyalog/image/21198-zz002hc7dt-1-master_048.tif","48","","","","","","","","","","","Page 48","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jx01q0",""
"DIYALoG","ark:/21198/z1f498zk","ark:/21198/zz002hc7dt","","","Page","diyalog/image/21198-zz002hc7dt-1-master_049.tif","49","","","","","","","","","","","Page 49","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1f498zk",""
"DIYALoG","ark:/21198/z19c8j6t","ark:/21198/zz002hc7dt","","","Page","diyalog/image/21198-zz002hc7dt-1-master_050.tif","50","","","","","","","","","","","Page 50","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19c8j6t",""
"DIYALoG","ark:/21198/z15m7shj","ark:/21198/zz002hc7dt","","","Page","diyalog/image/21198-zz002hc7dt-1-master_051.tif","51","","","","","","","","","","","Page 51","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15m7shj",""
"DIYALoG","ark:/21198/z11v71s6","ark:/21198/zz002hc7dt","","","Page","diyalog/image/21198-zz002hc7dt-1-master_052.tif","52","","","","","","","","","","","Page 52","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11v71s6",""
"DIYALoG","ark:/21198/z1x36j97","ark:/21198/zz002hc7dt","","","Page","diyalog/image/21198-zz002hc7dt-1-master_053.tif","53","","","","","","","","","","","Page 53","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x36j97",""
