Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,viewingHint,Text direction,Item Sequence,Duplicate,Delete in Title,Type.typeOfResource,Subject,Type.genre,Language,Name.editor,Name.engraver,Title,Relation.rectoVerso,Relation.pageNumber,Description.note,Source,Relation.isPartOf,Alt ID.local,Date.normalized,Publisher.publisherName,Format.extent,Publisher.placeOfOrigin,Date.publication,Format.dimensions,Description.tableOfContents,Alt ID.oclc,AltTitle.uniform,AltTitle.inscribed,Relation.hasPart,Name.printer,Name.illustrator,Rights.copyrightStatus
Picart (Bernard) Collection,ark:/21198/zz000s28gv,ark:/21198/zz0009pfh2,2,Completed,ChildWork,picart/masters/21198-zz000s28gv-1-master.tif,,,232,,,text,,,,,,page 170,v,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz000s28hc,ark:/21198/zz0009pfh2,2,Completed,ChildWork,picart/masters/21198-zz000s28hc-1-master.tif,,,233,,,text,,,,,,page 171,r,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz000s28jw,ark:/21198/zz0009pfh2,2,Completed,ChildWork,picart/masters/21198-zz000s28jw-1-master.tif,,,234,,,text,,,,,,page 172,v,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz000s28kd,ark:/21198/zz0009pfh2,2,Completed,ChildWork,picart/masters/21198-zz000s28kd-1-master.tif,,,235,,,still image,,,,,,MARIAGE des INDIENS du PANAMA.,r,,MARIAGE des INDIENS du PANAMA.Les PARENS et les AMIS DÉFRICHANT la TERRE qui est destinée aux NOUVEAUX MARIÉS.B. Picart delineavit 1723.,page 172a,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz000s28mx,ark:/21198/zz0009pfh2,2,Completed,ChildWork,picart/masters/21198-zz000s28mx-1-master.tif,,,236,,,text,,,,,,page 172b,v,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz000s28nf,ark:/21198/zz0009pfh2,2,Completed,ChildWork,picart/masters/21198-zz000s28nf-1-master.tif,,,237,,,text,,,,,,page 173,r,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz000s28pz,ark:/21198/zz0009pfh2,2,Completed,ChildWork,picart/masters/21198-zz000s28pz-1-master.tif,,,238,,,text,,,,,,page 174,v,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz000s28qg,ark:/21198/zz0009pfh2,2,Completed,ChildWork,picart/masters/21198-zz000s28qg-1-master.tif,,,239,,,text,,,,,,page 174a,r,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz000s28r0,ark:/21198/zz0009pfh2,2,Completed,ChildWork,picart/masters/21198-zz000s28r0-1-master.tif,,,240,,,still image,,,,,,Maniere dont les PRÊTRES CARIBES souflent le Courage.,v,,Maniere dont les PRÊTRES CARIBES souflent le Courage.B. Picart del. 1721.,page 174b,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz000s2bhb,ark:/21198/zz0009pfh2,2,Completed,ChildWork,picart/masters/21198-zz000s2bhb-1-master.tif,,,241,,,text,,,,,,page 175,r,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz000s2bjv,ark:/21198/zz0009pfh2,2,Completed,ChildWork,picart/masters/21198-zz000s2bjv-1-master.tif,,,242,,,text,,,,,,page 176,v,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz000s2bkc,ark:/21198/zz0009pfh2,2,Completed,ChildWork,picart/masters/21198-zz000s2bkc-1-master.tif,,,243,,,still image,,,,,,MANIERE dont les SAUVAGES de PARIA gouvernent leur MALADES.,r,,"MANIERE dont les SAUVAGES de PARIA gouvernent leur MALADES.DANSE des SAUVAGES de PARIA autour des MOURANS, et leurs CEREMONIES FUNEBRES.B.Picart sculp. dir. 1723.",page 176a,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz000s2bmw,ark:/21198/zz0009pfh2,2,Completed,ChildWork,picart/masters/21198-zz000s2bmw-1-master.tif,,,244,,,text,,,,,,page 176b,v,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz000s2bnd,ark:/21198/zz0009pfh2,2,Completed,ChildWork,picart/masters/21198-zz000s2bnd-1-master.tif,,,245,,,text,,,,,,page 177,r,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz000s2bpx,ark:/21198/zz0009pfh2,2,Completed,ChildWork,picart/masters/21198-zz000s2bpx-1-master.tif,,,246,,,text,,,,,,page 178,v,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz000s2bqf,ark:/21198/zz0009pfh2,2,Completed,ChildWork,picart/masters/21198-zz000s2bqf-1-master.tif,,,247,,,still image,,,,,,CEREMONIE funebre des peuples qui habitent aux environs du fleuve ORENOQUE.,r,,CEREMONIE funebre des peuples qui habitent aux environs du fleuve ORENOQUE.CEREMONIE funebre des BRESILIENS.B. Picart sculp. dir. 1721.,page 178a,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz000s2brz,ark:/21198/zz0009pfh2,2,Completed,ChildWork,picart/masters/21198-zz000s2brz-1-master.tif,,,248,,,text,,,,,,page 178b,v,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz000s2bsg,ark:/21198/zz0009pfh2,2,Completed,ChildWork,picart/masters/21198-zz000s2bsg-1-master.tif,,,249,,,text,,,,,,page 179,r,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz000s2bt0,ark:/21198/zz0009pfh2,2,Completed,ChildWork,picart/masters/21198-zz000s2bt0-1-master.tif,,,250,,,text,,,,,,page 180,v,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz000s2bvh,ark:/21198/zz0009pfh2,2,Completed,ChildWork,picart/masters/21198-zz000s2bvh-1-master.tif,,,251,,,text,,,,,,page 181,r,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz000s2bw1,ark:/21198/zz0009pfh2,2,Completed,ChildWork,picart/masters/21198-zz000s2bw1-1-master.tif,,,252,,,text,,,,,,page 182,v,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz000s2bxj,ark:/21198/zz0009pfh2,2,Completed,ChildWork,picart/masters/21198-zz000s2bxj-1-master.tif,,,253,,,text,,,,,,page 183,r,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz000s2bz2,ark:/21198/zz0009pfh2,2,Completed,ChildWork,picart/masters/21198-zz000s2bz2-1-master.tif,,,254,,,text,,,,,,page 184,v,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz000s2c02,ark:/21198/zz0009pfh2,2,Completed,ChildWork,picart/masters/21198-zz000s2c02-1-master.tif,,,255,,,text,,,,,,page 185,r,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz000s2c1k,ark:/21198/zz0009pfh2,2,Completed,ChildWork,picart/masters/21198-zz000s2c1k-1-master.tif,,,256,,,text,,,,,,page 186,v,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz000s2c23,ark:/21198/zz0009pfh2,2,Completed,ChildWork,picart/masters/21198-zz000s2c23-1-master.tif,,,257,,,text,,,,,,page 187,r,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz000s2c3m,ark:/21198/zz0009pfh2,2,Completed,ChildWork,picart/masters/21198-zz000s2c3m-1-master.tif,,,258,,,text,,,,,,page 188,v,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz000s2c44,ark:/21198/zz0009pfh2,2,Completed,ChildWork,picart/masters/21198-zz000s2c44-1-master.tif,,,259,,,text,,,,,,page 189,r,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz000s2c5n,ark:/21198/zz0009pfh2,2,Completed,ChildWork,picart/masters/21198-zz000s2c5n-1-master.tif,,,260,,,text,,,,,,page 190,v,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz000s4w3r,ark:/21198/zz0009pfh2,2,Completed,ChildWork,picart/masters/21198-zz000s4w3r-1-master.tif,,,261,,,still image,,,,,,L'YNCAS consacre son VAZE au SOLEIL.,r,,L'YNCAS consacre son VAZE au SOLEIL.L'YNCAS vient recevoir les OFRANDES que ses SUJETS font au SOLEIL.B. Picart delineavit 1723.,page 190a,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz000s4w48,ark:/21198/zz0009pfh2,2,Completed,ChildWork,picart/masters/21198-zz000s4w48-1-master.tif,,,262,,,text,,,,,,page 190b,v,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz000s4w5s,ark:/21198/zz0009pfh2,2,Completed,ChildWork,picart/masters/21198-zz000s4w5s-1-master.tif,,,263,,,text,,,,,,page 191,r,,,,,,,,,,,,,,,,,,,
Picart (Bernard) Collection,ark:/21198/zz000s4w69,ark:/21198/zz0009pfh2,2,Completed,ChildWork,picart/masters/21198-zz000s4w69-1-master.tif,,,264,,,text,,,,,,page 192,v,,,,,,,,,,,,,,,,,,,
