"Project Name","Parent ARK","Item ARK","Object Type","viewingHint","Text direction","File Name","AltIdentifier.local","Item Sequence","Title","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Rights.servicesContact","Language","Name.repository","AltTitle.other","AltTitle.translated","AltTitle.uniform","Place of origin","Date.creation","Date.normalized","Format.extent","Format.dimensions","Support","Relation.rectoVerso","Description.note","Description.history","Description.condition","Coverage.temporal","Description.collation","Description.binding","Description.tableOfContents","Description.contents","Description.abstract","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Ethiopic Manuscripts","ark:/21198/zz001d6180","ark:/21198/zz001d7xsr","Page","","","Masters/dlmasters/ethiopian/masters/21198-zz001d7xsr_773028_master.tif","Ms. 8_63","67","Page 63","","","pd","","gez","","Magical prayer|~|ጸሎት በእንተ ህማመ ዓይነ ጥላ ወዓይነ ወርቅ","Prayer against the Disease of Ayena Ṭelā and wa- Ayena Warek","Prayer, Qedāsé","Ethiopia","20th c.","1900/1999","1 Page","120 mm x 94 mm","Vellum","","Prayer against the evil spirit who causes eye disease  ጸሎት በእንተ ህማመ ዓይነ ጥላ ወዓይነ ወርቅ ; በስመ፡ አብ ፡ወወልድ፡ ወመንፈስ፡ ቅዱስ፡ ፩፡ አምላክ፡ ጸሎት፡ በእንተ ፡ሕማመ፡ ዓይነ፡ እንተ፡ ሕማመ፡ ዓይነ፡ ጥላ፡ ወዓይነ ፡ወርቅ፡ ወማዕሠሮሙ፡ ለአጋንንት ; ፃዑ ፡መናፍስተ ፡ርኩሳን፡ በስሙ፡ ለእግዚእነ፡ ኢየሱስ ክርስቶስ፡ አድኅኖ ፡ወፈውሶ፡ ለገ፡ ፈቃደ ፡እግዚእ፡ ለዓ፡ ዓለ፡ አሜን፡፡","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d7xsr",""
"Ethiopic Manuscripts","ark:/21198/zz001d6180","ark:/21198/zz001d7xt8","Page","","","Masters/dlmasters/ethiopian/masters/21198-zz001d7xt8_773033_master.tif","Ms. 8_64","68","Page 64","","","pd","","gez","","Magical prayer|~|ጸሎት በእንተ ህማመ ዓይነ ጥላ ወዓይነ ወርቅ","Prayer against the Disease of Ayena Ṭelā and wa- Ayena Warek","Prayer, Qedāsé","Ethiopia","20th c.","1900/1999","1 Page","120 mm x 94 mm","Vellum","","Prayer against the evil spirit who causes eye disease  ጸሎት በእንተ ህማመ ዓይነ ጥላ ወዓይነ ወርቅ ; በስመ፡ አብ ፡ወወልድ፡ ወመንፈስ፡ ቅዱስ፡ ፩፡ አምላክ፡ ጸሎት፡ በእንተ ፡ሕማመ፡ ዓይነ፡ እንተ፡ ሕማመ፡ ዓይነ፡ ጥላ፡ ወዓይነ ፡ወርቅ፡ ወማዕሠሮሙ፡ ለአጋንንት ; ፃዑ ፡መናፍስተ ፡ርኩሳን፡ በስሙ፡ ለእግዚእነ፡ ኢየሱስ ክርስቶስ፡ አድኅኖ ፡ወፈውሶ፡ ለገ፡ ፈቃደ ፡እግዚእ፡ ለዓ፡ ዓለ፡ አሜን፡፡","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d7xt8",""
"Ethiopic Manuscripts","ark:/21198/zz001d6180","ark:/21198/zz001d7xvs","Page","","","Masters/dlmasters/ethiopian/masters/21198-zz001d7xvs_773038_master.tif","Ms. 8_65","69","Page 65","","","pd","","gez","","ጸሎት በእንተ ህማመ ዓይነ ጥላ ወዓይነ ወርቅ|~|Magical prayer","Prayer against the Disease of Ayena Ṭelā and wa- Ayena Warek","Prayer, Qedāsé","Ethiopia","20th c.","1900/1999","1 Page","120 mm x 94 mm","Vellum","","Prayer against the evil spirit who causes eye disease  ጸሎት በእንተ ህማመ ዓይነ ጥላ ወዓይነ ወርቅ ; በስመ፡ አብ ፡ወወልድ፡ ወመንፈስ፡ ቅዱስ፡ ፩፡ አምላክ፡ ጸሎት፡ በእንተ ፡ሕማመ፡ ዓይነ፡ እንተ፡ ሕማመ፡ ዓይነ፡ ጥላ፡ ወዓይነ ፡ወርቅ፡ ወማዕሠሮሙ፡ ለአጋንንት ; ፃዑ ፡መናፍስተ ፡ርኩሳን፡ በስሙ፡ ለእግዚእነ፡ ኢየሱስ ክርስቶስ፡ አድኅኖ ፡ወፈውሶ፡ ለገ፡ ፈቃደ ፡እግዚእ፡ ለዓ፡ ዓለ፡ አሜን፡፡","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d7xvs",""
"Ethiopic Manuscripts","ark:/21198/zz001d6180","ark:/21198/zz001d7xw9","Page","","","Masters/dlmasters/ethiopian/masters/21198-zz001d7xw9_773042_master.tif","Ms. 8_66","70","Page 66","","","pd","","gez","","","","","Ethiopia","20th c.","1900/1999","1 Page","120 mm x 94 mm","Vellum","","Blank page.","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d7xw9",""
"Ethiopic Manuscripts","ark:/21198/zz001d6180","ark:/21198/zz001d7xxt","Page","","","Masters/dlmasters/ethiopian/masters/21198-zz001d7xxt_773046_master.tif","Ms. 8_67","71","Page 67","","","pd","","gez","","","","","Ethiopia","20th c.","1900/1999","1 Page","120 mm x 94 mm","Vellum","","Blank page.","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d7xxt",""
"Ethiopic Manuscripts","ark:/21198/zz001d6180","ark:/21198/zz001d7xzb","Page","","","Masters/dlmasters/ethiopian/masters/21198-zz001d7xzb_773057_master.tif","Ms. 8_68","72","Page 68","","","pd","","gez","","","","","Ethiopia","20th c.","1900/1999","1 Page","120 mm x 94 mm","Vellum","","Blank page.","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d7xzb",""
"Ethiopic Manuscripts","ark:/21198/zz001d6180","ark:/21198/zz001d7z0b","Page","","","Masters/dlmasters/ethiopian/masters/21198-zz001d7z0b_773066_master.tif","Ms. 8_69","73","Page 69","","","pd","","gez","","","","","Ethiopia","20th c.","1900/1999","1 Page","120 mm x 94 mm","Vellum","","Blank page.","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d7z0b",""
"Ethiopic Manuscripts","ark:/21198/zz001d6180","ark:/21198/zz001d7z1v","Page","","","Masters/dlmasters/ethiopian/masters/21198-zz001d7z1v_773081_master.tif","Ms. 8_70","74","Page 70","","","pd","","gez","","","","","Ethiopia","20th c.","1900/1999","1 Page","120 mm x 94 mm","Vellum","","Blank page.","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d7z1v",""
"Ethiopic Manuscripts","ark:/21198/zz001d6180","ark:/21198/zz001d7z2c","Page","","","Masters/dlmasters/ethiopian/masters/21198-zz001d7z2c_773086_master.tif","Ms. 8_71","75","Page 71","","","pd","","gez","","","","","Ethiopia","20th c.","1900/1999","1 Page","120 mm x 94 mm","Vellum","","Blank page.","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d7z2c",""
"Ethiopic Manuscripts","ark:/21198/zz001d6180","ark:/21198/zz001d7z3w","Page","","","Masters/dlmasters/ethiopian/masters/21198-zz001d7z3w_773089_master.tif","Ms. 8_72","76","Page 72","","","pd","","gez","","","","","Ethiopia","20th c.","1900/1999","1 Page","120 mm x 94 mm","Vellum","","Blank page.","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d7z3w",""
"Ethiopic Manuscripts","ark:/21198/zz001d6180","ark:/21198/zz001d7z4d","Page","","","Masters/dlmasters/ethiopian/masters/21198-zz001d7z4d_773096_master.tif","Ms. 8_73","77","Page 73","","","pd","","gez","","","","","Ethiopia","20th c.","1900/1999","1 Page","120 mm x 94 mm","Vellum","","Blank page.","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d7z4d",""
"Ethiopic Manuscripts","ark:/21198/zz001d6180","ark:/21198/zz001d7z5x","Page","","","Masters/dlmasters/ethiopian/masters/21198-zz001d7z5x_773105_master.tif","Ms. 8_74","78","Page 74","","","pd","","gez","","","","","Ethiopia","20th c.","1900/1999","1 Page","120 mm x 94 mm","Vellum","","Blank page.","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d7z5x",""
"Ethiopic Manuscripts","ark:/21198/zz001d6180","ark:/21198/zz001d7z6f","Page","","","Masters/dlmasters/ethiopian/masters/21198-zz001d7z6f_773112_master.tif","Ms. 8_75","79","Page 75","","","pd","","gez","","ማሕሌተ ጽጌ|~|Maheleta Sege (Song of Sege (Mary)","Canticles of the Flower (Mary)","Prayer, Qedāsé","Ethiopia","20th c.","1900/1999","1 Page","120 mm x 94 mm","Vellum","","Maheleta Sege (Song of Sege (Mary) ማኅሌተ ጽጌ ; በስመ ፡እግዚአብሔር፡ ሕያው፡ በልሳነ ፡ኲሎ፡ ፍጡር፡ ዘይትነበብ፡ ወበስምኪ፡ ድንግል ፡ወላዲተ፡ አምላክ፡ ክቡር፡ ማኅሌተ፡ ጽጌ፡ ወጠንኩ፡ በቃለ፡ ሐዋዝ፡ መዝሙር፡ ማርያ፡ ድንግል፡ ንግሥተ፡ ሰማያት፡ ወምድር ፡አምጣነ፡ ይጥዕም፡ ውዳሴኪ ፡እመዓር፡ ወሦከር፡፡ ; ስብሐት፡ ለኪ፡ ማርያም፡ በጽጌ ፡መላእክት፡ትጉሃን፡ ስብሐት ፡ለኪ ፡ማርያም፡ በጽጌ፡ ነቢያት፡ ወሐዋርያት፡ ስብሐት፡ ለኪ ፡ማርያም፡ በጽጌ ፡ሰማዕታት፡ ወጻድቃን ፡ ስብሐት፡ ለኪ፡ ማርያም፡ በጽጌ፡ ተአምር፡  ወይን፡ ወበተአምርኪ፡ ወይን፡ ይትፌሣሕ፡ ኅዙን፡፡ ኦ ፡እግዝእትየ፡ ማርያም፡ ዕቀብኒ ፡እመከራ፡ ሥጋ ፡ወነፍስ፡ ሊተ፡ ለገብርኪ፡ ወልደ ፡ማርያም፡ ምስለ ጸሐፊሁ፡ ሀብተ ፡ማርያም፡ ለዓለመ፡ ዓለም፡ አሜን፡፡","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d7z6f",""
"Ethiopic Manuscripts","ark:/21198/zz001d6180","ark:/21198/zz001d7z7z","Page","","","Masters/dlmasters/ethiopian/masters/21198-zz001d7z7z_773120_master.tif","Ms. 8_76","80","Page 76","","","pd","","gez","","Maheleta Sege (Song of Sege (Mary)|~|ማሕሌተ ጽጌ","Canticles of the Flower (Mary)","Prayer, Qedāsé","Ethiopia","20th c.","1900/1999","1 Page","120 mm x 94 mm","Vellum","","Maheleta Sege (Song of Sege (Mary) ማኅሌተ ጽጌ ; በስመ ፡እግዚአብሔር፡ ሕያው፡ በልሳነ ፡ኲሎ፡ ፍጡር፡ ዘይትነበብ፡ ወበስምኪ፡ ድንግል ፡ወላዲተ፡ አምላክ፡ ክቡር፡ ማኅሌተ፡ ጽጌ፡ ወጠንኩ፡ በቃለ፡ ሐዋዝ፡ መዝሙር፡ ማርያ፡ ድንግል፡ ንግሥተ፡ ሰማያት፡ ወምድር ፡አምጣነ፡ ይጥዕም፡ ውዳሴኪ ፡እመዓር፡ ወሦከር፡፡ ; ስብሐት፡ ለኪ፡ ማርያም፡ በጽጌ ፡መላእክት፡ትጉሃን፡ ስብሐት ፡ለኪ ፡ማርያም፡ በጽጌ፡ ነቢያት፡ ወሐዋርያት፡ ስብሐት፡ ለኪ ፡ማርያም፡ በጽጌ ፡ሰማዕታት፡ ወጻድቃን ፡ ስብሐት፡ ለኪ፡ ማርያም፡ በጽጌ፡ ተአምር፡  ወይን፡ ወበተአምርኪ፡ ወይን፡ ይትፌሣሕ፡ ኅዙን፡፡ ኦ ፡እግዝእትየ፡ ማርያም፡ ዕቀብኒ ፡እመከራ፡ ሥጋ ፡ወነፍስ፡ ሊተ፡ ለገብርኪ፡ ወልደ ፡ማርያም፡ ምስለ ጸሐፊሁ፡ ሀብተ ፡ማርያም፡ ለዓለመ፡ ዓለም፡ አሜን፡፡","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d7z7z",""
"Ethiopic Manuscripts","ark:/21198/zz001d6180","ark:/21198/zz001d7z8g","Page","","","Masters/dlmasters/ethiopian/masters/21198-zz001d7z8g_773125_master.tif","Ms. 8_77","81","Page 77","","","pd","","gez","","ማሕሌተ ጽጌ|~|Maheleta Sege (Song of Sege (Mary)","Canticles of the Flower (Mary)","Prayer, Qedāsé","Ethiopia","20th c.","1900/1999","1 Page","120 mm x 94 mm","Vellum","","Maheleta Sege (Song of Sege (Mary) ማኅሌተ ጽጌ ; በስመ ፡እግዚአብሔር፡ ሕያው፡ በልሳነ ፡ኲሎ፡ ፍጡር፡ ዘይትነበብ፡ ወበስምኪ፡ ድንግል ፡ወላዲተ፡ አምላክ፡ ክቡር፡ ማኅሌተ፡ ጽጌ፡ ወጠንኩ፡ በቃለ፡ ሐዋዝ፡ መዝሙር፡ ማርያ፡ ድንግል፡ ንግሥተ፡ ሰማያት፡ ወምድር ፡አምጣነ፡ ይጥዕም፡ ውዳሴኪ ፡እመዓር፡ ወሦከር፡፡ ; ስብሐት፡ ለኪ፡ ማርያም፡ በጽጌ ፡መላእክት፡ትጉሃን፡ ስብሐት ፡ለኪ ፡ማርያም፡ በጽጌ፡ ነቢያት፡ ወሐዋርያት፡ ስብሐት፡ ለኪ ፡ማርያም፡ በጽጌ ፡ሰማዕታት፡ ወጻድቃን ፡ ስብሐት፡ ለኪ፡ ማርያም፡ በጽጌ፡ ተአምር፡  ወይን፡ ወበተአምርኪ፡ ወይን፡ ይትፌሣሕ፡ ኅዙን፡፡ ኦ ፡እግዝእትየ፡ ማርያም፡ ዕቀብኒ ፡እመከራ፡ ሥጋ ፡ወነፍስ፡ ሊተ፡ ለገብርኪ፡ ወልደ ፡ማርያም፡ ምስለ ጸሐፊሁ፡ ሀብተ ፡ማርያም፡ ለዓለመ፡ ዓለም፡ አሜን፡፡","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d7z8g",""
"Ethiopic Manuscripts","ark:/21198/zz001d6180","ark:/21198/zz001d7z90","Page","","","Masters/dlmasters/ethiopian/masters/21198-zz001d7z90_773132_master.tif","Ms. 8_78","82","Page 78","","","pd","","gez","","ማሕሌተ ጽጌ|~|Maheleta Sege (Song of Sege (Mary)","Canticles of the Flower (Mary)","Prayer, Qedāsé","Ethiopia","20th c.","1900/1999","1 Page","120 mm x 94 mm","Vellum","","Maheleta Sege (Song of Sege (Mary) ማኅሌተ ጽጌ ; በስመ ፡እግዚአብሔር፡ ሕያው፡ በልሳነ ፡ኲሎ፡ ፍጡር፡ ዘይትነበብ፡ ወበስምኪ፡ ድንግል ፡ወላዲተ፡ አምላክ፡ ክቡር፡ ማኅሌተ፡ ጽጌ፡ ወጠንኩ፡ በቃለ፡ ሐዋዝ፡ መዝሙር፡ ማርያ፡ ድንግል፡ ንግሥተ፡ ሰማያት፡ ወምድር ፡አምጣነ፡ ይጥዕም፡ ውዳሴኪ ፡እመዓር፡ ወሦከር፡፡ ; ስብሐት፡ ለኪ፡ ማርያም፡ በጽጌ ፡መላእክት፡ትጉሃን፡ ስብሐት ፡ለኪ ፡ማርያም፡ በጽጌ፡ ነቢያት፡ ወሐዋርያት፡ ስብሐት፡ ለኪ ፡ማርያም፡ በጽጌ ፡ሰማዕታት፡ ወጻድቃን ፡ ስብሐት፡ ለኪ፡ ማርያም፡ በጽጌ፡ ተአምር፡  ወይን፡ ወበተአምርኪ፡ ወይን፡ ይትፌሣሕ፡ ኅዙን፡፡ ኦ ፡እግዝእትየ፡ ማርያም፡ ዕቀብኒ ፡እመከራ፡ ሥጋ ፡ወነፍስ፡ ሊተ፡ ለገብርኪ፡ ወልደ ፡ማርያም፡ ምስለ ጸሐፊሁ፡ ሀብተ ፡ማርያም፡ ለዓለመ፡ ዓለም፡ አሜን፡፡","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d7z90",""
"Ethiopic Manuscripts","ark:/21198/zz001d6180","ark:/21198/zz001d7zbh","Page","","","Masters/dlmasters/ethiopian/masters/21198-zz001d7zbh_773138_master.tif","Ms. 8_79","83","Page 79","","","pd","","gez","","ማሕሌተ ጽጌ|~|Maheleta Sege (Song of Sege (Mary)","Canticles of the Flower (Mary)","Prayer, Qedāsé","Ethiopia","20th c.","1900/1999","1 Page","120 mm x 94 mm","Vellum","","Maheleta Sege (Song of Sege (Mary) ማኅሌተ ጽጌ ; በስመ ፡እግዚአብሔር፡ ሕያው፡ በልሳነ ፡ኲሎ፡ ፍጡር፡ ዘይትነበብ፡ ወበስምኪ፡ ድንግል ፡ወላዲተ፡ አምላክ፡ ክቡር፡ ማኅሌተ፡ ጽጌ፡ ወጠንኩ፡ በቃለ፡ ሐዋዝ፡ መዝሙር፡ ማርያ፡ ድንግል፡ ንግሥተ፡ ሰማያት፡ ወምድር ፡አምጣነ፡ ይጥዕም፡ ውዳሴኪ ፡እመዓር፡ ወሦከር፡፡ ; ስብሐት፡ ለኪ፡ ማርያም፡ በጽጌ ፡መላእክት፡ትጉሃን፡ ስብሐት ፡ለኪ ፡ማርያም፡ በጽጌ፡ ነቢያት፡ ወሐዋርያት፡ ስብሐት፡ ለኪ ፡ማርያም፡ በጽጌ ፡ሰማዕታት፡ ወጻድቃን ፡ ስብሐት፡ ለኪ፡ ማርያም፡ በጽጌ፡ ተአምር፡  ወይን፡ ወበተአምርኪ፡ ወይን፡ ይትፌሣሕ፡ ኅዙን፡፡ ኦ ፡እግዝእትየ፡ ማርያም፡ ዕቀብኒ ፡እመከራ፡ ሥጋ ፡ወነፍስ፡ ሊተ፡ ለገብርኪ፡ ወልደ ፡ማርያም፡ ምስለ ጸሐፊሁ፡ ሀብተ ፡ማርያም፡ ለዓለመ፡ ዓለም፡ አሜን፡፡","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d7zbh",""
"Ethiopic Manuscripts","ark:/21198/zz001d6180","ark:/21198/zz001d7zc1","Page","","","Masters/dlmasters/ethiopian/masters/21198-zz001d7zc1_773147_master.tif","Ms. 8_80","84","Page 80","","","pd","","gez","","ማሕሌተ ጽጌ|~|Maheleta Sege (Song of Sege (Mary)","Canticles of the Flower (Mary)","Prayer, Qedāsé","Ethiopia","20th c.","1900/1999","1 Page","120 mm x 94 mm","Vellum","","Blank page.","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d7zc1",""
"Ethiopic Manuscripts","ark:/21198/zz001d6180","ark:/21198/zz001d7zdj","Page","","","Masters/dlmasters/ethiopian/masters/21198-zz001d7zdj_773155_master.tif","Ms. 8_81","85","Page 81","","","pd","","gez","","Maheleta Sege (Song of Sege (Mary)|~|ማሕሌተ ጽጌ","Canticles of the Flower (Mary)","Prayer, Qedāsé","Ethiopia","20th c.","1900/1999","1 Page","120 mm x 94 mm","Vellum","","Maheleta Sege (Song of Sege (Mary) ማኅሌተ ጽጌ ; በስመ ፡እግዚአብሔር፡ ሕያው፡ በልሳነ ፡ኲሎ፡ ፍጡር፡ ዘይትነበብ፡ ወበስምኪ፡ ድንግል ፡ወላዲተ፡ አምላክ፡ ክቡር፡ ማኅሌተ፡ ጽጌ፡ ወጠንኩ፡ በቃለ፡ ሐዋዝ፡ መዝሙር፡ ማርያ፡ ድንግል፡ ንግሥተ፡ ሰማያት፡ ወምድር ፡አምጣነ፡ ይጥዕም፡ ውዳሴኪ ፡እመዓር፡ ወሦከር፡፡ ; ስብሐት፡ ለኪ፡ ማርያም፡ በጽጌ ፡መላእክት፡ትጉሃን፡ ስብሐት ፡ለኪ ፡ማርያም፡ በጽጌ፡ ነቢያት፡ ወሐዋርያት፡ ስብሐት፡ ለኪ ፡ማርያም፡ በጽጌ ፡ሰማዕታት፡ ወጻድቃን ፡ ስብሐት፡ ለኪ፡ ማርያም፡ በጽጌ፡ ተአምር፡  ወይን፡ ወበተአምርኪ፡ ወይን፡ ይትፌሣሕ፡ ኅዙን፡፡ ኦ ፡እግዝእትየ፡ ማርያም፡ ዕቀብኒ ፡እመከራ፡ ሥጋ ፡ወነፍስ፡ ሊተ፡ ለገብርኪ፡ ወልደ ፡ማርያም፡ ምስለ ጸሐፊሁ፡ ሀብተ ፡ማርያም፡ ለዓለመ፡ ዓለም፡ አሜን፡፡","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d7zdj",""
"Ethiopic Manuscripts","ark:/21198/zz001d6180","ark:/21198/zz001d7zf2","Page","","","Masters/dlmasters/ethiopian/masters/21198-zz001d7zf2_773159_master.tif","Ms. 8_82","86","Page 82","","","pd","","gez","","ማሕሌተ ጽጌ|~|Maheleta Sege (Song of Sege (Mary)","Canticles of the Flower (Mary)","Prayer, Qedāsé","Ethiopia","20th c.","1900/1999","1 Page","120 mm x 94 mm","Vellum","","Maheleta Sege (Song of Sege (Mary) ማኅሌተ ጽጌ ; በስመ ፡እግዚአብሔር፡ ሕያው፡ በልሳነ ፡ኲሎ፡ ፍጡር፡ ዘይትነበብ፡ ወበስምኪ፡ ድንግል ፡ወላዲተ፡ አምላክ፡ ክቡር፡ ማኅሌተ፡ ጽጌ፡ ወጠንኩ፡ በቃለ፡ ሐዋዝ፡ መዝሙር፡ ማርያ፡ ድንግል፡ ንግሥተ፡ ሰማያት፡ ወምድር ፡አምጣነ፡ ይጥዕም፡ ውዳሴኪ ፡እመዓር፡ ወሦከር፡፡ ; ስብሐት፡ ለኪ፡ ማርያም፡ በጽጌ ፡መላእክት፡ትጉሃን፡ ስብሐት ፡ለኪ ፡ማርያም፡ በጽጌ፡ ነቢያት፡ ወሐዋርያት፡ ስብሐት፡ ለኪ ፡ማርያም፡ በጽጌ ፡ሰማዕታት፡ ወጻድቃን ፡ ስብሐት፡ ለኪ፡ ማርያም፡ በጽጌ፡ ተአምር፡  ወይን፡ ወበተአምርኪ፡ ወይን፡ ይትፌሣሕ፡ ኅዙን፡፡ ኦ ፡እግዝእትየ፡ ማርያም፡ ዕቀብኒ ፡እመከራ፡ ሥጋ ፡ወነፍስ፡ ሊተ፡ ለገብርኪ፡ ወልደ ፡ማርያም፡ ምስለ ጸሐፊሁ፡ ሀብተ ፡ማርያም፡ ለዓለመ፡ ዓለም፡ አሜን፡፡","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d7zf2",""
"Ethiopic Manuscripts","ark:/21198/zz001d6180","ark:/21198/zz001d7zgk","Page","","","Masters/dlmasters/ethiopian/masters/21198-zz001d7zgk_773165_master.tif","Ms. 8_83","87","Page 83","","","pd","","gez","","ማሕሌተ ጽጌ|~|Maheleta Sege (Song of Sege (Mary)","Canticles of the Flower (Mary)","Prayer, Qedāsé","Ethiopia","20th c.","1900/1999","1 Page","120 mm x 94 mm","Vellum","","Maheleta Sege (Song of Sege (Mary) ማኅሌተ ጽጌ ; በስመ ፡እግዚአብሔር፡ ሕያው፡ በልሳነ ፡ኲሎ፡ ፍጡር፡ ዘይትነበብ፡ ወበስምኪ፡ ድንግል ፡ወላዲተ፡ አምላክ፡ ክቡር፡ ማኅሌተ፡ ጽጌ፡ ወጠንኩ፡ በቃለ፡ ሐዋዝ፡ መዝሙር፡ ማርያ፡ ድንግል፡ ንግሥተ፡ ሰማያት፡ ወምድር ፡አምጣነ፡ ይጥዕም፡ ውዳሴኪ ፡እመዓር፡ ወሦከር፡፡ ; ስብሐት፡ ለኪ፡ ማርያም፡ በጽጌ ፡መላእክት፡ትጉሃን፡ ስብሐት ፡ለኪ ፡ማርያም፡ በጽጌ፡ ነቢያት፡ ወሐዋርያት፡ ስብሐት፡ ለኪ ፡ማርያም፡ በጽጌ ፡ሰማዕታት፡ ወጻድቃን ፡ ስብሐት፡ ለኪ፡ ማርያም፡ በጽጌ፡ ተአምር፡  ወይን፡ ወበተአምርኪ፡ ወይን፡ ይትፌሣሕ፡ ኅዙን፡፡ ኦ ፡እግዝእትየ፡ ማርያም፡ ዕቀብኒ ፡እመከራ፡ ሥጋ ፡ወነፍስ፡ ሊተ፡ ለገብርኪ፡ ወልደ ፡ማርያም፡ ምስለ ጸሐፊሁ፡ ሀብተ ፡ማርያም፡ ለዓለመ፡ ዓለም፡ አሜን፡፡","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d7zgk",""
"Ethiopic Manuscripts","ark:/21198/zz001d6180","ark:/21198/zz001d7zh3","Page","","","Masters/dlmasters/ethiopian/masters/21198-zz001d7zh3_773169_master.tif","Ms. 8_84","88","Page 84","","","pd","","gez","","ማሕሌተ ጽጌ|~|Maheleta Sege (Song of Sege (Mary)","Canticles of the Flower (Mary)","Prayer, Qedāsé","Ethiopia","20th c.","1900/1999","1 Page","120 mm x 94 mm","Vellum","","Maheleta Sege (Song of Sege (Mary) ማኅሌተ ጽጌ ; በስመ ፡እግዚአብሔር፡ ሕያው፡ በልሳነ ፡ኲሎ፡ ፍጡር፡ ዘይትነበብ፡ ወበስምኪ፡ ድንግል ፡ወላዲተ፡ አምላክ፡ ክቡር፡ ማኅሌተ፡ ጽጌ፡ ወጠንኩ፡ በቃለ፡ ሐዋዝ፡ መዝሙር፡ ማርያ፡ ድንግል፡ ንግሥተ፡ ሰማያት፡ ወምድር ፡አምጣነ፡ ይጥዕም፡ ውዳሴኪ ፡እመዓር፡ ወሦከር፡፡ ; ስብሐት፡ ለኪ፡ ማርያም፡ በጽጌ ፡መላእክት፡ትጉሃን፡ ስብሐት ፡ለኪ ፡ማርያም፡ በጽጌ፡ ነቢያት፡ ወሐዋርያት፡ ስብሐት፡ ለኪ ፡ማርያም፡ በጽጌ ፡ሰማዕታት፡ ወጻድቃን ፡ ስብሐት፡ ለኪ፡ ማርያም፡ በጽጌ፡ ተአምር፡  ወይን፡ ወበተአምርኪ፡ ወይን፡ ይትፌሣሕ፡ ኅዙን፡፡ ኦ ፡እግዝእትየ፡ ማርያም፡ ዕቀብኒ ፡እመከራ፡ ሥጋ ፡ወነፍስ፡ ሊተ፡ ለገብርኪ፡ ወልደ ፡ማርያም፡ ምስለ ጸሐፊሁ፡ ሀብተ ፡ማርያም፡ ለዓለመ፡ ዓለም፡ አሜን፡፡","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d7zh3",""
