"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","viewingHint","Visibility","Delete in Title","Thumbnail","Rights.copyrightStatus","Name.repository","Title","Alt ID.local","Alt ID.collection","Description.abstract","IIIF Manifest URL"
"Tom Leung Collection","ark:/21198/zz00231cmd","ark:/21198/zz002311s5","2","Completed","Work","","","","individuals","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00231cmd%2Fhx88gq1w","unknown","Richard C. Rudolph East Asian Library","Letter To: 夫子大人(?) From: 孟(稟)","184","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00231cmd/manifest"
"Tom Leung Collection","ark:/21198/zz00231f02","ark:/21198/zz002311s5","2","Completed","Work","","","","individuals","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00231f02%2F2137kf40","unknown","Richard C. Rudolph East Asian Library","Letter To: 張孝 From: 曹毅","188","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00231f02/manifest"
"Tom Leung Collection","ark:/21198/zz00231f3m","ark:/21198/zz002311s5","2","Completed","Work","","","","individuals","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00231f3m%2Fx726672d","unknown","Richard C. Rudolph East Asian Library","Letter To: 張孝 From: 鄭壽民 Re: 留學, 購書","191","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00231f3m/manifest"
"Tom Leung Collection","ark:/21198/zz00231f65","ark:/21198/zz002311s5","2","Completed","Work","","","","individuals","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00231f65%2Fwd85z728","unknown","Richard C. Rudolph East Asian Library","Letter To: 張孝 From: 鄭壽民","194","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00231f65/manifest"
"Tom Leung Collection","ark:/21198/zz00231f7p","ark:/21198/zz002311s5","2","Completed","Work","","","","individuals","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00231f7p%2F3b90k934","unknown","Richard C. Rudolph East Asian Library","Letter To: 張孝 From: 劉楨麟 Re: 黨務, 留學","195","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00231f7p/manifest"
"Tom Leung Collection","ark:/21198/zz00231fcr","ark:/21198/zz002311s5","2","Completed","Work","","","","individuals","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00231fcr%2Fj178tg6r","unknown","Richard C. Rudolph East Asian Library","Letter To: 忠孝 From: 江順德 Re: 游說合股開礦","199","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00231fcr/manifest"
"Tom Leung Collection","ark:/21198/zz00231fg9","ark:/21198/zz002311s5","2","Completed","Work","","","","individuals","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00231fg9%2F9k39533g","unknown","Richard C. Rudolph East Asian Library","Letter To: 張孝 From: 何焱森 Re: 查詢學功課表","202","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00231fg9/manifest"
"Tom Leung Collection","ark:/21198/zz00231fkv","ark:/21198/zz002311s5","2","Completed","Work","","","","individuals","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00231fkv%2F0q09j27w","unknown","Richard C. Rudolph East Asian Library","Letter To: 少張姻兄 From: 姻弟伍學宣","205","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00231fkv/manifest"
"Tom Leung Collection","ark:/21198/zz00231fmc","ark:/21198/zz002311s5","2","Completed","Work","","","","individuals","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00231fmc%2Fk870bp38","unknown","Richard C. Rudolph East Asian Library","Letter To: 少璋(研長) From: 胡晴堐 Re: 詢留學美洲","206","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00231fmc/manifest"
"Tom Leung Collection","ark:/21198/zz00231ftg","ark:/21198/zz002311s5","2","Completed","Work","","","","individuals","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00231ftg%2Fw072bz1v","unknown","Richard C. Rudolph East Asian Library","Letter To: 張孝 From: 浩謙 Re: 辦學籌款","231","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00231ftg/manifest"
"Tom Leung Collection","ark:/21198/zz00231fv0","ark:/21198/zz002311s5","2","Completed","Work","","","","individuals","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00231fv0%2F1v66380v","unknown","Richard C. Rudolph East Asian Library","Letter To: 章孝 From: 黎榮耀 Re: 捐款","232","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00231fv0/manifest"
"Tom Leung Collection","ark:/21198/zz00231fx1","ark:/21198/zz002311s5","2","Completed","Work","","","","individuals","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00231fx1%2F16520b6g","unknown","Richard C. Rudolph East Asian Library","Letter To: 張孝(弟) From: 富 Re: financial","234","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00231fx1/manifest"
"Tom Leung Collection","ark:/21198/zz00231fzj","ark:/21198/zz002311s5","2","Completed","Work","","","","individuals","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00231fzj%2Fj482cm7n","unknown","Richard C. Rudolph East Asian Library","Letter To: 張孝(五弟) From: 富園 Re: business","235","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00231fzj/manifest"
"Tom Leung Collection","ark:/21198/zz00231g0j","ark:/21198/zz002311s5","2","Completed","Work","","","","individuals","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00231g0j%2Fd685v62c","unknown","Richard C. Rudolph East Asian Library","Letter To: 張孝(弟) From: 蒙富 Re: 中醫術心得","236","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00231g0j/manifest"
"Tom Leung Collection","ark:/21198/zz00231g12","ark:/21198/zz002311s5","2","Completed","Work","","","","individuals","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00231g12%2Fxq781w9k","unknown","Richard C. Rudolph East Asian Library","Letter To: 五叔父(張孝?) From: 姪(珹) Re: business","237","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00231g12/manifest"
"Tom Leung Collection","ark:/21198/zz00231g2k","ark:/21198/zz002311s5","2","Completed","Work","","","","individuals","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00231g2k%2F0h55hg45","unknown","Richard C. Rudolph East Asian Library","Letter To: 叔重(仁兄) From: 李翰芬","238","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00231g2k/manifest"
"Tom Leung Collection","ark:/21198/zz00231g33","ark:/21198/zz002311s5","2","Completed","Work","","","","individuals","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00231g33%2Fzw92q998","unknown","Richard C. Rudolph East Asian Library","Letter To: 張孝 From: 鴻鈞","239","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00231g33/manifest"
"Tom Leung Collection","ark:/21198/zz00231g4m","ark:/21198/zz002311s5","2","Completed","Work","","","","individuals","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00231g4m%2Fjk158211","unknown","Richard C. Rudolph East Asian Library","對聯 about 10副, 婚禮用 崇頤擬","240","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00231g4m/manifest"
"Tom Leung Collection","ark:/21198/zz00231g54","ark:/21198/zz002311s5","2","Completed","Work","","","","individuals","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00231g54%2F6h71wc8p","unknown","Richard C. Rudolph East Asian Library","Letter To: 少璋(硯兄) From: 燿祖","241","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00231g54/manifest"
"Tom Leung Collection","ark:/21198/zz00231g8p","ark:/21198/zz002311s5","2","Completed","Work","","","","individuals","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00231g8p%2Fbq74h99j","unknown","Richard C. Rudolph East Asian Library","Letter To: 丹如(王兄姻) From: 劉","244","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00231g8p/manifest"
"Tom Leung Collection","ark:/21198/zz00231gh9","ark:/21198/zz002311s5","2","Completed","Work","","","","individuals","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00231gh9%2Fhr22hr98","unknown","Richard C. Rudolph East Asian Library","Letter To: 南海先生 From: 朴容萬(韓人) Re: 感歎時局","251","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00231gh9/manifest"
"Tom Leung Collection","ark:/21198/zz00231gmv","ark:/21198/zz002311s5","2","Completed","Work","","","","individuals","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00231gmv%2F2z55wc75","unknown","Richard C. Rudolph East Asian Library","Letter To: 冰壺(賢姊) From: 詠霓 (歛衽) Re: 家事, 時事","254","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00231gmv/manifest"
"Tom Leung Collection","ark:/21198/zz00231gnc","ark:/21198/zz002311s5","2","Completed","Work","","","","individuals","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00231gnc%2Fvh967m4v","unknown","Richard C. Rudolph East Asian Library","Letter To: 張孝 (襟兄) From: 家本 in 吉林 Re:商務, 時事","255","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00231gnc/manifest"
"Tom Leung Collection","ark:/21198/zz00252xv1","ark:/21198/zz002311s5","2","Completed","Work","","","","individuals","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00252xv1%2F7d85gh50","unknown","Richard C. Rudolph East Asian Library","Letter To: 張孝(連襟) From: 何家本 Re: 家事, 商務","256","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00252xv1/manifest"
"Tom Leung Collection","ark:/21198/zz00252xwj","ark:/21198/zz002311s5","2","Completed","Work","","","","individuals","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00252xwj%2Fvj71kj8p","unknown","Richard C. Rudolph East Asian Library","Letter To: 張孝 From: 家本 Re: 商務 – 琼彩樓","257","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00252xwj/manifest"
"Tom Leung Collection","ark:/21198/zz00252xx2","ark:/21198/zz002311s5","2","Completed","Work","","","","individuals","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00252xx2%2Fnx988s6c","unknown","Richard C. Rudolph East Asian Library","Letter To: 三家姊(冰壺? ) From: 詠霓 Re: 琼彩樓","258","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00252xx2/manifest"
"Tom Leung Collection","ark:/21198/zz00252xzk","ark:/21198/zz002311s5","2","Completed","Work","","","","individuals","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00252xzk%2F8q85s99m","unknown","Richard C. Rudolph East Asian Library","Letter To: 張孝 From: 家本 Re: 琼彩樓拆股來美","259","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00252xzk/manifest"
"Tom Leung Collection","ark:/21198/zz00252z0k","ark:/21198/zz002311s5","2","Completed","Work","","","","individuals","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00252z0k%2F68072r6g","unknown","Richard C. Rudolph East Asian Library","Letter To: 張孝賢姪婿 From: (?) Re: financial: 琼彩樓","260","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00252z0k/manifest"
"Tom Leung Collection","ark:/21198/zz00252z13","ark:/21198/zz002311s5","2","Completed","Work","","","","individuals","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00252z13%2F0t20j79n","unknown","Richard C. Rudolph East Asian Library","Letter To: 張孝賢姪婿 From: 黃(啓應) Re: financial: 琼彩樓","261","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00252z13/manifest"
"Tom Leung Collection","ark:/21198/zz00252z4n","ark:/21198/zz002311s5","2","Completed","Work","","","","individuals","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00252z4n%2Fwg74sw0m","unknown","Richard C. Rudolph East Asian Library","Letter To: 張孝賢姪倩 From: 啓(?) Re: 捐款賑災","264","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00252z4n/manifest"
"Tom Leung Collection","ark:/21198/zz00252z55","ark:/21198/zz002311s5","2","Completed","Work","","","","individuals","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00252z55%2F6381hg6t","unknown","Richard C. Rudolph East Asian Library","Letter To: 張孝賢姪倩 From: 啓(?) Re: 家事, 商務","265","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00252z55/manifest"
"Tom Leung Collection","ark:/21198/zz00252z6p","ark:/21198/zz002311s5","2","Completed","Work","","","","individuals","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00252z6p%2Fz948g18j","unknown","Richard C. Rudolph East Asian Library","Letter To: 張孝賢姪婿 From: 啓(?) Re: 家事","266","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00252z6p/manifest"
"Tom Leung Collection","ark:/21198/zz00252z76","ark:/21198/zz002311s5","2","Completed","Work","","","","individuals","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00252z76%2F2d638h8j","unknown","Richard C. Rudolph East Asian Library","Letter To: 張孝賢姪婿 From: 啓(?)","267","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00252z76/manifest"
"Tom Leung Collection","ark:/21198/zz00252z97","ark:/21198/zz002311s5","2","Completed","Work","","","","individuals","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00252z97%2Fdd54kf6v","unknown","Richard C. Rudolph East Asian Library","Letter To: 三姊丈, 三家姐 From: 三妹 Re: 家事","269","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00252z97/manifest"
"Tom Leung Collection","ark:/21198/zz00252zds","ark:/21198/zz002311s5","2","Completed","Work","","","","individuals","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00252zds%2Fqh86f324","unknown","Richard C. Rudolph East Asian Library","Letter To: 張孝賢姪倩 From: 啓(?) Re: 琼彩樓, financial","272","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00252zds/manifest"
