"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","viewingHint","Text direction","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","Subject","Type.genre","Language","Name.editor","Name.engraver","Title","Relation.rectoVerso","Relation.PageNumber","Description.note","Source","Relation.isPartOf","Alt ID.local","Date.normalized","Publisher.publisherName","Format.extent","Publisher.placeOfOrigin","Date.publication","Format.dimensions","Description.tableOfContents","Alt ID.oclc","AltTitle.uniform","AltTitle.inscribed","Relation.hasPart","Name.printer","Name.illustrator","Rights.copyrightStatus","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Picart (Bernard) Collection","ark:/21198/zz000rshwf","ark:/21198/zz0009pff1","2","Completed","Page","picart/masters/21198-zz000rshwf-1-master.tif","","","135","","","text","","","","","","Page 065","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rshwf",""
"Picart (Bernard) Collection","ark:/21198/zz000rshxz","ark:/21198/zz0009pff1","2","Completed","Page","picart/masters/21198-zz000rshxz-1-master.tif","","","136","","","text","","","","","","Page 066","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rshxz",""
"Picart (Bernard) Collection","ark:/21198/zz000rshzg","ark:/21198/zz0009pff1","2","Completed","Page","picart/masters/21198-zz000rshzg-1-master.tif","","","137","","","text|~|still image","","","","","","table des chaptires i","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rshzg",""
"Picart (Bernard) Collection","ark:/21198/zz000rsj0g","ark:/21198/zz0009pff1","2","Completed","Page","picart/masters/21198-zz000rsj0g-1-master.tif","","","138","","","text|~|still image","","","","","","table des chaptires ii","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rsj0g",""
"Picart (Bernard) Collection","ark:/21198/zz000rsj10","ark:/21198/zz0009pff1","2","Completed","Page","picart/masters/21198-zz000rsj10-1-master.tif","","","139","","","text","","","","","","Page 067","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rsj10",""
"Picart (Bernard) Collection","ark:/21198/zz000rsj2h","ark:/21198/zz0009pff1","2","Completed","Page","picart/masters/21198-zz000rsj2h-1-master.tif","","","140","","","text","","","","","","Page 068","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rsj2h",""
"Picart (Bernard) Collection","ark:/21198/zz000rsj31","ark:/21198/zz0009pff1","2","Completed","Page","picart/masters/21198-zz000rsj31-1-master.tif","","","141","","","text|~|still image","","","","","","Page 069","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rsj31",""
"Picart (Bernard) Collection","ark:/21198/zz000rsj4j","ark:/21198/zz0009pff1","2","Completed","Page","picart/masters/21198-zz000rsj4j-1-master.tif","","","142","","","text","","","","","","Page 070","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rsj4j",""
"Picart (Bernard) Collection","ark:/21198/zz000rsj52","ark:/21198/zz0009pff1","2","Completed","Page","picart/masters/21198-zz000rsj52-1-master.tif","","","143","","","text","","","","","","Page 071 [image error]","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rsj52",""
"Picart (Bernard) Collection","ark:/21198/zz000rsj6k","ark:/21198/zz0009pff1","2","Completed","Page","picart/masters/21198-zz000rsj6k-1-master.tif","","","144","","","text","","","","","","Page 072","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000rsj6k",""
