"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","viewingHint","Text direction","Visibility","IIIF Range","Rights.copyrightStatus","Language","Rights","Type.typeOfResource","Subject","Name.composer","Alt ID.local","Title","AltTitle.other","Description.note","Date.creation","Format.extent","Alt ID.oclc","Date.normalized","Format.medium","Description.contents","Format.dimensions","Description.binding","Opac url","Relation.isPartOf","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Music Library Manuscripts","ark:/21198/zz002k0711","ark:/21198/zz002jkc36","5","Imported","Page","muslibmss/image/musicmss_027_023.tif","24","","","","","","","","copyrighted","","Y","","","","musicmss_027_023","musicmss_027_023","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k0711",""
"Music Library Manuscripts","ark:/21198/zz002k072j","ark:/21198/zz002jkc36","5","Imported","Page","muslibmss/image/musicmss_027_024.tif","25","","","","","","","","copyrighted","","Y","","","","musicmss_027_024","musicmss_027_024","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k072j",""
"Music Library Manuscripts","ark:/21198/zz002k0732","ark:/21198/zz002jkc36","5","Imported","Page","muslibmss/image/musicmss_027_025.tif","26","","","","","","","","copyrighted","","Y","","","","musicmss_027_025","musicmss_027_025","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k0732",""
"Music Library Manuscripts","ark:/21198/zz002k074k","ark:/21198/zz002jkc36","5","Imported","Page","muslibmss/image/musicmss_027_026.tif","27","","","","","","","","copyrighted","","Y","","","","musicmss_027_026","musicmss_027_026","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k074k",""
"Music Library Manuscripts","ark:/21198/zz002k0753","ark:/21198/zz002jkc36","5","Imported","Page","muslibmss/image/musicmss_027_027.tif","28","","","","","","","","copyrighted","","Y","","","","musicmss_027_027","musicmss_027_027","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k0753",""
"Music Library Manuscripts","ark:/21198/zz002k076m","ark:/21198/zz002jkc36","5","Imported","Page","muslibmss/image/musicmss_027_028.tif","29","","","","","","","","copyrighted","","Y","","","","musicmss_027_028","musicmss_027_028","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k076m",""
"Music Library Manuscripts","ark:/21198/zz002k0774","ark:/21198/zz002jkc36","5","Imported","Page","muslibmss/image/musicmss_027_029.tif","30","","","","","","","","copyrighted","","Y","","","","musicmss_027_029","musicmss_027_029","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k0774",""
"Music Library Manuscripts","ark:/21198/zz002k078n","ark:/21198/zz002jkc36","5","Imported","Page","muslibmss/image/musicmss_027_030.tif","31","","","","","","","","copyrighted","","Y","","","","musicmss_027_030","musicmss_027_030","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k078n",""
"Music Library Manuscripts","ark:/21198/zz002k0795","ark:/21198/zz002jkc36","5","Imported","Page","muslibmss/image/musicmss_027_031.tif","32","","","","","","","","copyrighted","","Y","","","","musicmss_027_031","musicmss_027_031","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k0795",""
"Music Library Manuscripts","ark:/21198/zz002k07bp","ark:/21198/zz002jkc36","5","Imported","Page","muslibmss/image/musicmss_027_032.tif","33","","","","","","","","copyrighted","","Y","","","","musicmss_027_032","musicmss_027_032","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k07bp",""
