Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,iiif_access_url,Type.typeOfResource,Rights.copyrightStatus,Language,Description.note,Date.normalized,Date.creation,Title,Alt ID.local
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcd35/97707w1n,ark:/21198/zz002gcd35,,,Page,satellite/image/Luoyang_Region_DS1111-1063AF017_17_c.tif,3,,,,,,,,,,Page 3,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcd35/hr56gk9m,ark:/21198/zz002gcd35,,,Page,satellite/image/Luoyang_Region_DS1111-1063AF017_17_b.tif,2,,,,,,,,,,Page 2,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcd4p/2n23tr3j,ark:/21198/zz002gcd4p,,,Page,satellite/image/Luoyang_Region_DS1111-1063AF019_19_c.tif,3,,,,,,,,,,Page 3,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcd4p/7p00dx3c,ark:/21198/zz002gcd4p,,,Page,satellite/image/Luoyang_Region_DS1111-1063AF019_19_b.tif,2,,,,,,,,,,Page 2,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcd4p/m594kw47,ark:/21198/zz002gcd4p,,,Page,satellite/image/Luoyang_Region_DS1111-1063AF019_19_a.tif,1,,,,,,,,,,Page 1,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcd4p/wz29kn1k,ark:/21198/zz002gcd4p,,,Page,satellite/image/Luoyang_Region_DS1111-1063AF019_19_d.tif,4,,,,,,,,,,Page 4,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcd56/18298t2h,ark:/21198/zz002gcd56,,,Page,satellite/image/Mangshan_DS1108-2135DA036_36_c.tif,3,,,,,,,,,,Page 3,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcd56/bn07x32j,ark:/21198/zz002gcd56,,,Page,satellite/image/Mangshan_DS1108-2135DA036_36_d.tif,4,,,,,,,,,,Page 4,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcd56/f872694q,ark:/21198/zz002gcd56,,,Page,satellite/image/Mangshan_DS1108-2135DA036_36_b.tif,2,,,,,,,,,,Page 2,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcd56/nr05db9r,ark:/21198/zz002gcd56,,,Page,satellite/image/Mangshan_DS1108-2135DA036_36_a.tif,1,,,,,,,,,,Page 1,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcd6q/ns552j8x,ark:/21198/zz002gcd6q,,,Page,satellite/image/Mengyin_Shandong_DS1115-2167DF041_41_a.tif,1,,,,,,,,,,Page 1,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcd6q/r5937v0z,ark:/21198/zz002gcd6q,,,Page,satellite/image/Mengyin_Shandong_DS1115-2167DF041_41_b.tif,2,,,,,,,,,,Page 2,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcd77/5f02tp69,ark:/21198/zz002gcd77,,,Page,satellite/image/Northern_Shanxi_DS1102-2135DA103_103_b.tif,2,,,,,,,,,,Page 2,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcd77/gm78v43k,ark:/21198/zz002gcd77,,,Page,satellite/image/Northern_Shanxi_DS1102-2135DA103_103_a.tif,1,,,,,,,,,,Page 1,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcd77/kw92c836,ark:/21198/zz002gcd77,,,Page,satellite/image/Northern_Shanxi_DS1102-2135DA103_103_c.tif,3,,,,,,,,,,Page 3,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcd77/nm59207h,ark:/21198/zz002gcd77,,,Page,satellite/image/Northern_Shanxi_DS1102-2135DA103_103_d.tif,4,,,,,,,,,,Page 4,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcd8r/0642s694,ark:/21198/zz002gcd8r,,,Page,satellite/image/Northern_Shanxi_DS1102-2135DA105_105_b.tif,2,,,,,,,,,,Page 2,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcd8r/bd38zs93,ark:/21198/zz002gcd8r,,,Page,satellite/image/Northern_Shanxi_DS1102-2135DA105_105_c.tif,3,,,,,,,,,,Page 3,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcd8r/g7569p4n,ark:/21198/zz002gcd8r,,,Page,satellite/image/Northern_Shanxi_DS1102-2135DA105_105_a.tif,1,,,,,,,,,,Page 1,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcd8r/j0434j9p,ark:/21198/zz002gcd8r,,,Page,satellite/image/Northern_Shanxi_DS1102-2135DA105_105_d.tif,4,,,,,,,,,,Page 4,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcd98/7q11ft4s,ark:/21198/zz002gcd98,,,Page,satellite/image/Northern_Shanxi_DS1102-2135DF096_96_b.tif,2,,,,,,,,,,Page 2,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcd98/8j90mn49,ark:/21198/zz002gcd98,,,Page,satellite/image/Northern_Shanxi_DS1102-2135DF096_96_d.tif,4,,,,,,,,,,Page 4,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcd98/9n54qv0w,ark:/21198/zz002gcd98,,,Page,satellite/image/Northern_Shanxi_DS1102-2135DF096_96_c.tif,3,,,,,,,,,,Page 3,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcd98/ck777w7g,ark:/21198/zz002gcd98,,,Page,satellite/image/Northern_Shanxi_DS1102-2135DF096_96_a.tif,1,,,,,,,,,,Page 1,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcdbs/4t669p1n,ark:/21198/zz002gcdbs,,,Page,satellite/image/Northern_Shanxi_DS1102-2135DF097_97_a.tif,1,,,,,,,,,,Page 1,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcdbs/50735x3c,ark:/21198/zz002gcdbs,,,Page,satellite/image/Northern_Shanxi_DS1102-2135DF097_97_c.tif,3,,,,,,,,,,Page 3,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcdbs/cq53kk5b,ark:/21198/zz002gcdbs,,,Page,satellite/image/Northern_Shanxi_DS1102-2135DF097_97_d.tif,4,,,,,,,,,,Page 4,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcdbs/rx489v7w,ark:/21198/zz002gcdbs,,,Page,satellite/image/Northern_Shanxi_DS1102-2135DF097_97_b.tif,2,,,,,,,,,,Page 2,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcdc9/73313z1f,ark:/21198/zz002gcdc9,,,Page,satellite/image/Northern_Shanxi_DS1102-2135DF098_98_c.tif,3,,,,,,,,,,Page 3,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcdc9/gf84jk35,ark:/21198/zz002gcdc9,,,Page,satellite/image/Northern_Shanxi_DS1102-2135DF098_98_b.tif,2,,,,,,,,,,Page 2,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcdc9/gn58zb41,ark:/21198/zz002gcdc9,,,Page,satellite/image/Northern_Shanxi_DS1102-2135DF098_98_a.tif,1,,,,,,,,,,Page 1,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcdc9/z846n893,ark:/21198/zz002gcdc9,,,Page,satellite/image/Northern_Shanxi_DS1102-2135DF098_98_d.tif,4,,,,,,,,,,Page 4,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcddt/7m65r862,ark:/21198/zz002gcddt,,,Page,satellite/image/Northern_Shanxi_DS1102-2135DF099_99_d.tif,4,,,,,,,,,,Page 4,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcddt/gw26j24c,ark:/21198/zz002gcddt,,,Page,satellite/image/Northern_Shanxi_DS1102-2135DF099_99_a.tif,1,,,,,,,,,,Page 1,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcddt/nq02ct6z,ark:/21198/zz002gcddt,,,Page,satellite/image/Northern_Shanxi_DS1102-2135DF099_99_b.tif,2,,,,,,,,,,Page 2,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcddt/qn51t154,ark:/21198/zz002gcddt,,,Page,satellite/image/Northern_Shanxi_DS1102-2135DF099_99_c.tif,3,,,,,,,,,,Page 3,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcdfb/1k69r337,ark:/21198/zz002gcdfb,,,Page,satellite/image/Northern_Shanxi_DS1102-2135DF100_100_c.tif,3,,,,,,,,,,Page 3,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcdfb/gf226d4n,ark:/21198/zz002gcdfb,,,Page,satellite/image/Northern_Shanxi_DS1102-2135DF100_100_d.tif,4,,,,,,,,,,Page 4,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcdfb/pb75wx0m,ark:/21198/zz002gcdfb,,,Page,satellite/image/Northern_Shanxi_DS1102-2135DF100_100_b.tif,2,,,,,,,,,,Page 2,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcdfb/vz51c442,ark:/21198/zz002gcdfb,,,Page,satellite/image/Northern_Shanxi_DS1102-2135DF100_100_a.tif,1,,,,,,,,,,Page 1,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcdgv/3469js3f,ark:/21198/zz002gcdgv,,,Page,satellite/image/Northern_Shanxi_DS1105-2183DA076_76_d.tif,4,,,,,,,,,,Page 4,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcdgv/6j06dd2n,ark:/21198/zz002gcdgv,,,Page,satellite/image/Northern_Shanxi_DS1105-2183DA076_76_a.tif,1,,,,,,,,,,Page 1,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcdgv/c222ns1x,ark:/21198/zz002gcdgv,,,Page,satellite/image/Northern_Shanxi_DS1105-2183DA076_76_c.tif,3,,,,,,,,,,Page 3,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcdgv/n207n374,ark:/21198/zz002gcdgv,,,Page,satellite/image/Northern_Shanxi_DS1105-2183DA076_76_b.tif,2,,,,,,,,,,Page 2,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcdhc/3s815t5c,ark:/21198/zz002gcdhc,,,Page,satellite/image/Northern_Shanxi_DS1105-2183DA077_77_c.tif,3,,,,,,,,,,Page 3,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcdhc/6f17t39z,ark:/21198/zz002gcdhc,,,Page,satellite/image/Northern_Shanxi_DS1105-2183DA077_77_b.tif,2,,,,,,,,,,Page 2,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcdhc/jk67kx7d,ark:/21198/zz002gcdhc,,,Page,satellite/image/Northern_Shanxi_DS1105-2183DA077_77_d.tif,4,,,,,,,,,,Page 4,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcdhc/sm25r49b,ark:/21198/zz002gcdhc,,,Page,satellite/image/Northern_Shanxi_DS1105-2183DA077_77_a.tif,1,,,,,,,,,,Page 1,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcdjw/cq68mm68,ark:/21198/zz002gcdjw,,,Page,satellite/image/Northern_Shanxi_DS1105-2183DA078_78_b.tif,2,,,,,,,,,,Page 2,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcdjw/nd099c52,ark:/21198/zz002gcdjw,,,Page,satellite/image/Northern_Shanxi_DS1105-2183DA078_78_a.tif,1,,,,,,,,,,Page 1,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcdjw/p767p80j,ark:/21198/zz002gcdjw,,,Page,satellite/image/Northern_Shanxi_DS1105-2183DA078_78_c.tif,3,,,,,,,,,,Page 3,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcdjw/td953p76,ark:/21198/zz002gcdjw,,,Page,satellite/image/Northern_Shanxi_DS1105-2183DA078_78_d.tif,4,,,,,,,,,,Page 4,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcdkd/0b792j35,ark:/21198/zz002gcdkd,,,Page,satellite/image/Northern_Shanxi_DS1105-2183DF070_70_c.tif,3,,,,,,,,,,Page 3,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcdkd/4s86nm9r,ark:/21198/zz002gcdkd,,,Page,satellite/image/Northern_Shanxi_DS1105-2183DF070_70_b.tif,2,,,,,,,,,,Page 2,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcdkd/5b95865f,ark:/21198/zz002gcdkd,,,Page,satellite/image/Northern_Shanxi_DS1105-2183DF070_70_d.tif,4,,,,,,,,,,Page 4,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcdkd/rb41kp59,ark:/21198/zz002gcdkd,,,Page,satellite/image/Northern_Shanxi_DS1105-2183DF070_70_a.tif,1,,,,,,,,,,Page 1,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcdmx/b948967v,ark:/21198/zz002gcdmx,,,Page,satellite/image/Northern_Shanxi_DS1105-2183DF071_71_c.tif,3,,,,,,,,,,Page 3,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcdmx/fc965d7j,ark:/21198/zz002gcdmx,,,Page,satellite/image/Northern_Shanxi_DS1105-2183DF071_71_a.tif,1,,,,,,,,,,Page 1,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcdmx/hn740622,ark:/21198/zz002gcdmx,,,Page,satellite/image/Northern_Shanxi_DS1105-2183DF071_71_b.tif,2,,,,,,,,,,Page 2,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcdmx/np75zk4z,ark:/21198/zz002gcdmx,,,Page,satellite/image/Northern_Shanxi_DS1105-2183DF071_71_d.tif,4,,,,,,,,,,Page 4,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcdnf/c513372f,ark:/21198/zz002gcdnf,,,Page,satellite/image/Northern_Shanxi_DS1105-2183DF072_72_d.tif,4,,,,,,,,,,Page 4,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcdnf/cm93393j,ark:/21198/zz002gcdnf,,,Page,satellite/image/Northern_Shanxi_DS1105-2183DF072_72_a.tif,1,,,,,,,,,,Page 1,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcdnf/jb36fq00,ark:/21198/zz002gcdnf,,,Page,satellite/image/Northern_Shanxi_DS1105-2183DF072_72_c.tif,3,,,,,,,,,,Page 3,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcdnf/r9208w0q,ark:/21198/zz002gcdnf,,,Page,satellite/image/Northern_Shanxi_DS1105-2183DF072_72_b.tif,2,,,,,,,,,,Page 2,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcdpz/0134107f,ark:/21198/zz002gcdpz,,,Page,satellite/image/Northern_Shanxi_DS1105-2183DF073_73_c.tif,3,,,,,,,,,,Page 3,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcdpz/0j88fr8f,ark:/21198/zz002gcdpz,,,Page,satellite/image/Northern_Shanxi_DS1105-2183DF073_73_b.tif,2,,,,,,,,,,Page 2,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcdpz/dq25c74f,ark:/21198/zz002gcdpz,,,Page,satellite/image/Northern_Shanxi_DS1105-2183DF073_73_a.tif,1,,,,,,,,,,Page 1,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcdpz/f5814x59,ark:/21198/zz002gcdpz,,,Page,satellite/image/Northern_Shanxi_DS1105-2183DF073_73_d.tif,4,,,,,,,,,,Page 4,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcdqg/bt18k95c,ark:/21198/zz002gcdqg,,,Page,satellite/image/Northern_Shanxi_DS1106-1038DA237_237_b.tif,2,,,,,,,,,,Page 2,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcdqg/gw24xv9t,ark:/21198/zz002gcdqg,,,Page,satellite/image/Northern_Shanxi_DS1106-1038DA237_237_c.tif,3,,,,,,,,,,Page 3,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcdqg/r913g663,ark:/21198/zz002gcdqg,,,Page,satellite/image/Northern_Shanxi_DS1106-1038DA237_237_d.tif,4,,,,,,,,,,Page 4,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcdqg/v143hg4c,ark:/21198/zz002gcdqg,,,Page,satellite/image/Northern_Shanxi_DS1106-1038DA237_237_a.tif,1,,,,,,,,,,Page 1,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcdr0/0v694h90,ark:/21198/zz002gcdr0,,,Page,satellite/image/Northern_Shanxi_DS1106-1038DF228_228_a.tif,1,,,,,,,,,,Page 1,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcdr0/6h216n0c,ark:/21198/zz002gcdr0,,,Page,satellite/image/Northern_Shanxi_DS1106-1038DF228_228_d.tif,4,,,,,,,,,,Page 4,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcdr0/f477839r,ark:/21198/zz002gcdr0,,,Page,satellite/image/Northern_Shanxi_DS1106-1038DF228_228_b.tif,2,,,,,,,,,,Page 2,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcdr0/s215n326,ark:/21198/zz002gcdr0,,,Page,satellite/image/Northern_Shanxi_DS1106-1038DF228_228_c.tif,3,,,,,,,,,,Page 3,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcdsh/9d374m1d,ark:/21198/zz002gcdsh,,,Page,satellite/image/Northern_Shanxi_DS1106-1038DF230_230_d.tif,4,,,,,,,,,,Page 4,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcdsh/9v43gn72,ark:/21198/zz002gcdsh,,,Page,satellite/image/Northern_Shanxi_DS1106-1038DF230_230_b.tif,2,,,,,,,,,,Page 2,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcdsh/m564955z,ark:/21198/zz002gcdsh,,,Page,satellite/image/Northern_Shanxi_DS1106-1038DF230_230_a.tif,1,,,,,,,,,,Page 1,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcdsh/t904vg2r,ark:/21198/zz002gcdsh,,,Page,satellite/image/Northern_Shanxi_DS1106-1038DF230_230_c.tif,3,,,,,,,,,,Page 3,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcdt1/1g23vk0j,ark:/21198/zz002gcdt1,,,Page,satellite/image/Northern_Shanxi_DS1110-2232DF088_88_a.tif,1,,,,,,,,,,Page 1,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcdt1/4f796z5b,ark:/21198/zz002gcdt1,,,Page,satellite/image/Northern_Shanxi_DS1110-2232DF088_88_c.tif,3,,,,,,,,,,Page 3,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcdt1/5n60vg8b,ark:/21198/zz002gcdt1,,,Page,satellite/image/Northern_Shanxi_DS1110-2232DF088_88_b.tif,2,,,,,,,,,,Page 2,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcdt1/9580xt3p,ark:/21198/zz002gcdt1,,,Page,satellite/image/Northern_Shanxi_DS1110-2232DF088_88_d.tif,4,,,,,,,,,,Page 4,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcdvj/4x28q26t,ark:/21198/zz002gcdvj,,,Page,satellite/image/Northern_Shanxi_DS1116-1151DF041_41_a.tif,1,,,,,,,,,,Page 1,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcdvj/6v08n769,ark:/21198/zz002gcdvj,,,Page,satellite/image/Northern_Shanxi_DS1116-1151DF041_41_d.tif,4,,,,,,,,,,Page 4,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcdvj/pg69rz8k,ark:/21198/zz002gcdvj,,,Page,satellite/image/Northern_Shanxi_DS1116-1151DF041_41_b.tif,2,,,,,,,,,,Page 2,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcdvj/r4874x57,ark:/21198/zz002gcdvj,,,Page,satellite/image/Northern_Shanxi_DS1116-1151DF041_41_c.tif,3,,,,,,,,,,Page 3,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcdw2/4g70p25w,ark:/21198/zz002gcdw2,,,Page,satellite/image/Quanzhou_DS1106-2070DA267_267_c.tif,3,,,,,,,,,,Page 3,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcdw2/7n37v51w,ark:/21198/zz002gcdw2,,,Page,satellite/image/Quanzhou_DS1106-2070DA267_267_a.tif,1,,,,,,,,,,Page 1,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcdw2/cx15p26k,ark:/21198/zz002gcdw2,,,Page,satellite/image/Quanzhou_DS1106-2070DA267_267_b.tif,2,,,,,,,,,,Page 2,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcdw2/t192fc9g,ark:/21198/zz002gcdw2,,,Page,satellite/image/Quanzhou_DS1106-2070DA267_267_d.tif,4,,,,,,,,,,Page 4,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcdxk/3v94vh60,ark:/21198/zz002gcdxk,,,Page,satellite/image/Quanzhou_DS1106-2070DA270_270_b.tif,2,,,,,,,,,,Page 2,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcdxk/dw319m79,ark:/21198/zz002gcdxk,,,Page,satellite/image/Quanzhou_DS1106-2070DA270_270_c.tif,3,,,,,,,,,,Page 3,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcdxk/j8117k68,ark:/21198/zz002gcdxk,,,Page,satellite/image/Quanzhou_DS1106-2070DA270_270_a.tif,1,,,,,,,,,,Page 1,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcdxk/nx185g8p,ark:/21198/zz002gcdxk,,,Page,satellite/image/Quanzhou_DS1106-2070DA270_270_d.tif,4,,,,,,,,,,Page 4,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcdz3/0p42750m,ark:/21198/zz002gcdz3,,,Page,satellite/image/Quanzhou_DS1106-2070DF261_261_d.tif,4,,,,,,,,,,Page 4,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcdz3/j0608m4s,ark:/21198/zz002gcdz3,,,Page,satellite/image/Quanzhou_DS1106-2070DF261_261_b.tif,2,,,,,,,,,,Page 2,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcdz3/pn98c64g,ark:/21198/zz002gcdz3,,,Page,satellite/image/Quanzhou_DS1106-2070DF261_261_a.tif,1,,,,,,,,,,Page 1,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcdz3/zb666241,ark:/21198/zz002gcdz3,,,Page,satellite/image/Quanzhou_DS1106-2070DF261_261_c.tif,3,,,,,,,,,,Page 3,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcf03/3414bc72,ark:/21198/zz002gcf03,,,Page,satellite/image/Quanzhou_DS1106-2070DF264_264_b.tif,2,,,,,,,,,,Page 2,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcf03/7p35gh6t,ark:/21198/zz002gcf03,,,Page,satellite/image/Quanzhou_DS1106-2070DF264_264_c.tif,3,,,,,,,,,,Page 3,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcf03/h555zn8d,ark:/21198/zz002gcf03,,,Page,satellite/image/Quanzhou_DS1106-2070DF264_264_d.tif,4,,,,,,,,,,Page 4,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcf03/jk64b73j,ark:/21198/zz002gcf03,,,Page,satellite/image/Quanzhou_DS1106-2070DF264_264_a.tif,1,,,,,,,,,,Page 1,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcf1m/7s95rr9d,ark:/21198/zz002gcf1m,,,Page,satellite/image/Qufu-Jining_Shandong_DS1115-2167DF041_41_c.tif,1,,,,,,,,,,Page 1,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcf1m/vs34nk60,ark:/21198/zz002gcf1m,,,Page,satellite/image/Qufu-Jining_Shandong_DS1115-2167DF041_41_d.tif,2,,,,,,,,,,Page 2,
UCLA East Asian Archaeology Corona Satellite Images Collection: 1960s-1970s,ark:/21198/zz002gcf24/m7014499,ark:/21198/zz002gcf24,,,Page,satellite/image/Qufu_DS1101-1069DA133_133_b.tif,2,,,,,,,,,,Page 2,
