"File Name","Object Type","Title","Item Sequence","Parent ARK","Item ARK","Bucketeer State","IIIF Access URL"
"Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1926/ihc_bohemia_19260704_010.tif","Page","Page 10","10","ark:/21198/z1jm4dgt","ark:/21198/z1jm4mg9","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jm4mg9"
"Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1926/ihc_bohemia_19260704_011.tif","Page","Page 11","11","ark:/21198/z1jm4dgt","ark:/21198/z1dv3vq4","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dv3vq4"
"Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1926/ihc_bohemia_19260704_012.tif","Page","Page 12","12","ark:/21198/z1jm4dgt","ark:/21198/z19333zn","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19333zn"
"Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1926/ihc_bohemia_19260704_013.tif","Page","Page 13","13","ark:/21198/z1jm4dgt","ark:/21198/z15b2c7b","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15b2c7b"
"Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1926/ihc_bohemia_19260704_014.tif","Page","Page 14","14","ark:/21198/z1jm4dgt","ark:/21198/z11k1mkh","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11k1mkh"
"Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1926/ihc_bohemia_19260704_015.tif","Page","Page 15","15","ark:/21198/z1jm4dgt","ark:/21198/z1wt141q","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wt141q"
"Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1926/ihc_bohemia_19260704_016.tif","Page","Page 16","16","ark:/21198/z1jm4dgt","ark:/21198/z1s20cbr","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1s20cbr"
"Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1926/ihc_bohemia_19260704_017.tif","Page","Page 17","17","ark:/21198/z1jm4dgt","ark:/21198/z1nc8b2n","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1nc8b2n"
"Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1926/ihc_bohemia_19260711_001.tif","Page","Page 1","1","ark:/21198/z1dv3np6","ark:/21198/z1hm7k81","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hm7k81"
"Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1926/ihc_bohemia_19260711_002.tif","Page","Page 2","2","ark:/21198/z1dv3np6","ark:/21198/z1cv6thv","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cv6thv"
"Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1926/ihc_bohemia_19260711_003.tif","Page","Page 3","3","ark:/21198/z1dv3np6","ark:/21198/z18362t8","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18362t8"
"Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1926/ihc_bohemia_19260711_004.tif","Page","Page 4","4","ark:/21198/z1dv3np6","ark:/21198/z14b5b4d","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14b5b4d"
"Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1926/ihc_bohemia_19260711_005.tif","Page","Page 5","5","ark:/21198/z1dv3np6","ark:/21198/z10k4kf4","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10k4kf4"
"Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1926/ihc_bohemia_19260711_006.tif","Page","Page 6","6","ark:/21198/z1dv3np6","ark:/21198/z1vt42zt","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vt42zt"
"Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1926/ihc_bohemia_19260711_007.tif","Page","Page 7","7","ark:/21198/z1dv3np6","ark:/21198/z1r521k7","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1r521k7"
"Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1926/ihc_bohemia_19260711_008.tif","Page","Page 8","8","ark:/21198/z1dv3np6","ark:/21198/z1md18vh","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1md18vh"
"Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1926/ihc_bohemia_19260711_009.tif","Page","Page 9","9","ark:/21198/z1dv3np6","ark:/21198/z1gn0j29","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gn0j29"
"Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1926/ihc_bohemia_19260711_010.tif","Page","Page 10","10","ark:/21198/z1dv3np6","ark:/21198/z1bv9sdx","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bv9sdx"
"Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1926/ihc_bohemia_19260711_011.tif","Page","Page 11","11","ark:/21198/z1dv3np6","ark:/21198/z17391qb","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17391qb"
"Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1926/ihc_bohemia_19260711_012.tif","Page","Page 12","12","ark:/21198/z1dv3np6","ark:/21198/z13b8901","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13b8901"
"Masters/othermasters/DEPbohemia/tiffs/ihc_bohemia_1926/ihc_bohemia_19260711_013.tif","Page","Page 13","13","ark:/21198/z1dv3np6","ark:/21198/z1zk7sjs","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zk7sjs"
