"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","viewingHint","Visibility","Thumbnail","Subject.conceptTopic","Type.typeOfResource","Rights.copyrightStatus","Rights.publicationStatus","Type.genre","Name.subject","Subject","Subject.descriptiveTopic","Name.repository","Rights.servicesContact","Language","Name.photographer","Name.donor","Name.correspondent","Subject geographic","Name.recipient","Rights.rightsHolderContact","Name.creator","Local identifier","Title","Description.abstract","Description.note","Alt ID.local","Summary","Date.normalized","Date.creation","Format.extent","Coverage.geographic","Description.caption","Description.latitude","Description.longitude","Alt ID.url","AltTitle.other","Note","Relation.isPartOf","Opac url","Finding Aid URL","Bucketeer State","IIIF Access URL"
"Gordon (Walter L.) and William C. Beverly, Jr. Collection","ark:/21198/zz0025p2jc/wd67wg76","ark:/21198/zz0025p2jc","","","Page","gordo/image/yrlsc_gordonphotos_0048.tif","1","","","","private","","","","","","","","","","","","","","","","","","","","","Front","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025p2jc%2Fwd67wg76"
"Gordon (Walter L.) and William C. Beverly, Jr. Collection","ark:/21198/zz0025p2md/9539fg7z","ark:/21198/zz0025p2md","","","Page","gordo/image/yrlsc_gordonphotos_0050.tif","1","","","","private","","","","","","","","","","","","","","","","","","","","","Front","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025p2md%2F9539fg7z"
"Gordon (Walter L.) and William C. Beverly, Jr. Collection","ark:/21198/zz0025p2md/n092dg9n","ark:/21198/zz0025p2md","","","Page","gordo/image/yrlsc_gordonphotos_0050_back.tif","2","","","","private","","","","","","","","","","","","","","","","","","","","","Back","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025p2md%2Fn092dg9n"
"Gordon (Walter L.) and William C. Beverly, Jr. Collection","ark:/21198/zz0025p2rg/9b65qk3m","ark:/21198/zz0025p2rg","","","Page","gordo/image/yrlsc_gordonphotos_0054.tif","1","","","","private","","","","","","","","","","","","","","","","","","","","","Front","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025p2rg%2F9b65qk3m"
"Gordon (Walter L.) and William C. Beverly, Jr. Collection","ark:/21198/zz0025p2rg/nx18r30v","ark:/21198/zz0025p2rg","","","Page","gordo/image/yrlsc_gordonphotos_0054_back.tif","2","","","","private","","","","","","","","","","","","","","","","","","","","","Back","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025p2rg%2Fnx18r30v"
"Gordon (Walter L.) and William C. Beverly, Jr. Collection","ark:/21198/zz0025p2s0/n5428003","ark:/21198/zz0025p2s0","","","Page","gordo/image/yrlsc_gordonphotos_0055_back.tif","2","","","","private","","","","","","","","","","","","","","","","","","","","","Back","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025p2s0%2Fn5428003"
"Gordon (Walter L.) and William C. Beverly, Jr. Collection","ark:/21198/zz0025p2s0/sz49w06s","ark:/21198/zz0025p2s0","","","Page","gordo/image/yrlsc_gordonphotos_0055.tif","1","","","","private","","","","","","","","","","","","","","","","","","","","","Front","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025p2s0%2Fsz49w06s"
"Gordon (Walter L.) and William C. Beverly, Jr. Collection","ark:/21198/zz0025p2th/dz95j497","ark:/21198/zz0025p2th","","","Page","gordo/image/yrlsc_gordonphotos_0056.tif","1","","","","private","","","","","","","","","","","","","","","","","","","","","Front","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025p2th%2Fdz95j497"
"Gordon (Walter L.) and William C. Beverly, Jr. Collection","ark:/21198/zz0025p2th/ww94t33g","ark:/21198/zz0025p2th","","","Page","gordo/image/yrlsc_gordonphotos_0056_back.tif","2","","","","private","","","","","","","","","","","","","","","","","","","","","Back","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025p2th%2Fww94t33g"
"Gordon (Walter L.) and William C. Beverly, Jr. Collection","ark:/21198/zz0025p2x2/br93h99n","ark:/21198/zz0025p2x2","","","Page","gordo/image/yrlsc_gordonphotos_0059_back.tif","2","","","","private","","","","","","","","","","","","","","","","","","","","","Back","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025p2x2%2Fbr93h99n"
