"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","Subject","Type.genre","Language","Name.editor","Name.engraver","Title","Relation.rectoVerso","Relation.pageNumber","Description.note","Source","Relation.isPartOf","Alt ID.local","Date.normalized","Publisher.publisherName","Format.extent","Publisher.placeOfOrigin","Date.creation","Format.dimensions","Description.tableOfContents","Alt ID.oclc","AltTitle.uniform","AltTitle.inscribed","Relation.hasPart","Name.printer","Name.illustrator","Rights.copyrightStatus","Bucketeer State","IIIF Access URL"
"Picart (Bernard) Collection","ark:/21198/zz0002hs3j","ark:/21198/zz0002hb0q","2","Completed","Page","picart/masters/21198-zz0002hs3j-1-master.tif","57","","","text","","","","","","page 036","v","57","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hs3j"
"Picart (Bernard) Collection","ark:/21198/zz0002hrxg","ark:/21198/zz0002hb0q","2","Completed","Page","picart/masters/21198-zz0002hrxg-1-master.tif","58","","","text","","","","","","page 037","r","58","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hrxg"
"Picart (Bernard) Collection","ark:/21198/zz0002m5gw","ark:/21198/zz0002hb0q","2","Completed","Page","picart/masters/21198-zz0002m5gw-1-master.tif","59","","","text","","","","","","page 038","v","59","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002m5gw"
"Picart (Bernard) Collection","ark:/21198/zz0002m5jx","ark:/21198/zz0002hb0q","2","Completed","Page","picart/masters/21198-zz0002m5jx-1-master.tif","60","","","text","","","","","","page 039","r","60","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002m5jx"
"Picart (Bernard) Collection","ark:/21198/zz0002m7pz","ark:/21198/zz0002hb0q","2","Completed","Page","picart/masters/21198-zz0002m7pz-1-master.tif","61","","","text","","","","","","page 040","v","61","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002m7pz"
"Picart (Bernard) Collection","ark:/21198/zz0002m7mx","ark:/21198/zz0002hb0q","2","Completed","Page","picart/masters/21198-zz0002m7mx-1-master.tif","62","","","text","","","","","","page 041","r","62","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002m7mx"
"Picart (Bernard) Collection","ark:/21198/zz0002m7bs","ark:/21198/zz0002hb0q","2","Completed","Page","picart/masters/21198-zz0002m7bs-1-master.tif","63","","","text","","","","","","page 042","v","63","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002m7bs"
"Picart (Bernard) Collection","ark:/21198/zz0002m756","ark:/21198/zz0002hb0q","2","Completed","Page","picart/masters/21198-zz0002m756-1-master.tif","64","","","text","","","","","","page 043","r","64","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002m756"
"Picart (Bernard) Collection","ark:/21198/zz0002m70m","ark:/21198/zz0002hb0q","2","Completed","Page","picart/masters/21198-zz0002m70m-1-master.tif","65","","","text","","","","","","page 044","v","65","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002m70m"
"Picart (Bernard) Collection","ark:/21198/zz0002m6tj","ark:/21198/zz0002hb0q","2","Completed","Page","picart/masters/21198-zz0002m6tj-1-master.tif","66","","","text","","","","","","page 045","r","66","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002m6tj"
