"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","Subject","Type.genre","Language","Editor","Name.engraver","Title","Relation.rectoVerso","Relation.pageNumber","Description.note","Source","Relation.isPartOf","Alt ID.local","Date.normalized","Publisher.publisherName","Format.extent","Publisher.placeOfOrigin","Date.creation","Format.dimensions","Description.tableOfContents","Alt ID.oclc","AltTitle.uniform","AltTitle.inscribed","Relation.hasPart","Name.printer","Illustrator","Rights.copyrightStatus","Bucketeer State","IIIF Access URL"
"Picart (Bernard) Collection","ark:/21198/zz0009738s","ark:/21198/zz0002hb2r","2","Completed","Page","picart/masters/21198-zz0009738s-1-master.tif","256","","","text","","","","","","page 237","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009738s"
"Picart (Bernard) Collection","ark:/21198/zz00097399","ark:/21198/zz0002hb2r","2","Completed","Page","picart/masters/21198-zz00097399-1-master.tif","257","","","text","","","","","","page 238","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00097399"
"Picart (Bernard) Collection","ark:/21198/zz000973bt","ark:/21198/zz0002hb2r","2","Completed","Page","picart/masters/21198-zz000973bt-1-master.tif","258","","","text","","","","","","page 239","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000973bt"
"Picart (Bernard) Collection","ark:/21198/zz000973cb","ark:/21198/zz0002hb2r","2","Completed","Page","picart/masters/21198-zz000973cb-1-master.tif","259","","","text","","","","","","page 240","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000973cb"
"Picart (Bernard) Collection","ark:/21198/zz000973dv","ark:/21198/zz0002hb2r","2","Completed","Page","picart/masters/21198-zz000973dv-1-master.tif","260","","","text","","","","","","page 241","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000973dv"
"Picart (Bernard) Collection","ark:/21198/zz000973fc","ark:/21198/zz0002hb2r","2","Completed","Page","picart/masters/21198-zz000973fc-1-master.tif","261","","","text","","","","","","page 242","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000973fc"
"Picart (Bernard) Collection","ark:/21198/zz000973gw","ark:/21198/zz0002hb2r","2","Completed","Page","picart/masters/21198-zz000973gw-1-master.tif","262","","","text","","","","","","page 243","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000973gw"
"Picart (Bernard) Collection","ark:/21198/zz000973hd","ark:/21198/zz0002hb2r","2","Completed","Page","picart/masters/21198-zz000973hd-1-master.tif","263","","","text","","","","","","page 244","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000973hd"
"Picart (Bernard) Collection","ark:/21198/zz000973jx","ark:/21198/zz0002hb2r","2","Completed","Page","picart/masters/21198-zz000973jx-1-master.tif","264","","","text","","","","","","page 245","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000973jx"
"Picart (Bernard) Collection","ark:/21198/zz000973kf","ark:/21198/zz0002hb2r","2","Completed","Page","picart/masters/21198-zz000973kf-1-master.tif","265","","","text","","","","","","page 246","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000973kf"
"Picart (Bernard) Collection","ark:/21198/zz000973mz","ark:/21198/zz0002hb2r","2","Completed","Page","picart/masters/21198-zz000973mz-1-master.tif","266","","","text","","","","","","page 247","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000973mz"
"Picart (Bernard) Collection","ark:/21198/zz000973ng","ark:/21198/zz0002hb2r","2","Completed","Page","picart/masters/21198-zz000973ng-1-master.tif","267","","","text","","","","","","page 248","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000973ng"
"Picart (Bernard) Collection","ark:/21198/zz000973p0","ark:/21198/zz0002hb2r","2","Completed","Page","picart/masters/21198-zz000973p0-1-master.tif","268","","","text","","","","","","page 249","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000973p0"
"Picart (Bernard) Collection","ark:/21198/zz000973qh","ark:/21198/zz0002hb2r","2","Completed","Page","picart/masters/21198-zz000973qh-1-master.tif","269","","","text","","","","","","page 251 [p. 250]","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000973qh"
"Picart (Bernard) Collection","ark:/21198/zz000973r1","ark:/21198/zz0002hb2r","2","Completed","Page","picart/masters/21198-zz000973r1-1-master.tif","270","","","text","","","","","","page 252 [p. 251]","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000973r1"
"Picart (Bernard) Collection","ark:/21198/zz000975xk","ark:/21198/zz0002hb2r","2","Completed","Page","picart/masters/21198-zz000975xk-1-master.tif","271","","","text","","","","","","page 252","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000975xk"
"Picart (Bernard) Collection","ark:/21198/zz000975z3","ark:/21198/zz0002hb2r","2","Completed","Page","picart/masters/21198-zz000975z3-1-master.tif","272","","","text","","","","","","page 253","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000975z3"
"Picart (Bernard) Collection","ark:/21198/zz00097603","ark:/21198/zz0002hb2r","2","Completed","Page","picart/masters/21198-zz00097603-1-master.tif","273","","","text","","","","","","page 254","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00097603"
"Picart (Bernard) Collection","ark:/21198/zz0009761m","ark:/21198/zz0002hb2r","2","Completed","Page","picart/masters/21198-zz0009761m-1-master.tif","274","","","text","","","","","","page 255","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009761m"
"Picart (Bernard) Collection","ark:/21198/zz00097624","ark:/21198/zz0002hb2r","2","Completed","Page","picart/masters/21198-zz00097624-1-master.tif","275","","","text","","","","","","page 256","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00097624"
"Picart (Bernard) Collection","ark:/21198/zz0009763n","ark:/21198/zz0002hb2r","2","Completed","Page","picart/masters/21198-zz0009763n-1-master.tif","276","","","text","","","","","","page 257","r","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009763n"
"Picart (Bernard) Collection","ark:/21198/zz00097645","ark:/21198/zz0002hb2r","2","Completed","Page","picart/masters/21198-zz00097645-1-master.tif","277","","","text","","","","","","page 258","v","","","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00097645"
"Picart (Bernard) Collection","ark:/21198/zz0009765p","ark:/21198/zz0002hb2r","2","Completed","Page","picart/masters/21198-zz0009765p-1-master.tif","278","","","still image","","","","","","A church of the Armenians.","r","","A church of the Armenians.","page 258a","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009765p"
