Item ARK,Parent ARK,Object Type,Title,Item Sequence,File Name,AltTitle.other,Thumbnail,collection.physical,Contents note,Date.created,Date.normalized,Description.latitude,Description.longitude,Description.note,Format.dimensions,Format.extent,Format.medium,Genre,Language,Local identifier,Name.creator,Name.subject,Note,Place of origin,Publisher.publisherName,Repository,Type.typeOfResource,Rights.copyrightStatus,Rights.rightsHolderContact,Statement of Responsibility,Subject topic,Subject geographic,Subject temporal,viewingHint,Contributor,IIIF Manifest URL
ark:/21198/z12f9fkd,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,Reception Invitation on the Occasion of the Visit of H. R. H. The Prince of Wales,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jd6t23,Ephemera Collection,,"October 22, 1970",1970-10-22,13.1939,59.5432,"Blank invitation to a reception by Governor-General Sir Arleigh Winston Scott and Lady Scott in honor of Charles, Prince of Wales on October 22, 1970.",11.3 cm x 15.1 cm,1 page,,invitations,,Collection C320|~|Box RS|~|Folder 5,Government of Barbados,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,"Invitation cards|~|Commonwealth countries|~|West Indies, British--Politics and government|~|Visits of state|~|Royal households--Great Britain",Saint Michael (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz12f9fkd/manifest
ark:/21198/z12f9fmv,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,"Two Series of Public Lectures: ""Christianity, Bondage or Liberation: The Negro Church in America"" and ""Sketches in Black: Integration or Separation""",,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16m5483,Ephemera Collection,,June 1970,1970-06,13.1939,59.5432,"Booklet containing information about two series of public lectures: ""Christianity, Bondage or Liberation: The Negro Church in America"" and ""Sketches in Black: Integration or Separation."" The lectures were presented by the Rev. J. Carleton Hayden over the course of June 1970 at the Conference Room of the Centre for Multi-Racial Studies. The series were jointly sponsored by the Extra-Mural Department, the Centre for Multi-Racial Studies and the Barbados Workers' Union.",21.3 cm x 13.9 cm,5 pages,,programs (documents)|~|booklets,,Collection C320|~|Box UY|~|Folder 2,"University of the West Indies (Cave Hill, Barbados). Extra-Mural Department|~|University of the West Indies (Cave Hill, Barbados). Centre for Multi-Racial Studies|~|Barbados Workers' Union",,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Lectures|~|Integration|~|Christianity|~|Liberation|~|African American Churches|~|Socioeconomic conditions and development -- Social justice,Saint Michael (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz12f9fmv/manifest
ark:/21198/z12j84tg,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,Barbados Public Workers' 37th Anniversary,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wh4kgz,Ephemera Collection,,2007,2007,13.1939,59.5432,"Promotional flyer for the Barbados Public Workers Cooperative Credit Union Limited (BPWCCUL's) 37th anniversary week. Contains programme of events, within the themes of Praise, Thank, Learn, and Celebrate. The BPWCCUL was founded on 6th May, 1970 and is the largest credit union in Barbados.",27.8 cm x 21.5 cm,1 page,,fliers (printed matter)|~|programs (documents),,Collection C319|~|Box A-B|~|Folder 4,Barbados Public Workers' Co-operative Credit Union Limited (BPWCCUL),,,Barbados,Barbados Public Workers' Co-operative Credit Union Limited (BPWCCUL),Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Anniversaries|~|Liturgies|~|Government employees|~|Labor unions,Saint Michael (Barbados),21st Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz12j84tg/manifest
ark:/21198/z12j84vx,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,Barbados Dance Theatre: A Christmas Show,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1v141m0,Ephemera Collection,,December 1978,1978-12,13.1939,59.5432,"Program of music and dance held at the Wanderers Cricket Ground on December 20 through 22, 1978.",8 x 22 cm,3 pages,,Dance programs,,Collection C319|~|Box D-F,Barbados Dance Theatre,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Dance festivals|~|Dance Companies|~|Theater|~|Christmas,Christ Church (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz12j84vx/manifest
ark:/21198/z12j84wc,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,Government House Barbados Reception,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dv3g3h,Ephemera Collection,,"February 18, 1975",1975-02-18,13.1939,59.5432,"Document with information about the dress code and order of the evening for the reception at Government House on February 18, 1975 on the occasion of the visit of Queen Elizabeth and Prince Philip.",21.5 cm x 17.7 cm,1 page,,Documents|~|Event programs,,Collection C319|~|Box KQ|~|Folder 20,Government of Barbados,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Visits of state|~|Royal visits|~|Dinners and dining|~|Dress codes,Saint Michael (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz12j84wc/manifest
ark:/21198/z12n6v7t,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,Annual Achievement Day 1969,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ht4jqc,Ephemera Collection,,1969,1969,13.1939,59.5432,"Achievement Day celebrations held on the Deacons Road Farm on Saturday, 3rd May, 1969. Contains program of events, athletics, prize list, list of judges and donors, and names and addresses of clubs.",21.5 cm x 16.2 cm,13 pages,,booklets|~|agriculture,,Collection C319|~|Box A-B|~|Folder 2,Barbados 4 - H Clubs,,,Barbados,Barbados 4 - H Clubs,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Agricultural Exhibitions|~|Agriculture|~|Exhibitions|~|Animals|~|Competitions|~|Athletics,Saint Michael (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz12n6v7t/manifest
ark:/21198/z12n6v88,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,Celebrating Freedom: Ecumenical Service in Celebration of Emancipation Day,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w112fb,Ephemera Collection,,"July 31, 1997",1997-07-31,13.1939,59.5432,"Program for the celebration of Emancipation Day held at St. George's Parish Church. The Slavery Abolition Act 1833, which abolished slavery throughout the British Empire, came into effect on 1 August 1834. It was followed by 4 years of the ""apprenticeship"" system. Full emancipation was achieved in 1838. Emancipation Day in Barbados is observed on the 1st of August.",21.5 cm x 14 cm,6 pages,,programs (documents),,Collection C319|~|Box C-Ch,St. George's Parish Church,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Church|~|Anniversaries|~|Church services|~|Emancipation Day (British West Indies),Saint George (Barbados),20th century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz12n6v88/manifest
ark:/21198/z12n6v9q,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,Flower Show - Spring 1971,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qc20hp,Ephemera Collection,,March 1971,1971-03,13.1939,59.5432,"Booklet for the spring flower show of the Barbados Horticultural Society that took place at the Drill Hall at the Garrison on March 6 and 7, 1971. The booklet contains information about the plants on exhibit.",21 cm x 15.4 cm,23 pages,,Program booklets|~|Event programs,,Collection C319|~|Box GHI|~|Folder 11,Barbados Horticultural Society,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Horticultural exhibitions|~|Garden shows|~|Flower shows|~|Floriculture,Christ Church (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz12n6v9q/manifest
ark:/21198/z12n6vb5,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,"""A Branch of the Blue Nile""",,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qc20wm,Ephemera Collection,,1983,1983,13.1939,59.5432,"Booklet with the program and cast information for the world premiere of the play ""A Branch of the Blue Nile"" by Derek Walcott, presented by Stage One Theatre Productions with support from the Nation Publishing Co. The event took place at the Queen's Park Theatre on November 26-30 and December 1-4, 1983.",28.1 cm x 21.7 cm,21 pages,,theater programs|~|booklets,,Collection C320|~|Box T|~|Folder 9,Stage One Theatre Productions,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Theater|~|West Indian drama (English)|~|West Indian literature (English)|~|Socioeconomic conditions and development -- Social justice,Saint Michael (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz12n6vb5/manifest
ark:/21198/z12r5jq1,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,Calvary Moravian Church,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sn25gp,Ephemera Collection,,"May 4, 1975",1975-05-04,13.1939,59.5432,"Program for the Calvary Moravian Church in Roebuck Street, Bridgetown, with their Sunday Services, Sunday School, Holy Communion and Baptism.",21.6 cm x 13.8 cm,4 pages,,programs (documents),,Collection C319|~|Box C-Ch,Calvary Moravian Church,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Church|~|Moravian Church|~|Moravian Church--Education,Saint Michael (Barbados),20th century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz12r5jq1/manifest
ark:/21198/z12r5jrg,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,Crop Over Festival: Costume Queen and Calypso King Competition,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19p4xbr,Ephemera Collection,,"May 29, 1976",1976-05-29,13.1939,59.5432,"Program for the Barbados Crop Over Festival Costume Queen Show and Calypso King Competition held May 29, 1976 at Culloden Farm. Crop Over is a four month-long festival held between the months of May and August. This festival showcase Barbadian music, art, food and culture. The festival ends with a grand carnival parade, known as Kadooment Day, which is held on the first Monday in the month of August.",21.6 cm x 17 cm,19 pages,,programs (documents),,Box Ci-Cz|~|Folder 9,"Ministry of Tourism, Information and Public Relations",,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,"Carnival|~|Festivals|~|Foklore|~|Arts, Caribbean",Saint Michael (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz12r5jrg/manifest
ark:/21198/z12r5jsx,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,1975 The Lodge School Speech Day and Sports Finals,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gj1dx6,Ephemera Collection,,"March 8, 1975",1975-03-08,13.1939,59.5432,"Booklet with program and details for Lodge School's Speech Day and Sports Finals activities on March 8, 1975. Contains names of staff and students. The prizes were distributed by the Governor-General, and the address was given by the Minister of Education, Mr. L. E. Sandiford.",21.1 cm x 16.4 cm,8 pages,,Program booklets|~|Event programs,,Collection C319|~|Box GHI|~|Folder 6,Lodge School,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Speeches|~|School orations|~|Awards and Prizes|~|Awards ceremonies|~|Barbados,Saint John (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz12r5jsx/manifest
ark:/21198/z12r5jtc,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,Piano Recital: Frank Fernandes,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xd2xxf,Ephemera Collection,,"August 18, 1967",1967-08-18,13.1939,59.5432,"Brochure for a piano recital by Frank Fernandes that took place at the Ursuline Convent on August 18, 1967.",21.7 cm x 16.5 cm,3 pages,,Brochures|~|Concert programs,,Collection C319|~|Box KQ|~|Folder 16,Barbados Arts Council,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Recitals (music)|~|Piano,Saint Michael (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz12r5jtc/manifest
ark:/21198/z12v484r,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,"Society for International Development - 21st World Conference: ""People's Rights and Security: Sustainable Development Strategies for the 21st Century""",,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1km17jt,Ephemera Collection,,April 1994,1994-04-01,13.1939,59.5432,"Preliminary program by the Society for International Development-21st World Conference on the topic ""People's Rights and Security: Sustainable Development Strategies for the 21st Century."" Held in Mexico City, Mexico, on April 6-9, 1994.",28.1 cm x 21.5 cm,12 pages,,programs (documents),,Box Ci-Cz|~|Folder 4,Society for International Development,,,Mexico,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,"Congress and conventions|~|Associations, institutions, etc.",Mexico,20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz12v484r/manifest
ark:/21198/z12v4856,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,Opening of the New John Beckles Day Care Centre,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19g7j0s,Ephemera Collection,,"October 31, 1977",1977-10-31,13.1939,59.5432,"Booklet for the occasion of the commemoration of the opening of the New John Beckles Day Care Centre by Queen Elizabeth II. The booklet pays tribute to John Beresford Beckles, founder of the first day care centre in Barbados. The booklet contains an extensive biography of John Beresford Beckles, and information on Barbados' socioeconomic situation and developments in the first decades of the 20th century.",21.1 cm x 14.6 cm,18 pages,,Program booklets|~|Event programs,,Collection C319|~|Box KQ|~|Folder 12,Child Care Board,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Ceremonies|~|Commemorations|~|Day care centers,Saint Michael (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz12v4856/manifest
ark:/21198/z12v486n,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,"""For Colored Girls Who Have Considered Suicide - When the Rainbow Was Enuf""",,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18w59s8,Ephemera Collection,,1982,1982,13.1939,59.5432,"Booklet with the program and cast information for the play ""For Colored Girls"" with the subtitle ""who have considered suicide - when the rainbow was enuf"" by Ntozoke Shange. The play was presented by the Stage One Theatre Productions at the Steel Shed, Queen's Park, on January 27-31 and February 1, 1982.",21.5 cm x 15.3 cm,4 pages,,theater programs|~|booklets,,Collection C320|~|Box T|~|Folder 7,Stage One Theatre Productions,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Theater|~|Drama|~|Socioeconomic conditions and development -- Social justice|~|Women,Saint Michael (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz12v486n/manifest
ark:/21198/z12z2zh7,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,Slave Society in the City Book Launch Invitation,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pz75bz,Ephemera Collection,,"September 2, 2003",2003-09-02,13.1939,59.5432,"Invitation to the book launch of Slave Society in the City: Bridgetown, Barbados 1680-1834 by Dr. Pedro L.V. Welch, held at the Arts Lecture Theatre University of the West Indies, Cave Hill Campus. This book seeks to explain the way slave societies functioned in the Caribbean. The book provides a comparison between urban and rural slave societies, an analysis of several areas of urban social formation, demographic issues, trade and commerce, gender issues, and social and economic issues in the free coloured communities.",10.7 cm x 14 cm,1 page,,invitations,,Collection C319|~|Box A-B|~|Folder 15,"University of the West Indies (Cave Hill, Barbados)",,,Barbados,"University of the West Indies (Cave Hill, Barbados)",Barbados Department of Archives,text,public domain,Barbados Department of Archives,,"Books|~|Events|~|Slavery--West Indies|~|Colonial cities|~|Port cities|~|Community development, Urban",Saint Michael (Barbados),21st Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz12z2zh7/manifest
ark:/21198/z12z2zjp,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,"Service for the State Funeral of the Hon. David J. H. Thompson, Q.C., M.P.",,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bg4jzh,Ephemera Collection,,"November 3, 2010",2010-11-03,13.1939,59.5432,"Booklet for the funeral service of the Hon. David J. H. Thompson, Q.C., M.P., Prime Minister of Barbados from 2008 to 2010. The funeral service was held at the Kensingston Oval at 9:30 am.",14 x 22 cm,26 pages,,Program booklets|~|Memorial service programs,,Collection C319|~|Box D-F,Government of Barbados.,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Funerals|~|Funeral service,Saint Michael (Barbados),21st Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz12z2zjp/manifest
ark:/21198/z12z2zk4,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,"""A Raisin in the Sun""",,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1321s9f,Ephemera Collection,,October 1967,1967-10,13.1939,59.5432,"Booklet with the program and cast information for the play ""A Raisin in the Sun"" by Lorraine Hansberry, presented by the Barbados National Theatre Workshop at the Civic Theatre, Queen's House, Queen's Park, on October 23-27, 1967.",24.3 cm x 16.7 cm,11 pages,,theater programs|~|booklets,,Collection C320|~|Box T|~|Folder 4,Barbados National Theatre Workshop,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Theater|~|Drama,Saint Michael (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz12z2zk4/manifest
ark:/21198/z1321nxv,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,Invitation and Program for the Launching of The Ombudsman: Caribbean and International Perspectives,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vx2c3m,Ephemera Collection,,"January 26, 1994",1994-01-26,13.1939,59.5432,"Invitation to and program of events for book launching held on January 26, 1994 at the Law Faculty Conference Room, UWI, Cavehill Campus.",21.5 cm x 14 cm,3 pages,,programs (documents),,Collection C319|~|Box A-B|~|Folder 15,Institute of Social and Economic Research (Eastern Caribbean),,,Barbados,Institute of Social and Economic Research (Eastern Caribbean),Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Books|~|Events,Saint Michael (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1321nxv/manifest
ark:/21198/z1321nz9,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,Miriamy,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1md0vqc,Ephemera Collection,,1971,1905-05-24,13.1939,59.5432,"""Miriamy"" was a West Indian play in three acts written by Frank Pilgrim. This play was produced by the Harrison College Dramatic Society and was held on March 18, 19 and 20, 1971 in the school hall.",28 cm x 10.9 cm,5 pages,,programs (documents),,Box Ci-Cz|~|Folder 2,Harrison College Dramatic Society,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Drama|~|Theatre|~|Events|~|School music--Instruction and study--Activity programs,Saint Michael (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1321nz9/manifest
ark:/21198/z1321p05,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,Service of Thanksgiving: Cecil Beaumont Williams,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pv8g7p,Ephemera Collection,,"September 30, 1998",1998-09-30,13.1939,59.5432,"Booklet for the funeral service of Cecil Beaumont Williams, late of ""Moonshine Hall"", St. George, held at James Street Methodist Church, St. Michael, on September 30, 1998, at 4:30 pm.",14 x 22 cm,12 pages,,Program booklets|~|Memorial service programs,,Collection C319|~|Box D-F,,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Funerals|~|Funeral service,Saint Michael (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1321p05/manifest
ark:/21198/z1321p1m,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,Ceremony for the Dedication of National Heroes Square,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bs0p97,Ephemera Collection,,"April 28, 1999",1999-04-28,13.1939,59.5432,"Booklet with the program of activities for the ceremony for the dedication of the National Heroes Square on April 28, 1999 in Bridgetown.",20.7 cm x 14.6 cm,6 pages,,Program booklets|~|Event programs,,Collection C319|~|Box KQ|~|Folder 7,Government of Barbados,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Ceremonies|~|Dedication ceremonies|~|War memorials,Saint Michael (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1321p1m/manifest
ark:/21198/z1350cc1,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,Papageno,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19040f1,Ephemera Collection,,"May 29, 1969",1969-05-29,13.1939,59.5432,"Program for ""Papageno,"" a musical concert adapted from Mozart's opera ""The Magic Flute"" by Michael Diack. The concert, presented by the Girls' Foundation School choir, was part of the ""Mozart Festival"" held at the Girls Foundation School on May 29, 1969.",21.6 cm x 17.7 cm,4 pages,,programs (documents),,Box Ci-Cz|~|Folder 1,Girls' Foundation School,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Concerts|~|Opera|~|Choral Societies,Christ Church (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1350cc1/manifest
ark:/21198/z1350cdg,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,13th Annual General Meeting of the Museums Association of the Carribean,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1738n1f,Ephemera Collection,,October 2001,2001-10,13.1939,59.5432,"Brochure for the 13th Annual General Meeting of the Museums Association of the Caribbean that was hosted by the Turks and Caicos National Museum, Turks and Caicos Islands, in October 23-27, 2001.",21.6 cm x 9.5 cm,6 pages,,Brochures|~|Meeting materials|~|Meeting ephemera,,Collection C319|~|Box KQ|~|Folder 5,Museums Association of the Caribbean,,,Turks and Caicos,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Meetings|~|Associations|~|Museum networks|~|Museums,Turks & Caicos Islands,21st Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1350cdg/manifest
ark:/21198/z1350cfx,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,"Dinner in Honour of the Visit of His Royal Highness The Prince Philip, Duke of Edinburgh",,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19p4xzt,Ephemera Collection,,"November 13, 1964",1964-11-13,13.1939,59.5432,"Booklet containing the menu, sitting arrangement, and program of music during the dinner held in honor of Philip, Duke of Edinburgh at the Government House on November 13, 1964.",17 cm x 12 cm,4 pages,,programs (documents)|~|booklets,,Collection C320|~|Box RS|~|Folder 11,Government of Barbados,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,"Menus|~|Dinners and dining|~|Music|~|Commonwealth countries|~|West Indies, British--Politics and government|~|Visits of state|~|Royal households--Great Britain",Saint Michael (Barbados),20th Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1350cfx/manifest
ark:/21198/z13792pf,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,Carivista: Programme of Events,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vb04jx,Ephemera Collection,,1998,1998,13.1939,59.5432,"Program of events for the Caribbean Festival of Visual Arts, held on 20 November to 7 December, 1998 in Barbados.",23.5 cm x 10.5 cm,4 pages,,programs (documents),,Collection C319|~|Box A-B|~|Folder 9,National Cultural Foundation,,,,National Cultural Foundation,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,"Performing arts festivals|~|Arts, Caribbean",,,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz13792pf/manifest
ark:/21198/z13792qw,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,CubaFest: Festival Program,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ng6mgm,Ephemera Collection,,2005,2005,13.1939,59.5432,"Brochure with the schedule of various events (film, dance, singing) during CubaFest held from September 28, 2005 to October 4, 2005.",14.5 x 22 cm,4 pages,,Brochures|~|Event programs,,Collection C319|~|Box D-F,Cuban Film Institute (ICAIC),,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Festivals|~|Dance festivals|~|Film festivals|~|Music|~|Singing,Christ Church (Barbados),21st Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz13792qw/manifest
ark:/21198/z13792rb,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,Lawrence T Gay Memorial School - Disciplinary Code 2012,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xm0btc,Ephemera Collection,,2012,2012,13.1939,59.5432,"Booklet containing the disciplinary code of the Lawrence T. Gay Memorial School for the year of 2012. The code details the teacher's role, ancillary staff's role, student's role and parent's role, and outlines various violations. The school's motto was ""The Journey Upwards Depends Upon Today's Climbing."" The school is located at ""Woodstock"", Spooners Hill.",21.7 cm x 14 cm,16 pages,,booklets,,Collection C320|~|Box RS|~|Folder 7,Lawrence T Gay Memorial School,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,"Schools|~|School catalogs|~|School discipline--handbooks, manuals, etc.",Saint Michael (Barbados),21st Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz13792rb/manifest
ark:/21198/z13b7s5p,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,"Barbados National Bank Crop Over Opening Gala: ""Treat Your Senses""",,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jx0bzv,Ephemera Collection,,"July 13, 2002",2002-07-13,13.1939,59.5432,"Invitation from the National Cultural Foundation for the Barbados National Bank Crop Over Opening Gala, held on Saturday, July 13, 2002, at Queen's Park Grounds. Crop Over is a four month-long festival held between the months of May and August. This festival showcases Barbadian music, art, food and culture. The festival ends with a grand carnival parade, known as Kadooment Day, which is held on the first Monday in the month of August.",23 cm x 10 cm,1 page,,invitations,,Collection C319|~|Box A-B|~|Folder 6,National Cultural Foundation,,,Barbados,National Cultural Foundation,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Carnival|~|Exhibitions|~|Folklore,Saint Michael (Barbados),21st Century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz13b7s5p/manifest
ark:/21198/z13b7s64,ark:/21198/z1rf7n15|~|ark:/21198/z13b7wpn,Work,Music Recital by the Sine Nomine Singers,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13n402s,Ephemera Collection,,"March 25, 1970",1970-03-25,13.1939,59.5432,"Music recital by the Sine Nomine Singers presenting Palestrina's Stabat Mater and Mozart's Requiem with soloists Alpha Humphries (Soprano), Doris Provencal (Contralto), David Mettee (Tenor), and Lloyd Brooks (Bass). The event was held at St. Michael's Cathedral on March 25, 1970 in aid of the St. Michael's Cathedral Choir Fund.",21.6 cm x 14 cm,8 pages,,programs (documents)|~|concert programs,,Collection C319|~|Box C-Ch,Sine Nomine Singers,,,Barbados,,Barbados Department of Archives,text,public domain,Barbados Department of Archives,,Church|~|Arts and culture -- Music|~|Concerts|~|Choirs (Music),Saint Michael (Barbados),20th century,paged,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz13b7s64/manifest
