Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Visibility,Type.typeOfResource,Rights.copyrightStatus,Language,Type.genre,Name.correspondent,Name.creator,Title,Alt ID.local,Relation.isPartOf,AltTitle.creator,AltTitle.descriptive,Date.creation,Alt ID.collection,Description.note,Publisher.placeOfOrigin,Coverage.geographic,Date.normalized,AltTitle.other,Format.medium,Bucketeer State,IIIF Access URL
Minasian Collection of Armenian Materials,ark:/21198/zz002gcq62,ark:/21198/zz002gcp4j,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_01_01_0018a.tif,31,,,,,text,unknown,,,,,"UCLA LSC, Collection 1632, Box 1, Folder 1, 18a",uclamss_1632_01_01_0018a,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gcq62
Minasian Collection of Armenian Materials,ark:/21198/zz002gcq7k,ark:/21198/zz002gcp4j,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_01_01_0018b.tif,32,,,,,text,unknown,,,,,"UCLA LSC, Collection 1632, Box 1, Folder 1, 18b",uclamss_1632_01_01_0018b,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gcq7k
Minasian Collection of Armenian Materials,ark:/21198/zz002gcq83,ark:/21198/zz002gcp4j,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_01_01_0018c.tif,33,,,,,text,unknown,,,,,"UCLA LSC, Collection 1632, Box 1, Folder 1, 18c",uclamss_1632_01_01_0018c,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gcq83
Minasian Collection of Armenian Materials,ark:/21198/zz002gcqb4,ark:/21198/zz002gcq9m,2,Completed,Page,minasiancorr/image/uclamss_1632_01_02_0019.tif,1,,,,,text,unknown,,,"Abcar, Grigor",,"UCLA LSC, Collection 1632, Box 1, Folder 2, 19",uclamss_1632_01_02_0019,,Grigor Abkar,Grigor Abcar letter,,,Correspondence. Letter from Grigor Abkar to Mkrtum Abkarean.,"Tehran, Iran",,1882-11-30,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gcqb4
Minasian Collection of Armenian Materials,ark:/21198/zz002gcqcn,ark:/21198/zz002gcq9m,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_01_02_0019back.tif,2,,,,,text,unknown,,,,,"UCLA LSC, Collection 1632, Box 1, Folder 2, 19 back",uclamss_1632_01_02_0019back,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gcqcn
Minasian Collection of Armenian Materials,ark:/21198/zz002gcqfp,ark:/21198/zz002gcqd5,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_01_03_0020.tif,1,,,,,text,unknown,,,,,"UCLA LSC, Collection 1632, Box 1, Folder 3, 20",uclamss_1632_01_03_0020,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gcqfp
Minasian Collection of Armenian Materials,ark:/21198/zz002gcqg6,ark:/21198/zz002gcqd5,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_01_03_0021.tif,2,,,,,text,unknown,,,,,"UCLA LSC, Collection 1632, Box 1, Folder 3, 21",uclamss_1632_01_03_0021,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gcqg6
Minasian Collection of Armenian Materials,ark:/21198/zz002gcqhq,ark:/21198/zz002gcqd5,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_01_03_0022.tif,3,,,,,text,unknown,,,,,"UCLA LSC, Collection 1632, Box 1, Folder 3, 22",uclamss_1632_01_03_0022,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gcqhq
Minasian Collection of Armenian Materials,ark:/21198/zz002gcqj7,ark:/21198/zz002gcqd5,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_01_03_0023.tif,4,,,,,text,unknown,,,,,"UCLA LSC, Collection 1632, Box 1, Folder 3, 23",uclamss_1632_01_03_0023,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gcqj7
Minasian Collection of Armenian Materials,ark:/21198/zz002gcqkr,ark:/21198/zz002gcqd5,10,Completed with minimal metadata,Page,minasiancorr/image/uclamss_1632_01_03_0024.tif,5,,,,,text,unknown,,,,,"UCLA LSC, Collection 1632, Box 1, Folder 3, 24",uclamss_1632_01_03_0024,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002gcqkr
