Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Type.typeOfResource,Subject,Type.genre,Language,Name.editor,Name.engraver,Title,Relation.rectoVerso,Relation.pageNumber,Description.note,Source,Relation.isPartOf,Alt ID.local,Date.normalized,Publisher.publisherName,Format.extent,Publisher.placeOfOrigin,Date.creation,Format.dimensions,Description.tableOfContents,Alt ID.oclc,AltTitle.uniform,AltTitle.inscribed,Relation.hasPart,Name.printer,Name.illustrator,Rights.copyrightStatus,Bucketeer State,IIIF Access URL
Picart (Bernard) Collection,ark:/21198/zz001hd8kz,ark:/21198/zz001hd85r,2,Completed,Page,picart/masters/21198-zz001hd8kz-1-master.tif,12,,,text|~|still image,,,,,,front matter ii,v,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hd8kz
Picart (Bernard) Collection,ark:/21198/zz001hd8mg,ark:/21198/zz001hd85r,2,Completed,Page,picart/masters/21198-zz001hd8mg-1-master.tif,13,,,text,,,,,,front matter iii,r,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hd8mg
Picart (Bernard) Collection,ark:/21198/zz001hd8n0,ark:/21198/zz001hd85r,2,Completed,Page,picart/masters/21198-zz001hd8n0-1-master.tif,14,,,text,,,,,,front matter iv,v,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hd8n0
Picart (Bernard) Collection,ark:/21198/zz001hd8ph,ark:/21198/zz001hd85r,2,Completed,Page,picart/masters/21198-zz001hd8ph-1-master.tif,15,,,text,,,,,,page 1,r,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hd8ph
Picart (Bernard) Collection,ark:/21198/zz001hd8q1,ark:/21198/zz001hd85r,2,Completed,Page,picart/masters/21198-zz001hd8q1-1-master.tif,16,,,text,,,,,,page 2,v,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hd8q1
Picart (Bernard) Collection,ark:/21198/zz001hd8rj,ark:/21198/zz001hd85r,2,Completed,Page,picart/masters/21198-zz001hd8rj-1-master.tif,17,,,text,,,,,,page 3,r,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hd8rj
Picart (Bernard) Collection,ark:/21198/zz001hd8s2,ark:/21198/zz001hd85r,2,Completed,Page,picart/masters/21198-zz001hd8s2-1-master.tif,18,,,text,,,,,,page 4,v,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hd8s2
Picart (Bernard) Collection,ark:/21198/zz001hd8tk,ark:/21198/zz001hd85r,2,Completed,Page,picart/masters/21198-zz001hd8tk-1-master.tif,19,,,text,,,,,,page 5,r,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hd8tk
Picart (Bernard) Collection,ark:/21198/zz001hd8v3,ark:/21198/zz001hd85r,2,Completed,Page,picart/masters/21198-zz001hd8v3-1-master.tif,20,,,text,,,,,,page 6,v,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hd8v3
Picart (Bernard) Collection,ark:/21198/zz001hd8wm,ark:/21198/zz001hd85r,2,Completed,Page,picart/masters/21198-zz001hd8wm-1-master.tif,21,,,text|~|still image,,,,,,page 7,r,,potted plant,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hd8wm
Picart (Bernard) Collection,ark:/21198/zz001hd8x4,ark:/21198/zz001hd85r,2,Completed,Page,picart/masters/21198-zz001hd8x4-1-master.tif,22,,,text,,,,,,page 8,v,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hd8x4
Picart (Bernard) Collection,ark:/21198/zz001hd8zn,ark:/21198/zz001hd85r,2,Completed,Page,picart/masters/21198-zz001hd8zn-1-master.tif,23,,,text,,,,,,page 9,r,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hd8zn
Picart (Bernard) Collection,ark:/21198/zz001hd90n,ark:/21198/zz001hd85r,2,Completed,Page,picart/masters/21198-zz001hd90n-1-master.tif,24,,,text,,,,,,page 10,v,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hd90n
Picart (Bernard) Collection,ark:/21198/zz001hd915,ark:/21198/zz001hd85r,2,Completed,Page,picart/masters/21198-zz001hd915-1-master.tif,25,,,text,,,,,,page 11,r,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hd915
Picart (Bernard) Collection,ark:/21198/zz001hd92p,ark:/21198/zz001hd85r,2,Completed,Page,picart/masters/21198-zz001hd92p-1-master.tif,26,,,text,,,,,,page 12,v,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hd92p
Picart (Bernard) Collection,ark:/21198/zz001hd936,ark:/21198/zz001hd85r,2,Completed,Page,picart/masters/21198-zz001hd936-1-master.tif,27,,,text,,,,,,page 13,r,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hd936
Picart (Bernard) Collection,ark:/21198/zz001hd94q,ark:/21198/zz001hd85r,2,Completed,Page,picart/masters/21198-zz001hd94q-1-master.tif,28,,,text,,,,,,page 14,v,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hd94q
Picart (Bernard) Collection,ark:/21198/zz001hd957,ark:/21198/zz001hd85r,2,Completed,Page,picart/masters/21198-zz001hd957-1-master.tif,29,,,text,,,,,,page 15,r,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hd957
Picart (Bernard) Collection,ark:/21198/zz001hd96r,ark:/21198/zz001hd85r,2,Completed,Page,picart/masters/21198-zz001hd96r-1-master.tif,30,,,text,,,,,,page 16,v,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hd96r
Picart (Bernard) Collection,ark:/21198/zz001hd978,ark:/21198/zz001hd85r,2,Completed,Page,picart/masters/21198-zz001hd978-1-master.tif,31,,,text,,,,,,page 17,r,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hd978
Picart (Bernard) Collection,ark:/21198/zz001hd98s,ark:/21198/zz001hd85r,2,Completed,Page,picart/masters/21198-zz001hd98s-1-master.tif,32,,,text,,,,,,page 18,v,,potted plant,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hd98s
Picart (Bernard) Collection,ark:/21198/zz001hd999,ark:/21198/zz001hd85r,2,Completed,Page,picart/masters/21198-zz001hd999-1-master.tif,33,,,text,,,,,,page 19,r,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hd999
Picart (Bernard) Collection,ark:/21198/zz001hd9bt,ark:/21198/zz001hd85r,2,Completed,Page,picart/masters/21198-zz001hd9bt-1-master.tif,34,,,text,,,,,,page 20,v,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hd9bt
Picart (Bernard) Collection,ark:/21198/zz001hd9cb,ark:/21198/zz001hd85r,2,Completed,Page,picart/masters/21198-zz001hd9cb-1-master.tif,35,,,text|~|still image,,,,,,page 21,r,,potted plant,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hd9cb
Picart (Bernard) Collection,ark:/21198/zz001hd9dv,ark:/21198/zz001hd85r,2,Completed,Page,picart/masters/21198-zz001hd9dv-1-master.tif,36,,,text,,,,,,page 22,v,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hd9dv
Picart (Bernard) Collection,ark:/21198/zz001hd9fc,ark:/21198/zz001hd85r,2,Completed,Page,picart/masters/21198-zz001hd9fc-1-master.tif,37,,,text,,,,,,page 23,r,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hd9fc
Picart (Bernard) Collection,ark:/21198/zz001hd9gw,ark:/21198/zz001hd85r,2,Completed,Page,picart/masters/21198-zz001hd9gw-1-master.tif,38,,,text,,,,,,page 24,v,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hd9gw
Picart (Bernard) Collection,ark:/21198/zz001hd9hd,ark:/21198/zz001hd85r,2,Completed,Page,picart/masters/21198-zz001hd9hd-1-master.tif,39,,,text,,,,,,page 25,r,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hd9hd
Picart (Bernard) Collection,ark:/21198/zz001hd9jx,ark:/21198/zz001hd85r,2,Completed,Page,picart/masters/21198-zz001hd9jx-1-master.tif,40,,,text,,,,,,page 26,v,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hd9jx
Picart (Bernard) Collection,ark:/21198/zz001hd9kf,ark:/21198/zz001hd85r,2,Completed,Page,picart/masters/21198-zz001hd9kf-1-master.tif,41,,,text,,,,,,page 27,r,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hd9kf
Picart (Bernard) Collection,ark:/21198/zz001hd9mz,ark:/21198/zz001hd85r,2,Completed,Page,picart/masters/21198-zz001hd9mz-1-master.tif,42,,,text,,,,,,page 28,v,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hd9mz
Picart (Bernard) Collection,ark:/21198/zz001hd9ng,ark:/21198/zz001hd85r,2,Completed,Page,picart/masters/21198-zz001hd9ng-1-master.tif,43,,,text,,,,,,page 29 (marked 33),r,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hd9ng
Picart (Bernard) Collection,ark:/21198/zz001hd9p0,ark:/21198/zz001hd85r,2,Completed,Page,picart/masters/21198-zz001hd9p0-1-master.tif,44,,,text,,,,,,page 30 (marked 34),v,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hd9p0
Picart (Bernard) Collection,ark:/21198/zz001hd9qh,ark:/21198/zz001hd85r,2,Completed,Page,picart/masters/21198-zz001hd9qh-1-master.tif,45,,,text,,,,,,page 31 (marked 35),r,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hd9qh
Picart (Bernard) Collection,ark:/21198/zz001hd9r1,ark:/21198/zz001hd85r,2,Completed,Page,picart/masters/21198-zz001hd9r1-1-master.tif,46,,,text,,,,,,page 32,v,,,,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001hd9r1
