Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Visibility,viewingHint,Type.typeOfResource,Rights.copyrightStatus,Name.sponsor,Name.subject,Name.publisher,Rights.servicesContact,Subject.conceptTopic,Type.genre,Language,Name.repository,Name.designer,Subject.uniformTitle,Name.photographer,Name.creator,Subject.geographicPlace,Coverage.geographic,Description.note,Date.normalized,Publisher.placeOfOrigin,Title,Date.creation,Alt ID.local,Format.extent,Description.caption,AltTitle.parallel,AltTitle.other,Publisher.publisherName,Opac url,Finding Aid URL,Bucketeer State,IIIF Access URL
Ethiopian Posters,ark:/21198/zz002hhp6s/2h32854f,ark:/21198/zz002hhp6s,,,Page,ethiopian_posters/image/ucla_1922_box04_folder013_004.tif,1,,,,private,,,,,,,,,,,,,,,,,,,,,Front,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hhp6s%2F2h32854f
Ethiopian Posters,ark:/21198/zz002hhp6s/4104md0x,ark:/21198/zz002hhp6s,,,Page,ethiopian_posters/image/ucla_1922_box04_folder013_004a.tif,2,,,,private,,,,,,,,,,,,,,,,,,,,,Back,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hhp6s%2F4104md0x
Ethiopian Posters,ark:/21198/zz002hhp8t/9b350n7x,ark:/21198/zz002hhp8t,,,Page,ethiopian_posters/image/ucla_1922_box04_folder013_005.tif,1,,,,private,,,,,,,,,,,,,,,,,,,,,Front,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hhp8t%2F9b350n7x
Ethiopian Posters,ark:/21198/zz002hhp8t/ps84wg2f,ark:/21198/zz002hhp8t,,,Page,ethiopian_posters/image/ucla_1922_box04_folder013_005a.tif,2,,,,private,,,,,,,,,,,,,,,,,,,,,Back,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hhp8t%2Fps84wg2f
Ethiopian Posters,ark:/21198/zz002hhpbv/cs798h91,ark:/21198/zz002hhpbv,,,Page,ethiopian_posters/image/ucla_1922_box04_folder013_006a.tif,2,,,,private,,,,,,,,,,,,,,,,,,,,,Back,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hhpbv%2Fcs798h91
Ethiopian Posters,ark:/21198/zz002hhpbv/vj59kv9g,ark:/21198/zz002hhpbv,,,Page,ethiopian_posters/image/ucla_1922_box04_folder013_006.tif,1,,,,private,,,,,,,,,,,,,,,,,,,,,Front,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hhpbv%2Fvj59kv9g
Ethiopian Posters,ark:/21198/zz002hhpdw/n502dr9z,ark:/21198/zz002hhpdw,,,Page,ethiopian_posters/image/ucla_1922_box04_folder013_007.tif,1,,,,private,,,,,,,,,,,,,,,,,,,,,Front,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hhpdw%2Fn502dr9z
Ethiopian Posters,ark:/21198/zz002hhpdw/t617hg8t,ark:/21198/zz002hhpdw,,,Page,ethiopian_posters/image/ucla_1922_box04_folder013_007a.tif,2,,,,private,,,,,,,,,,,,,,,,,,,,,Back,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hhpdw%2Ft617hg8t
Ethiopian Posters,ark:/21198/zz002hht0m/dq648j1x,ark:/21198/zz002hht0m,,,Page,ethiopian_posters/image/ucla_1922_box04_folder022_004.tif,1,,,,private,,,,,,,,,,,,,,,,,,,,,Front,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hht0m%2Fdq648j1x
Ethiopian Posters,ark:/21198/zz002hht0m/w049657v,ark:/21198/zz002hht0m,,,Page,ethiopian_posters/image/ucla_1922_box04_folder022_004a.tif,2,,,,private,,,,,,,,,,,,,,,,,,,,,Back,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hht0m%2Fw049657v
Ethiopian Posters,ark:/21198/zz002hp6jf/5b03c536,ark:/21198/zz002hp6jf,,,Page,ethiopian_posters/image/ucla_1922_box06_folder019_001.tif,1,,,,private,,,,,,,,,,,,,,,,,,,,,Front,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hp6jf%2F5b03c536
Ethiopian Posters,ark:/21198/zz002hp6jf/x155b750,ark:/21198/zz002hp6jf,,,Page,ethiopian_posters/image/ucla_1922_box06_folder019_001back.tif,2,,,,private,,,,,,,,,,,,,,,,,,,,,Back,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hp6jf%2Fx155b750
Ethiopian Posters,ark:/21198/zz002hp81n/6p68wk5h,ark:/21198/zz002hp81n,,,Page,ethiopian_posters/image/ucla_1922_box07_folder007_001back.tif,2,,,,private,,,,,,,,,,,,,,,,,,,,,Back,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hp81n%2F6p68wk5h
Ethiopian Posters,ark:/21198/zz002hp81n/6r07bn4n,ark:/21198/zz002hp81n,,,Page,ethiopian_posters/image/ucla_1922_box07_folder007_001.tif,1,,,,private,,,,,,,,,,,,,,,,,,,,,Front,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hp81n%2F6r07bn4n
Ethiopian Posters,ark:/21198/zz002hp83p/0017h79p,ark:/21198/zz002hp83p,,,Page,ethiopian_posters/image/ucla_1922_box07_folder007_002back.tif,2,,,,private,,,,,,,,,,,,,,,,,,,,,Back,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hp83p%2F0017h79p
Ethiopian Posters,ark:/21198/zz002hp83p/j525x80z,ark:/21198/zz002hp83p,,,Page,ethiopian_posters/image/ucla_1922_box07_folder007_002.tif,1,,,,private,,,,,,,,,,,,,,,,,,,,,Front,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002hp83p%2Fj525x80z
