==> 21198zz0009gxbj_pages.csv <==
Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Language,Subject,Name.repository,Name.creator,Title,Relation.rectoVerso,Date.creation,Relation.isPartOf,Alt ID.local,AltTitle.uniform,Description.note,Format.dimensions,Relation.textDirection,Description.abstract,Coverage.geographic,Relation.leafNumber,Date.normalized,Publisher.placeOfOrigin,Format.medium,Publisher.publisherName,Format.extent,Relation.pageNumber,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Medieval and Renaissance Manuscripts,ark:/21198/zz000s8dn2,ark:/21198/zz000s8dmj,2,Completed,Page,medren/masters/21198-zz000s8dn2-1-master.tif,1,,,,,,,,,,pd,,,,,1,r,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s8dn2,

==> 21198zz000s991r_pages.csv <==
Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Language,Subject,Name.repository,Name.creator,Title,Relation.rectoVerso,Date.creation,Relation.isPartOf,Alt ID.local,AltTitle.uniform,Description.note,Format.dimensions,Relation.textDirection,Description.abstract,Coverage.geographic,Relation.leafNumber,Date.normalized,Publisher.placeOfOrigin,Format.medium,Publisher.publisherName,Format.extent,Relation.pageNumber,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Medieval and Renaissance Manuscripts,ark:/21198/zz000s9928,ark:/21198/zz000s991r,2,Completed,Page,medren/masters/21198-zz000s9928-1-master.tif,1,,,,,,,,,,pd,,,,,1,r,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s9928,

==> 21198zz000s9fhx_pages.csv <==
Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Language,Subject,Name.repository,Name.creator,Title,Relation.rectoVerso,Date.creation,Relation.isPartOf,Alt ID.local,AltTitle.uniform,Description.note,Format.dimensions,Relation.textDirection,Description.abstract,Coverage.geographic,Relation.leafNumber,Date.normalized,Publisher.placeOfOrigin,Format.medium,Publisher.publisherName,Format.extent,Relation.pageNumber,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Medieval and Renaissance Manuscripts,ark:/21198/zz000s9g2p,ark:/21198/zz000s9fhx,2,Completed,Page,medren/masters/21198-zz000s9g2p-1-master.tif,1,,,,,,,,,,pd,,,,,1,r,,,,,"Bound in dark blue velvet over pasteboards, front and back detached, edges gilt, red watered silk endleaves. Top and other(?) margins trimmed.",,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s9g2p,

==> 21198zz000s9q3k_pages.csv <==
Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Language,Subject,Name.repository,Name.creator,Title,Relation.rectoVerso,Date.creation,Relation.isPartOf,Alt ID.local,AltTitle.uniform,Description.note,Format.dimensions,Relation.textDirection,Description.abstract,Coverage.geographic,Relation.leafNumber,Date.normalized,Publisher.placeOfOrigin,Format.medium,Publisher.publisherName,Format.extent,Relation.pageNumber,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Medieval and Renaissance Manuscripts,ark:/21198/zz000s9q43,ark:/21198/zz000s9q3k,2,Completed,Page,medren/masters/21198-zz000s9q43-1-master.tif,1,,,,,,,,,,pd,,,,,1,r,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s9q43,

==> 21198zz000sb7hg_pages.csv <==
Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Language,Subject,Name.repository,Name.creator,Title,Relation.rectoVerso,Date.creation,Relation.isPartOf,Alt ID.local,AltTitle.uniform,Description.note,Format.dimensions,Relation.textDirection,Description.abstract,Coverage.geographic,Relation.leafNumber,Date.normalized,Publisher.placeOfOrigin,Format.medium,Publisher.publisherName,Format.extent,Relation.pageNumber,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Medieval and Renaissance Manuscripts,ark:/21198/zz000sb7j0,ark:/21198/zz000sb7hg,2,Completed,Page,medren/masters/21198-zz000sb7j0-1-master.tif,1,,,,,,,,,,pd,,,,,1,r,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sb7j0,

==> 21198zz000sc3v5_pages.csv <==
Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Language,Subject,Name.repository,Name.creator,Title,Relation.rectoVerso,Date.creation,Relation.isPartOf,Alt ID.local,AltTitle.uniform,Description.note,Format.dimensions,Relation.textDirection,Description.abstract,Coverage.geographic,Relation.leafNumber,Date.normalized,Publisher.placeOfOrigin,Format.medium,Publisher.publisherName,Format.extent,Relation.pageNumber,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Medieval and Renaissance Manuscripts,ark:/21198/zz000sc3wp,ark:/21198/zz000sc3v5,2,Completed,Page,medren/masters/21198-zz000sc3wp-1-master.tif,1,,,,,,,,,,pd,,,,,1,r,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sc3wp,

==> 21198zz000sd9gt_pages.csv <==
Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Language,Subject,Name.repository,Name.creator,Title,Relation.rectoVerso,Date.creation,Relation.isPartOf,Alt ID.local,AltTitle.uniform,Description.note,Format.dimensions,Relation.textDirection,Description.abstract,Coverage.geographic,Relation.leafNumber,Date.normalized,Publisher.placeOfOrigin,Format.medium,Publisher.publisherName,Format.extent,Relation.pageNumber,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Medieval and Renaissance Manuscripts,ark:/21198/zz000sd9hb,ark:/21198/zz000sd9gt,2,Completed,Page,medren/masters/21198-zz000sd9hb-1-master.tif,1,,,,,,,,,,pd,,,,,MS 3 folio 1,r,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sd9hb,

==> 21198zz000sdcsf_pages.csv <==
Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Language,Subject,Name.repository,Name.creator,Title,Relation.rectoVerso,Date.creation,Relation.isPartOf,Alt ID.local,AltTitle.uniform,Description.note,Format.dimensions,Relation.textDirection,Description.abstract,Coverage.geographic,Relation.leafNumber,Date.normalized,Publisher.placeOfOrigin,Format.medium,Publisher.publisherName,Format.extent,Relation.pageNumber,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Medieval and Renaissance Manuscripts,ark:/21198/zz000sdctz,ark:/21198/zz000sdcsf,2,Completed,Page,medren/masters/21198-zz000sdctz-1-master.tif,1,,,,,,,,,,pd,,,,,Coll. 170. Ms. 351. Page 1,r,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sdctz,

==> 21198zz000sdstr_pages.csv <==
Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Language,Subject,Name.repository,Name.creator,Title,Relation.rectoVerso,Date.creation,Relation.isPartOf,Alt ID.local,AltTitle.uniform,Description.note,Format.dimensions,Relation.textDirection,Description.abstract,Coverage.geographic,Relation.leafNumber,Date.normalized,Publisher.placeOfOrigin,Format.medium,Publisher.publisherName,Format.extent,Relation.pageNumber,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Medieval and Renaissance Manuscripts,ark:/21198/zz000sdsv8,ark:/21198/zz000sdstr,2,Completed,Page,medren/masters/21198-zz000sdsv8-1-master.tif,1,,,,,,,,,,pd,,,,,Coll. 170. Ms. 21. Page 1,r,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sdsv8,

==> 21198zz000sfc84_pages.csv <==
Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Language,Subject,Name.repository,Name.creator,Title,Relation.rectoVerso,Date.creation,Relation.isPartOf,Alt ID.local,AltTitle.uniform,Description.note,Format.dimensions,Relation.textDirection,Description.abstract,Coverage.geographic,Relation.leafNumber,Date.normalized,Publisher.placeOfOrigin,Format.medium,Publisher.publisherName,Format.extent,Relation.pageNumber,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Medieval and Renaissance Manuscripts,ark:/21198/zz000sfc9n,ark:/21198/zz000sfc84,2,Completed,Page,medren/masters/21198-zz000sfc9n-1-master.tif,1,,,,,,,,,,pd,,,,,MS 66 inside front cover,r,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sfc9n,

==> 21198zz000sh5j8_pages.csv <==
Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Language,Subject,Name.repository,Name.creator,Title,Relation.rectoVerso,Date.creation,Relation.isPartOf,Alt ID.local,AltTitle.uniform,Description.note,Format.dimensions,Relation.textDirection,Description.abstract,Coverage.geographic,Relation.leafNumber,Date.normalized,Publisher.placeOfOrigin,Format.medium,Publisher.publisherName,Format.extent,Relation.pageNumber,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Medieval and Renaissance Manuscripts,ark:/21198/zz002kkmxd,ark:/21198/zz000sh5j8,2,Completed,Page,,1,,,,,,,,,,,,,,,MS 52 front cover,,,,,,,,,,,,,,,,,,missing,,

==> 21198zz000sh7g6_pages.csv <==
Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Language,Subject,Name.repository,Name.creator,Title,Relation.rectoVerso,Date.creation,Relation.isPartOf,Alt ID.local,AltTitle.uniform,Description.note,Format.dimensions,Relation.textDirection,Description.abstract,Coverage.geographic,Relation.leafNumber,Date.normalized,Publisher.placeOfOrigin,Format.medium,Publisher.publisherName,Format.extent,Relation.pageNumber,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Medieval and Renaissance Manuscripts,ark:/21198/zz000sh7hq,ark:/21198/zz000sh7g6,2,Completed,Page,medren/masters/21198-zz000sh7hq-1-master.tif,1,,,,,,,,,,pd,,,,,Coll. 170. Ms. 85. pastedown marble paper,r,,,,,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sh7hq,

==> 21198zz000shg90_pages.csv <==
