"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Visibility","Type.typeOfResource","Rights.copyrightStatus","Language","Type.genre","Name.correspondent","Name.creator","Title","Alt ID.local","Relation.isPartOf","AltTitle.creator","AltTitle.descriptive","Date.creation","Alt ID.collection","Description.note","Publisher.placeOfOrigin","Coverage.geographic","Date.normalized","AltTitle.other","Format.medium","IIIF Manifest URL"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gpxt9","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","222","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 9, Folder 15","Box_9_Folder_15","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gpxt9/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gpz2d","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","223","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 9, Folder 16","Box_9_Folder_16","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gpz2d/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gpzf3","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","224","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 9, Folder 17","Box_9_Folder_17","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gpzf3/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gpzjn","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","225","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 9, Folder 18","Box_9_Folder_18","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gpzjn/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gq1nm","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","226","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 9, Folder 19","Box_9_Folder_19","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gq1nm/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gq45t","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","227","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 9, Folder 20","Box_9_Folder_20","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gq45t/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gq559","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","228","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 9, Folder 21","Box_9_Folder_21","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gq559/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gq7dw","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","229","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 9, Folder 22","Box_9_Folder_22","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gq7dw/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gq7nh","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","230","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 9, Folder 23","Box_9_Folder_23","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gq7nh/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gq7xn","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","231","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 9, Folder 24","Box_9_Folder_24","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gq7xn/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gq826","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","232","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 9, Folder 25","Box_9_Folder_25","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gq826/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gq8gd","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","233","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 9, Folder 26","Box_9_Folder_26","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gq8gd/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gq8tk","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","234","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 9, Folder 27","Box_9_Folder_27","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gq8tk/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gq915","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","235","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 9, Folder 28","Box_9_Folder_28","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gq915/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gq999","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","236","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 9, Folder 29","Box_9_Folder_29","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gq999/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gq9jx","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","237","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 9, Folder 30","Box_9_Folder_30","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gq9jx/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gqcgv","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","238","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 9, Folder 31","Box_9_Folder_31","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gqcgv/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gqcpz","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","239","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 9, Folder 32","Box_9_Folder_32","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gqcpz/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gqcw2","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","240","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 9, Folder 33","Box_9_Folder_33","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gqcw2/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gqdb8","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","241","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 9, Folder 34","Box_9_Folder_34","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gqdb8/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gqfmw","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","242","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 10, Folder 1","Box_10_Folder_1","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gqfmw/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gqh54","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","243","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 10, Folder 2","Box_10_Folder_2","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gqh54/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gqjrd","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","244","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 10, Folder 3","Box_10_Folder_3","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gqjrd/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gqm3j","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","245","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 10, Folder 4","Box_10_Folder_4","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gqm3j/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gqnpt","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","246","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 10, Folder 5","Box_10_Folder_5","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gqnpt/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gqqbm","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","247","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 10, Folder 6","Box_10_Folder_6","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gqqbm/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gqrd4","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","248","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 10, Folder 7","Box_10_Folder_7","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gqrd4/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gqsf4","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","249","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 10, Folder 8","Box_10_Folder_8","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gqsf4/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gqt0w","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","250","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 10, Folder 9","Box_10_Folder_9","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gqt0w/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gqxws","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","251","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 10, Folder 10","Box_10_Folder_10","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gqxws/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gqzfj","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","252","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 10, Folder 11","Box_10_Folder_11","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gqzfj/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gr039","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","253","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 10, Folder 12","Box_10_Folder_12","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gr039/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gr6qh","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","254","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 10, Folder 13","Box_10_Folder_13","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gr6qh/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gr945","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","255","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 10, Folder 14","Box_10_Folder_14","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gr945/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002grd0j","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","256","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 10, Folder 15","Box_10_Folder_15","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002grd0j/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002grfsx","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","257","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 10, Folder 16","Box_10_Folder_16","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002grfsx/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002grgwz","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","258","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 10, Folder 17","Box_10_Folder_17","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002grgwz/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002grhqv","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","259","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 10, Folder 18","Box_10_Folder_18","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002grhqv/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002grj10","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","260","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 10, Folder 19","Box_10_Folder_19","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002grj10/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002grjpt","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","261","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 10, Folder 20","Box_10_Folder_20","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002grjpt/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002grpzw","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","262","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 11, Folder 1","Box_11_Folder_1","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002grpzw/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002grtn5","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","263","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 11, Folder 2","Box_11_Folder_2","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002grtn5/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002grtzt","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","264","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 11, Folder 3","Box_11_Folder_3","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002grtzt/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002grxt6","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","265","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 11, Folder 4","Box_11_Folder_4","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002grxt6/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002grzn3","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","266","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 11, Folder 5","Box_11_Folder_5","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002grzn3/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002grztp","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","267","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 11, Folder 6","Box_11_Folder_6","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002grztp/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gs0hz","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","268","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 11, Folder 7","Box_11_Folder_7","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gs0hz/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gs0n1","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","269","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 11, Folder 8","Box_11_Folder_8","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gs0n1/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gs0q2","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","270","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 11, Folder 9","Box_11_Folder_9","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gs0q2/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gs0s3","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","271","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 11, Folder 10","Box_11_Folder_10","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gs0s3/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gs1gx","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","272","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 11, Folder 11","Box_11_Folder_11","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gs1gx/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gs1kg","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","273","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 11, Folder 12","Box_11_Folder_12","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gs1kg/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gs47r","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","274","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 11, Folder 13","Box_11_Folder_13","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gs47r/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gs4pg","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","275","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 11, Folder 14","Box_11_Folder_14","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gs4pg/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gs535","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","276","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 11, Folder 15","Box_11_Folder_15","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gs535/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gs5qg","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","277","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 11, Folder 16","Box_11_Folder_16","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gs5qg/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gs6v1","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","278","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 11, Folder 17","Box_11_Folder_17","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gs6v1/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gs76p","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","279","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 11, Folder 18","Box_11_Folder_18","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gs76p/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gs7c8","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","280","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 11, Folder 19","Box_11_Folder_19","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gs7c8/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gs844","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","281","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 11, Folder 20","Box_11_Folder_20","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gs844/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gs87p","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","282","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 11, Folder 21","Box_11_Folder_21","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gs87p/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gsb3k","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","283","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 11, Folder 22","Box_11_Folder_22","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gsb3k/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gsb85","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","284","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 11, Folder 23","Box_11_Folder_23","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gsb85/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gscrw","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","285","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 11, Folder 24","Box_11_Folder_24","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gscrw/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gsf52","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","286","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 11, Folder 25","Box_11_Folder_25","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gsf52/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gshf5","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","287","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 11, Folder 26","Box_11_Folder_26","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gshf5/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gskwv","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","288","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 11, Folder 27","Box_11_Folder_27","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gskwv/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gsmfm","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","289","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 11, Folder 28","Box_11_Folder_28","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gsmfm/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gsr7f","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","290","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 11, Folder 29","Box_11_Folder_29","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gsr7f/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gsthj","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","291","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 11, Folder 30","Box_11_Folder_30","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gsthj/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gstp4","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","292","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 12, Folder 1","Box_12_Folder_1","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gstp4/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gstw7","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","293","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 12, Folder 2","Box_12_Folder_2","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gstw7/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gsvh1","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","294","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 12, Folder 3","Box_12_Folder_3","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gsvh1/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gsvpm","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","295","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 12, Folder 4","Box_12_Folder_4","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gsvpm/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gswt5","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","296","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 12, Folder 5","Box_12_Folder_5","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gswt5/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gsz0q","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","297","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 12, Folder 6","Box_12_Folder_6","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gsz0q/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gt04q","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","298","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 12, Folder 7","Box_12_Folder_7","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gt04q/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gt1zm","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","299","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 12, Folder 8","Box_12_Folder_8","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gt1zm/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gt2t1","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","300","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 12, Folder 9","Box_12_Folder_9","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gt2t1/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gt9cp","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","301","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 12, Folder 10","Box_12_Folder_10","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gt9cp/manifest"
