"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Visibility","Type.typeOfResource","Rights.copyrightStatus","Language","Type.genre","Name.correspondent","Name.creator","Title","Alt ID.local","Relation.isPartOf","AltTitle.creator","AltTitle.descriptive","Date.creation","Alt ID.collection","Description.note","Publisher.placeOfOrigin","Coverage.geographic","Date.normalized","AltTitle.other","Format.medium","IIIF Manifest URL"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gfj6j","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","43","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 3, Folder 5","Box_3_Folder_5","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gfj6j/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gfkhp","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","44","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 3, Folder 6","Box_3_Folder_6","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gfkhp/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gfth2","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","45","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 3, Folder 7","Box_3_Folder_7","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gfth2/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gftpn","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","46","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 3, Folder 8","Box_3_Folder_8","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gftpn/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gfvqn","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","47","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 3, Folder 9","Box_3_Folder_9","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gfvqn/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gfzfz","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","48","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 3, Folder 10","Box_3_Folder_10","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gfzfz/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gg0wm","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","49","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 3, Folder 11","Box_3_Folder_11","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gg0wm/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gg2ct","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","50","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 3, Folder 12","Box_3_Folder_12","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gg2ct/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002gg87n","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","51","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 3, Folder 13","Box_3_Folder_13","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gg87n/manifest"
"Minasian Collection of Armenian Materials","ark:/21198/zz002ggd9m","ark:/21198/zz002bqkxt","10","Completed with minimal metadata","Work","","52","","","","","text","unknown","","","","","UCLA LSC, Collection 1632, Box 3, Folder 14","Box_3_Folder_14","","","","","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002ggd9m/manifest"
