"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","Rights.copyrightStatus","Language","Rights.publicationStatus","Subject.conceptTopic","Name.contributor","Type.genre","Title","Date.normalized","Date.creation","AltTitle.uniform","Alt ID.oclc","Description.note","Alt ID.OPAC","Publisher.placeOfOrigin","Publisher.publisherName","Format.extent","Alt ID.lccn","Relation.isPartOf"
"Organizacion Obrera, La","ark:/21198/zz00292q3d","ark:/21198/zz00292q0v","2","Completed","ChildWork","organ/image/21198-zz00292q3d_1964600_master.tif","3","","","","pd","","published","","","","page 3","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz00292q4x","ark:/21198/zz00292q0v","2","Completed","ChildWork","organ/image/21198-zz00292q4x_1964605_master.tif","4","","","","pd","","published","","","","page 4","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz00292q5f","ark:/21198/zz002kf3pr","10","Completed with minimal metadata","ChildWork","organ/pdf/21198-zz00292q5f-1-master.pdf","22","","","text","pd","","published","","","newspapers","Año 5, número 215. 7 enero 1922","01-07-1922","7 enero 1922","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz00292q6z","ark:/21198/zz00292q5f","2","Completed","ChildWork","organ/image/21198-zz00292q6z_1964608_master.tif","1","","","","pd","","published","","","","page 1","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz00292q7g","ark:/21198/zz00292q5f","2","Completed","ChildWork","organ/image/21198-zz00292q7g_1964612_master.tif","2","","","","pd","","published","","","","page 2","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz00292q80","ark:/21198/zz00292q5f","2","Completed","ChildWork","organ/image/21198-zz00292q80_1964617_master.tif","3","","","","pd","","published","","","","page 3","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz00292q9h","ark:/21198/zz00292q5f","2","Completed","ChildWork","organ/image/21198-zz00292q9h_1964621_master.tif","4","","","","pd","","published","","","","page 4","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz00292qb1","ark:/21198/zz002kf3pr","10","Completed with minimal metadata","ChildWork","organ/pdf/21198-zz00292qb1-1-master.pdf","23","","","text","pd","","published","","","newspapers","Año 5, número 216. 14 enero 1922","01-14-1922","14 enero 1922","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz00292qcj","ark:/21198/zz00292qb1","2","Completed","ChildWork","organ/image/21198-zz00292qcj_1964627_master.tif","1","","","","pd","","published","","","","page 1","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz00292qd2","ark:/21198/zz00292qb1","2","Completed","ChildWork","organ/image/21198-zz00292qd2_1964632_master.tif","2","","","","pd","","published","","","","page 2","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz00292qfk","ark:/21198/zz00292qb1","2","Completed","ChildWork","organ/image/21198-zz00292qfk_1964636_master.tif","3","","","","pd","","published","","","","page 3","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz00292qg3","ark:/21198/zz00292qb1","2","Completed","ChildWork","organ/image/21198-zz00292qg3_1964642_master.tif","4","","","","pd","","published","","","","page 4","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz00292qhm","ark:/21198/zz002kf3pr","10","Completed with minimal metadata","ChildWork","organ/pdf/21198-zz00292qhm-1-master.pdf","24","","","text","pd","","published","","","newspapers","Año 5, número 217. 21 enero 1922","01-21-1922","21 diciembre 1922","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz00292qj4","ark:/21198/zz00292qhm","2","Completed","ChildWork","organ/image/21198-zz00292qj4_1964648_master.tif","1","","","","pd","","published","","","","page 1","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz00292qkn","ark:/21198/zz00292qhm","2","Completed","ChildWork","organ/image/21198-zz00292qkn_1964652_master.tif","2","","","","pd","","published","","","","page 2","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz00292qm5","ark:/21198/zz00292qhm","2","Completed","ChildWork","organ/image/21198-zz00292qm5_1964656_master.tif","3","","","","pd","","published","","","","page 3","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz00292qnp","ark:/21198/zz00292qhm","2","Completed","ChildWork","organ/image/21198-zz00292qnp_1964659_master.tif","4","","","","pd","","published","","","","page 4","","","","","","","","","","",""
"Organizacion Obrera, La","ark:/21198/zz002kf3pr","ark:/21198/zz0028tdrb","10","Completed with minimal metadata","Work","","25","","","","","","","","","","Organización Obrera (La) : Organo de la Federacion Obrera Regional Argentina.","","","Organización Obrera (La)","","","","","","","",""
